but it  .
s more than that  .
i don  .
t like to lose a day without listening to atleast 1 tune of my playlist  .
sort of completes my day  .
this ipod is a swanky little arm candy which carries an entire world of media .
i got my nano 5 for christmas this is probably the 2nd best ipod , next to the ipod touch  .
it's light , easy to use and it's great if your clumsy like me  .
the video camera quality is amazing  .
it's fairly easy to keep clean , does not smudge to easily  .
the only problem i had with mine is the headphone jack stopped working , but it is fixed easily and never happened again it has the cover flow selection which i love using  .
i had the 1st generation nano , and that is a nice touch  .
when recording you can turn it any way you'd like  .
bigger screen which is also great i strongly recommend the nano 5 for first time ipod buyers , and consumers who want an excellent device .
god , jesus christ , is number one  .
he always give me good and never bad  .
this ipod is the best that i have had so far  .
i used to have the 160 gigabyte classic model , however , it did not have the beautiful pink color , the radio player , nor any of the other cute and tiny functions  .
you just have to own both of the items to realize that the classic , though able to hold much , is too bulky  .
with the ipod nano (5th generation) , you eliminate much waste  .
people may tend to consider me sensitive because i am a guy who has such a tiny and cute device  .
however , i am the one who will be using the device and live with it  .
if i do it for others , then i would not be happy  .
i might be popular , but i would lose out on the real joy of fulfilling my needs  .
so , no matter what i say here about the cutie pie pink ipod nano 5th generation , make your own choice  .
go through all the models at the apple store if you have to , but be sure it is what you want and not for show  .
sure , apple is the most recognized  .
zune may be bulky and ugly to me , but who cares  .
go get one if that is what you really want  .
now down to my review of the ipod , here  .
i have had the chance to take this ipod on the road with me as well as keep it at home  .
it is an additional component that you have to account for  .
i had to fit everything into my limited two pocket jeans  .
because i only had room if i put everything in one of the pocket , it ended up scratching the screen a little  .
both my ipod and my camera suffered  .
bringing these items along is not worth it  .
life is better when you share it with your love ones  .
that is what i have learned from my short vacation  .
i have learned that when your love is far away , everything is no fun .
everything is great  .
if sound , multia    media playback , ability to customize your catalog and content , as well as looks count , then this device will surely satisfy you and your crowd for a long time .
the ipod nano 5g is so fare the best portable media player i've had loaded up with all the cool extras like rotatable games , video camera with effects , great lcd screen and all extra features  .
i recommended this pmp for everyone it is so coooooooooooooooooool  .
this product is great  .
it fits anywhere    pockets , purses , backpack and it's light and portable  .
the rounded shape of this ipod allows you to easily grasp it and not slip  .
the screen is not as anti    glare and the screen is quite small , but other than that , it's a great ipod  .
if you want to buy an ipod with nice features , sleek design and is light and portable , then the ipod nano is the perfect ipod for you  .
the font size can be changed , thus allowing people with poor eyesights to read without any issues  .
there's also a voice feature that allows the ipod to speak to you  .
i bought this , and loved it  .
definately worth the money  .
some people might perfer the 3rd generation shape , but this shape fitted extremely well in the palm of my hands , and it is easier to grasp  .
basically , this ipod has sleek designs , a nice range of colors and great features  .
buy it  .
you'll heart it .
