this is my third nano , but this is the best  .
i love the tilt sensor just shake the ipod and random music  .
connect the ipod headphones with control and mic and you have a recorder and all functions controlled in a little box , amazing  .
bottom line , this ipod sounds great to me , along with the features , and good price , makes this a nice buy  .
the only problem i can complain about is it freezing  .
it is quite a pain to restart  .
as for the scratching , or the the finger print magnet screen , they do make cases for such problems  .
also people who complain about the shuffle feature or the accelerometer , fyi you can shut both features off via ipod .
i like the product in general  .
this new ipod is apple's way of progressing , and considering i'm typing this review on a macbook pro i would have to say i'm a die    hard apple user  .
for those of you that are not , i'm sorry , and i pitty you on your computer choice  .
just stay open minded and if you do not like the new software in the ipod , then buy a first or second gen at www  .
ebay  .
com and be happy , yo .
i have the pink one that i got for my b    day  .
i take it with me almost everywhere  .
if you want an ipod thats easy on your eyes and wallet then i suggest this  .
the earbuds , of any kind i cannot get them to stay properly seated in my ear  .
actually use panasonic mini wrap    around ear type ear    phones , they stay in place .
i just love it  .
itunes 8 is easy to use , too  .
its my fist ipod so i guess  .
it is a perfect ipod  .
nice shape , very portable , enough space for music , photos , contacts , etc  .
great ipod for beginers and for people who have alot of songs updated  .
on oct 18 , 2008  .
had the last generation shuffle , ipod classic (80gb model) , and now the nano 4g , plus have used my lg env cell phone for mp3s  .
any ipod is better than using my cell phone  .
i really like the size and capability of the nano  .
it is a toss    up between the ipod touch at $239 or the nano 8gb for $139  .
for the extra $100 what is i getting  .
i don't really need any of the fancier stuff on the touch , and it has the same storage at 8gb , so i went with the nano  .
the smaller size is definitely a plus for me  .
i've already got too much stuff to carry and like the fact this thing fits anywhere  .
the touch would become a device to me , which i do not need read a lot of comments on this site and i have to state that i like itunes  .
i've been using it since it came out  .
what i really like is that it tells me what popular songs for an artist i'm missing from my collection , plus offers similar styles of music from other artists  .
great way to surf and find other music .
this is the best nano yet  .
i think that apple listened to what people wanted with this one  .
the 3rd gen is to bulky for it to be a true nano  .
this one hits the mark  .
sound quality is the best  .
people have the opinion that ipods have poor sound quality  .
i have had many mp3 players nothing work with the ease that all ipods have  .
the 4th gen nano just take portability to the next level  .
cannot wait till the accesories get rollin out for this little gem  .
one last thing the shake to suffle music is just awsome  .
the game are pretty cool too  .
rock on  .
the best thing about this device is the thinness of it  .
every year they seem to get thinner and thinner maybe one day there will be a flexible ipod  .
think this is their best small ipod yet , with the accelerometer , this truly is very cool  .
i dont think any other mp3 player has the features of this  .
this really does beat the all  .
i will definitely buy one of these after i buy the new ipod touch .
my first and current mp3 player , this one great mp3 player if you like listening to music but are not that crazy about space and if you want a compact mp3 player that will fit anywhere and is lightweight not bulky and heavy and is beautifully designed out of an aluminum construction , just love it , i would definantly buy another one only thing apple should take note on take note is the bad battery life .
the ipod nano 4th gen is perfect for people who like entertainment on the go  .
the new features are a step up compared to its predecessor the nano 3rd gen , but the battery life needs some improvement .
guys , i'm being honest when i'm saying that the ipod nano 4g is the best mp3 player that i've ever owned  .
i'm no apple bias , i actually used to be an apple hater until i bought this device  .
breaking my creative zen (which is a great device aswell) , is not as detrimental as i thought , because the ipod nano fulfilled promisingly itunes first of all , kicks the living crap out of windows media player  .
the software is incredibly easy to use , and is not as glitchy as its microsoft contender  .
album art shows prominently on the now playing screen , which gives a unique look to it compared to other mp3 players  .
the user interface is very easy to use , and the accelerometer featured in the new nano is effective  .
browing through your music collection has never been so easy and fun to use  .
i is very impressed with the sound quality , even through the provided earbuds by apple  .
i find it quite rich , and the many eq's provided will fit your music tastes  .
the many colours apple offers makes choosing hard  .
