stop wasting your time looking for a camera this is the best you will find for 250  .
i have an sd700is and love it  .
when i read about the sd850is i decided to upgrade  .
i keep the sd700is in the car for a backup when there is that special picture i just have to have and the 850 is at home  .
the sd850is has lots of features i really like over the 700 but none equal the brighter lcd screen  .
it's completely visable in the brightest sunlight now  .
the menu system has changed for the better  .
two many changes to it to detail here  .
the scratch resistant lcd screen is great also  .
the extra mega pixels are nice but what i really like is being able to use sdhc cards for longer video  .
i know cnet dislikes the on/off button  .
i have no prob with it  .
i like not being able to hit it by mistake  .
if you don't have a finger nail on your thumb it could be a bit hard to activate  .
one thing i'd really like this camera to have is a few mb's of internal memory  .
i use card readers to view my shots and i cannot tell you how many times i go to take a shot of the cat or a sunset only to discover i do not have a memory card in the camera  .
the manual is long  .
so what  .
if you want a point and shoot camera that cannot do much of anything special buy a kodak .
i looked all over for the right camera  .
i wanted great picture quality in a small package  .
i also did not want to sacrifice zoom  .
i did a great deal of research (solid 2 months)  .
i finally settled on the sd850 and it did not disappoint  .
it takes great point and click pictures while being small enough to fit into a packet and not be intrusive now here's the great thing   i took some great pictures at a football game  .
this is at heinz field in the club section , which is about mid    level of the stadium  .
the zoom worked real well  .
my picture quality did not suffer  .
the pics looked as if i took them from the sideline  .
my buddy has a much larger camera with a 12x zoom  .
this camera does not do that , of course  .
but it's good enough to get by while still being small and light enough to carry with you without a hassle  .
big thumbs up  .
mine is $350 so price is an issue but i do not think you'll be upset at paying extra  .
the ones i evaluated in the $100    300 range were nowhere near as good .
this is a great camera for the price  .
other cameras around the same price do not have the same picture quality  .
the screen is vivid and very responsive .
i know nothing about cameras  .
i bought this camera simply on cnet recomendation and let me tell you this baby does not disappoint  .
all features are easy to figure out and use  .
i really like the movies it takes as well  .
i bought a 2 gig memory card which is what this baby needs  .
if you want a compact camera that takes great pics in all types of light and that also you can put in your pocket/purse so you'll never miss those special moments than this is the camera for u .
i have the canon powershot s1 is with 10x optical zoom which i bought a couple of years ago  .
two of my boys are pitchers in baseball and i wanted a great camera to catch the sequence of their pitching with no blurry pictures  .
it is a great camera  .
people are jealous of my action shots  .
i bought the canon 850 because i'm going on a trip and i wanted a smaller camera  .
this one might become my main camera  .
i had my kids move as fast as they could (indoors) with a flash to test the clarity of the pictures  .
all i can so is wow  .
i love this camera  .
i wouldn't bring my other camera to events sometimes because it's a little bit bulky but now i won't miss a shot  .
don't go for the super slim cameras because you lose quality  .
this one will fit in you pocket just fine  .
spend a little more $$ and get quality with this one  .
i read one review that it doesn't take good pictures inside and the only thing i can think of is they must not know what they are doing because i could not take a bad picture on auto if i tried  .
very happy with my camera .
i've wasted a pretty penny over the years too lazy to master fairly expensive 4 me cameras  .
i just wanted to have fun with a camera    not work viola    i stumbled onto this elf on the paneristi watch forum and am a fan 4 life .
look out competitors  .
the sd 850is has it all  .
excellent images , fast , easy to use and canon quality  .
the face detection , (industries best) uses the flash (sd 800is , et al do not  .
) , not just focus and exposure to illuminate darkened faces  .
hmmm  .
seems like that's long overdue and it locks on fast  .
the optical image stabilization (industries best) , zoom lens and face detection works on stills and video , others do not  .
speaking of video , want a camera and camcorder in one  .
this baby records up to 1 hour of quality video that is currently only limited by the 4gb cards , larger cards coming  .
the direct print button can also be assigned to instantly record video regardless of camera setting mode  .
how cool is that  .
while taking snapshots , just push the button and grab video , too  .
wicked cool  .
rebuking other reviewers  the sd850is's lens opens as wide or wider than other cameras , but the sd800is has a wide angle lens , also the sd800is has less megs and a lesser quality face detection  .
the on/off button is just fine and easy to use , but would be very hard to accidentily turn on/off (that's a good thing  .
summation   image/video/lcd screen quality are excellent  .
packed with intuitive , pertinet features that the camera automaciticly segregates into what's available depending on shooting mode  .
fit and finish is attractive (use the wrist strap)  .
we love this camera  .
what else do i have to say  .
buy it  .
you'll love it too  .
i've owned this camera for about a year and am still amazed at all the features  .
it takes great pictures  .
it takes movies and time lapse pictures  .
i've programmed the printer button on the back to take movies so if i'm taking stills and a movie situation arises i just press the button and i'm taking movies  .
it's small enough that i carry it in my shirt pocket everywhere i go  .
i can have it out of my pocket , (and sock case) turned on and taking pictures in just a couple of seconds  .
i take lots of pictures and i hardly ever miss one now thanks to the quick turn on time  .
it also has a continuous shoot mode    just hold the shutter button down and it takes pictures until the memory card fills or you release the shutter button  .
i found a good deal on 1g sd cards at calumet photo  .
i bought 2 extra batteries and carry about 6 1g sd cards and the extra batteries in my pocket  .
i can shoot all day with that setup  .
i have a canon digital rebel that i used to take everywhere i went  .
that camera with the 28    135 is lens and battery grip weighs about 3  .
5 lbs  .
the 850 weighs about 7 oz    quite a bit lighter  .
you can fix redeye right in the camera through the menus  .
you can set the exposure + or    2 stops in manual mode  .
there are so many features that the user guide is 161 pages (and well written also)  .
i would highly recommend this camera for anyone wanting a really good point and shoot camera  .
i used this camera as i backpacked around europe for two months  .
i would recommend it to anyone looking for a simple to use point    and    shoot that takes excellent photos  .
quick turn on so you can get shots in a heartbeat  .
sturdy design with the exception of the battery compartment    that could use some work  .
the steady shot works like a charm  .
i is often shaky or just plain not careful when taking pictures and they came out phenomenally (as i pat myself on the back) now the bad points  .
well , visually , there are no issues  .
i took pictures in tremendously varying conditions , always with fantastic results  .
my qualms are with the battery/memory card door latch  .
it is too easily opened and awkwardly placed on the bottom of the camera right where my finger goes thus causing it to open occasionally  .
also , not having a full time batter monitor is an oversight on canon's part  .
i is able to use the camera for about 2 days of solid use before needed to recharge , unfortunately you do not know that it needs to be recharged until it's too late  .
my advice   buy a cheapo extra battery on ebay and keep it with you on extended trips one tip for low lighting conditions   use manual mode and keep the aperature open slightly longer than usual  .
also , i found that the setting that brings out reds (not sure what mode this is called offhand but you will know when you see it) is a great little trick for taking pictures at night you really cannot go wrong with this model  .
i have no regrets about the purchase and would undoubtedly recommend it to friends , family and you  .
i purchased this camera at the end of april and have enjoyed the photo quality , convenience of video shooting and beautiful display until it came crashing to the floor and the lens broke  .
i took this camera to the zoo , outdoor political rallies , camping , family events , and more  .
i have been very happy with the quality , external playback microphone , and editing abilities  .
i purchased an 8gb card and didn't have to erase anything  .
this all came to an end when i is using the video mode and my son (whose head is hidden inside a pillowcase) accidentally smacked the camera out of my hands and onto the floor  .
since the camera is on , the lens extensions became dislocated in the fall and now it wo not turn on  .
i think i will purchase a new one and figure out what to do with the broken one  .
this is such a great camera  .
easier to use than expected  .
transitioned abruptly from a canon sure shot z180u with about 700 great photos with first use on india trip my wife is very fussy about our camera performance and she is most pleased  .
i go back as far as heavy , back    breaking slrs and can state that picture quality did not disappoint .
this camera is the best one i've used  .
in the past five years i have had many cameras but this camera takes the most beautiful pictures ever  .
it has a big screen in the back to review your pictures and ease of use is incredible  .
one day of pushing all the buttons and taking pictures is all you need and you will be a pro at this camera  .
i cannot rave about it enough .
the lens could use a little speed when coming in and out when turning the camera on and off  .
(battery is fully charged , and camera is two weeks old) it is not terribly slow though so it should not bother anyone too much though  .
of course ; test it out before you make your purchase  .
it wins over the sd870 with its viewfinder , and style .
i considered many cameras before settling on the 850is  .
i wanted a camera that would easily fit in my pocket and take acceptable photos under most conditions and i'm satisfied i made the correct decision  .
sd850is feels like a solidly built camera made in japan not china .
i love this camera  .
the images are excellent quality both inside and outside  .
it has many features such as iso settings , themes , white ballance , etc  .
it also takes images very quickly with is a huge bonus for me taking pics of my little boy  .
i like its small size and light weight  .
it appears to be a great quality camera construction wise my only real cons are the super bright flash and the lacking battery meter  .
i cannot figure out a way too see how much power is remaining in the battery  .
