excellent value  .
extreme high quality , i cant wait to take this hd cam on my next cruise vacation  .
updated  .
on aug 16 , 2009  .
i wanted a camera that could take some abuse of my family vacations and it has held up really well from the dessert to the snow and disney world in between  .
i purchased it with the extened battery and charger as well as two 8gb and one 16gb flash  .
this combination has been great  .
along with the built in 16gb of flash i have never run into power or storage problems  .
have used it from 7 am early entrance at disney hollywodd studios to the midnight fantasmic show  .
i used it as much as i wanted and never came close to having a problem  .
it is smart enough to know when it has been left on and will shut down by itself  .
i would also recommend purchasing a good video editng suite like vegas or pinnacle that can handle the avchd format  .
nero 8 and higher does it as well for simple edits  .
the video quality is great  .
it looks fine in bright lite and pretty good in low light  .
it does not have night vision but that is okay i am not a stalker  .
surprisngly the stll camera shots look outstanding even though they are only at ~3  .
2 megapixels  .
i have a highly rated 9mp sony point and shoot and they are comparible in quality of picture  .
the cannon has much less visual noise but the pictures of course arenot as big , i will say stabiliy is difficult to acheive successfully whe hokding in hand as it is small  .
for a steadier shot i would use a tri or mono pod  .
i is bale to get some beautiful belagio fountain videos in vegas  .
i would have to say that this camera is my wifes favorite gadget i have ever purchased it and it is simple enough for her to use  .
she prefers it over our still camera for family events and holidays  .
i could not recomend this camera more  .
there may be a few quarky things that people don't like but if you have a lot of gadgets you get used to it and it does not bother you  .
the only one i can think of is switching from video to still mode to take a picture  .
great buy and it is even better now it has been out a while  .
i bought mine the first day ii is on store shelves .
i recommend it to everyone who wants to broadcast high definition video live online  .
i took the canon vixia hf 10 on a trek in the himalayas for a month and it worked exceptionally well  .
since i could buy no extra supplies along the way and even electricity is seldom available i brought a total of 64 gb memory plus the larger battery  .
the results were a camera that delivered great quality pictures with enough memory and battery life to last a prolonged period of time  .
the small size of the camera allowed me to easily carry it in my backpack or even in a pocket  .
so , i'd recommend the camera for 'off the beaten path' activities  .
if canon would include decent software for editing the video , this would be an all    around winner of a camera updated  .
on jan 15 , 2009  .
i don't have experience with other video cameras regarding features or ease of use , but i'm quite demanding regarding pic quality as a serious amateur still photographer  .
i'd say do not hesitate to get this camera because all of the above have met or exceeded my hopes  .
i felt like i is taking a bit of a chance buying after reading some rather negative reviews along with a lot of good ones  .
suffice to say i'm ecstatic at this point  .
works great with a mac (i switched quite recently from windows with no regrets)  .
dvd burned for friends looks just fine on good quality plasma tv and the process on the mac works just fine with idvd for real quick and dirty , imovie '08 for a bit more control and final cut express for anything i'll ever need  .
stabilization is good but monopod or tripod use where you can would be a good idea    especially if you use the zoom a lot .
would have given this a 10 plus if it had a view finder , but then i guess that would take more parts and space  .
did a lot of research before i replaced my expired sony tr 350    it died after 6 years    a mechanical failure    too expensive to repair    so i went on the hunt  .
this camera does the avchd codec    i process this with ulead video studio and output to an ordinary dvd  .
played the dvd in a panasonic dmp    bd30k in an electronics store and those viewing were really impressed as is i  .
the hf10 has enough memory to capture more than 5 hrs without going to sd card  .
more than enough for anything i will ever need it for  .
sdhc cards are getting cheaper everyday    i got an 8 gig at frys for $29  .
will also get a 819 battery for back up  .
oh , don't forget to buy a nice sturdy monopod for this camera as it is a light weight  .
your videos will look like a pro shot them  .
i do not think you can beat this little jewel for the price and the quality .
overall , this camera is great  .
the quality and clarity of the video is great  .
since the camera uses flash video , the size and weight of the camera are amazingly small and light software could definetly be better  .
at times the video can be choppy , but i suggest to upgrade the software with the latest service pack or patch  .
the battery that is included with the camera is unappealing since it only tends to last about an hour  .
you may want to get bp819 battery .
great camera overall  .
the design is quite intuitive , and the quality is fantastic .
love the picture  .
love using sd cards  .
cannot record to internal and external flash at the same time may not be a big deal to most users  .
still new to this camera so have not tried 24p/30p modes  .
thought lack of a firewire port would be problematic but runs fine on usb2  .
0 did not waste my time on bundled software  .
fce log and transfer feature works fine , but will crash once in a while edius will edit avchd files converted to  .
avi (conversion software provided by edius)  .
i bought this camera to replace my 7    year old minidv camera that eats tapes  .
16gb of internal flash memory is great    about 2 hours of 1080p video  .
i only really record family video in chunks of 30    45 minutes anyway  .
i may go the full 2 hours at a time when my new baby arrives in a month video quality is superb  .
saves as m2ts , uses h  .
264  .
the software is intuitive  .
you don't need much instruction to figure it out  .
i just use it to view and download the video to my pc  .
the viewer is great  .
i don't know what it does , but it allows me to view the video seemlessly while mp classic and vlc cannot , even with the most updated codecs  .
(my pc generally has a hard time with 1080p , but freezes completely when i try to play video fromthis camera)  .
downloading the video is easy  .
i'm not concerned with editing my video yet , so i cannot give any review on that  .
i'm just archiving it for when i get a more powerful pc the size is great  .
decent size lcd screen and the thumb toggle stick is not really a nuissance cons  .
the wind filter is not great  .
there is no viewfinder  .
you have to record with the lcd open  .
that takes more life fromthe battery  .
i haven't had a new camer in 7 years , so i do not know if this is standard or not these days .
i bought this because i need to record family events  .
it is refurbished off of newegg , but you would never know it  .
out of the box the hf10 is ready to record , although for only a few minutes to play before charging  .
battery life is fair , but i will be investing in an extra pack for when i'm out more than 2 hours the easy recording mode is great for point and shoot action in most any situation  .
there are multiple other options that i like to play with to get different effects , but you have to plan the shots the only issue i have is recording in low light , and i have found most camcorders have issues with that unless you pay the extra cash for it  .
it gets a little grainy and the frame rate is slightly choppy  .
the flash is a little much for photos sometimes , and there is little information on adjusting it  .
the optional light does not do much for video recording , and adds a blue hue to close ups because of the led used for the light overall , for basic recording in high def the hf10 is fairly easy to use and gets really good video quality  .
if you need something to record more than family and friends stuff , you might go with a higher and more expensive model if i had the extra cash i would have gone with the sf line  .
for $399 , even for a refurbished camera this one is very , very nice  .
i already have family and friends drooling over it .
i love this camcorder  .
it is a top performed in my opinion , especially for a price tag under $600 including a carrying case at costco  .
great bargain the video quality is very good  .
it is as sharp as you could possibly expect for the small footprint of the camera and the low sticker price  .
for home movies , i couldn't really ask for anything more  .
