i have been using iwork '09 ever since i got my new mac  .
it is the best office suite i have used to date  .
it is launched before office 2010 and it is ages ahead of it already  .
the fact that i could comfortable import xls , doc , ppt and modify them , and then export them back to the doc , xls , ppt is terrific  .
i am the only mac user among a class full of pc users  .
i needed the compatibility  .
it is a very intuitive suite and the drag    drop functionality is terrific  .
kudos to apple  .
a great program suite that is cheap and easy to use  .
this product is far better than any other productivity software out there for mac  .
i have used microsoft office 2008 for mac and compared to iwork it is terrible  .
it is missing features and is not completely compatible with the pc equivalent of the product  .
office is also missing key features and everything is hidden in a hundred different menus and pop up toolboxes  .
while iwork is intuitive with its great features and high quality looking documents and presentations , office for mac is years behind office 2007 for pc  .
buy iwork , its the best choice .
20 yrs ago i championed word on mac over wordperfect  .
it served me well for many years , but now pages outshines word immeasurably  .
same goes for numbers vs excel  .
the first issue at stake is to invest the time to learn new ways of working    that's entirely within your control the second issue is that the windows world does not use iwork which unfortunately is not within your control  .
however iwork files convert well to their windows counterparts , yielding even better    looking documents than if they had been created in word or excel from the beginning  .
(but then , even sharing word and excel files from mac to windows is crippled because of the constipated constraints many windows users are forced to live with  .
for university , i have now replaced ms word and powerpoint with i'work pages and keynote  .
most notably , keynote is far superior to powerpoint , and regularly makes my presentations stand out a little from the rest of the class  .
pages is faster and easier to use , and i can just exported to pdf to send/print for the professors  .
can always export to ms format if i wanted to  .
numbers still needs some work for me to consider it as a replacement for excel , but it's well on its way  .
great stuff  .
i switched to iwork from mac office some three years ago , and once i realized there would be no problems sharing documents with ms office users i have never looked back  .
i liked ms office , but it is unnecessarily complex where it did not need to be , and it is at times buggy  .
iwork is very stable (  .
it just works  .
) and refreshingly intuitive  .
i quickly learn to carry out complex formatting and document creation tasks in a refreshingly easy manner  .
keynote is a lot of fun to use , and is at least as powerful as powerpoint , if not more so because of the mac's unexcelled graphics abilities for those still concerned about letting go of office , i can without hesitation recommend taking the step both in terms of productivity improvements and because of the cheaper costs in keeping up with new versions .
i have no idea what cnet's jason parker is thinking when he criticized iwork for lack of a business    grade e    mail client  .
no one is really asking for that , and it's a totally unnecessary feature  .
mail  .
app is perfect ; if bloated is your think , go with entourage .
i've used iwork '08 and 09 is deferentially worth the money to upgrade and i've been using macs since 2006 so i know a thing or to about apples products and this one is top notch .
stability 5  .
ease of use 3  .
functionality 4  .
appearance 5  .
compatibility 4  .
total average 4  .
this software , is great for the average user  .
keynote has thus far proven to be a better presentation application than powerpoint , because of it's elegant 3d transitions  .
i would say however that apple make some sort of wizard in the chart making process in numbers  .
it took me a while to figure out how to make one  .
in the long run i would say that i would recommend this software to those whom wish to get things done with little hassle  .
i would also recommend this over microsoft office for most people .
overall , i would recommend it  .
its is better than ms office 2008 .
wonderful , and totally agree with my one line summary  .
for the price you'll be hard pressed to find a better suite to use for the mac  .
it's quick to open , full of features and solid in operation  .
i'm not a heavy spreadsheet user , but pages and keynote absolutely are worth the money , and keynote is a dream to use  .
the review stated that ms word has better layout features , but i don't see it  .
in fact , i do better with pages than word in the layout if you don't have to have word/excel you owe it to yourself to try it out  .
the only reason i did not give it a solid 5 star is some trouble i had porting some documents over    not all the formatting transferred as well as i would have liked  .
other than that , no problem and worth the money for a native mac program .
overall , iwork '09 is one of the best office clients i have ever encountered  .
it is simple and familiar for even the computer    shy  .
runs logically ; if you would like to drag and drop something , or resize something to exactly the size of the item above it , there are actions in place assisting you with all of this  .
if any program can read your mind and give you what you want it's iwork '09 .
i think that iwork its a great product specially keynote , its outstading  .
the integration for exporting to pdf and images , etc etc its awesome , but it needs to be tuned  .
for example the shapes , table options , diagrams and other easy quick stuff of the microsoft office for mac please do a better version with more improvements soon microsoft office 2010 its coming for mac and so far it looks outstading .
great business software for the mac .
has caught up with office in many respects but not yet all , especially more sophisticated functions a pro user will want .
at this time msword and msexel are the defacto standard in my industry  .
until iwork allows seamless integration to ms office in a corporate environment , i cant use it  .
could use it at home , but why have twice the number of programmes and formats to use  .
coming from microsoft office , i have to say ms office is better ms gives you more options , even if it takes a little more time and is a little harder to use  .
with ms it's easier to paste stuff from webpages and make something truly original  .
with keynote you're stuck with apple's silly templates numbers is , pretty much , excel  .
i have not really noticed a big difference i absolutely hate pages first of all , ms word , believe it or not , is much more user friendly  .
unlike apple , right  .
but , anyway , that's not my real gripe about it coming from ms , when i is changing the font size , i figured you could just type in a number and change the font to that  .
wrong  .
if you type anything with that little window open , it deletes your entire document  .
i lost a five page essay doing this while scaling down the font size to make it actually fit into five pages  .
thanks to pages , i had to re    write a five page report  .
thanks , apple i'll pay the extra $50 for ms office next time .
nothing to add to the above  .
