it's like having blu ray player connected to a fully adjustable 7  .
1 audio receiver , a wireless computer to watch youtube videos , netflix , and several other streaming options , and the streaming is excellent  .
movies download more seamlessly using the bd390 than on my computer , and in hd too  .
i get tv shows , movies , and for like $9 a month to pay for the netflix subscription  .
i've actually quit buying regular cable and just watch a tv show on netflix whenever i have time , knowing i will only have to watch the show with no advertisements or having to flip through channels  .
love it  .
i wanted a blu    ray player , and is interested in the netflix instant option that many offer  .
my home has the router set up in the basement , so i invested in a terrific wireless n router (belkin's n+    highly recommended)  .
if i is going to connect to the network , it would have to be wireless , but very few that have wireless n capability  .
the lg bd390 gives you great picture plus fast streaming of all the online content  .
i purchased this player after doing lots of research , and it is almost like getting two devices in one first , it performs it's primary function superbly   blu    ray movies look amazing and dvds are upconverted nicely second , the wireless connection allows me to stream all the content from youtube , netflix , vudu , etc  .
, right to my tv through my home theater  .
no more trying to watch instant content on my laptop with the tiny speakers and the small screen sitting on my lap  .
now , with one device , i can watch so many instant movies and shows right from my best equipment if you have an ethernet cable running to the back of your tv or if you do not care about internet/network/instant access , then there are cheaper options for blu    ray players  .
but if you are like me and cannot run a cable from the basement to the tv , then the wireless n option is the way to go a small drawback is the player always starts playing the disc if there is one in the tray when you power it on , which is a small gripe , but still a bit annoying otherwise , it is better than i could have hoped when i did all my research , and it really makes watching movies and instant content easy and fun .
great picture quality , great online features  .
i have nothing bad to say about this player .
i've had this player for about a month and have not yet explored the bonus features of this product (wifi) , i'm looking to get set up there soon  .
what i've been able to do with this player so far , i think is pretty cool  .
you may laugh at what i've accomplished so far but it's working for now i've been shopping like crazy for a home theatre system within a modest budget to accommodate my 42 lcd  .
i feel i've scored , my purchase   onkyo tx    nr807 and sks    ht870 what i've been living with , i have an old (15yr old) fisher cd player boom box with detachable speakers , two sony bookshelf speakers plugged into the surround out put on the fisher and the fisher unit is plugged into the audio analogue input on the back of the bd390 the bd390 also has a 7  .
1 analogue input on the back and i have an energy 200w sub woofer connected to the sw input on the back it's total frankenstein but the bd390 has actually allowed me to run a pseudo 4  .
1 speaker system  .
of course , when the tx    nr807 shows up , the bd390 can relax , but for now , it's doing a great job my fiancee thinks it's theatre quality (hardly , but still pretty good) , wait till she gets a taste of the onkyo updated  .
on mar 26 , 2010  .
got this player for christmas , and used it every day since  .
i have it connected to a vizio 1080p tv via hdmi , picture is fantastic  .
caseblue's review states that hdmi did not work with his/her vizio    my guess is that either the tv or the player has a defect , doubt that it's an issue with the tv or player being 'incompatible' i've used the player more for streaming than playing discs , but bluray discs are outstanding , and dvd looks better than my old dvd player ever did nice upconversion  .
i'm connected using the built    in wi    fi to my wireless g network , with 3mbps dsl    streaming quality is very good , even at those speeds  .
vudu offers full 1080p  hdx) streaming , but with my connection speed , i get a lot of pauses  .
works well at regular sd or hd resolutions , though    may try upgrading to 6mbps dsl and see if that helps  .
could be the wireless , too    ethernet connection might solve the problem  .
overall , i'm extremely happy with this player    amazon vod is about the only thing i'd add to it .
this is the perfect bluray player  .
a lot people are buying the samsung bluray players , and when they update firmware , they freeze or services stop working  .
other problems have occured as well  .
this one is worth the money  .
it has superior output quality  .
if you have a netflix account , this is the perfect unit for that  .
as long as your connection is fast streaming movies at 1080i is great at both quality and speed  .
ive been told the xbox360 buffers faster than this unit , but i think this is fast enough  .
connect unit to router and it automatically obtains an ip address , and is ready to stream  .
unit also has preinstalled wifi adapter to connect to wireless routers  .
it updates once conected and still works  .
plus updates bring new services  .
using youtube searching sucks because you have to jump to the letter using the arrow buttons  .
has hdmi and component video outputs , and 7  .
1 , optical and digital coax (spdif) audio outputs , as well as analog a/v outputs for older equipment  .
comes with nero software only for connecting to computer network  .
once installed and running the program , when the unit is restarted , to connect to the network , stop and re start up server in the nero program on your computer , then the bluray unit will see your computer on the network  .
in the settings you choose a folder from computer for sharing over the network , and whatever is in it will be accessible on the blura1y unit  .
photos , videos , movies , music  .
the same thing can be done using a thumb drive connected the front usb port  .
ipods work too , but all music is unorganized stored in coded folders using coded file names  .
basically will play 15 random songs per folder  .
this bluray player is better than most of the others  .
looks great on my plasma at 1080p  .
i am very satisfied  .
i only like and want the best .
my last blu ray player sucked  .
i mean really sucked  .
it is a sony bdp    s300  .
sometimes it would take up to ten minutes to load a blu    ray disc , and sometimes wouldn't play them at all  .
the lg bd390 loads and plays blu    ray discs as fast as any player loads standard dvds  .
but dvd playback is really just icing on what is really a great media player  .
if you've got a netflix account you have access to thousands of hours of content  .
i is really skeptical about what quality i would get with my 4mbps dsl but i watched a couple of movies completely through with absolutely no buffering or glitches of any kind  .
the quality is near dvd i didn't try the cinemanow since the prices seemed a bit steep per view  .
the vudu interface is beautiful , and although i is too cheap to rent a movie i watched quite a few of the trailers  .
the quality looked fantastic  .
when i tried to access the hdx trailers i did get a couple of loading errors , most likely due to my slower connection  .
what is really a surprise is you tube  .
it just seems so much more enjoyable watching the you tube content with the beautiful and elegant lg interface  .
it starts with a small window on left and description on right  .
one button brings it immediately full screen  .
i'm watching this on a 109 projection and you'd think the content would look terrible , and some of it does , but much of it , especially the hq stuff , looks very watchable why buy a blu ray player and a seperate media streaming device when you can have both in one  .
i honestly do not have any experience with other media streamers but i cannot imagine they can do it much better than the lg  .
that said , i've heard great things about the amazon on    demand and i'm hoping the lg supports it soon i hope i do not get kicked off here , but a lot of the reviews were complaining about the price  .
i got mine for less than $260 , which is $100 less than i paid for the sony blu    ray when it is new and it sucks  .
email me at djstatik@aol  .
com and i'll shoot you the link to the online store  .
it's not a refurb  .
it is brand new and got to my house in three days  .
if you do not need an xbox 360 or ps3 , but you still want to view online content such as netflix , cinemanow , youtube or watch blu    ray dvd's , then this is the player for you  .
with the built    in wi    fi connection , you can stream live internet content directly to your tv in hd or standard definition using your internet connection and wireless router  .
we absolutely love this  .
works like a charm  .
does exactly what i wanted .
i simply cannot believe that others out there had challenges in setting this unit up to access the internet  .
people , it's really not that difficult , even for someone with perhaps minimal or limited knowledge of wireless internet setup  .
instead of manually typing in the ssid into this unit , you should be able to use the search module built in to this device to detect the available networks that are bradcasting their ssid's  .
once you get your ssid , just select it and you're on your way  .
