have been using this phone almost 2 years and love it  .
surprised i had the good fortune that it is viable and dependable  .
excellent choice  .
i rarely text but travel to canada often  .
this phone works flawless from the big city to the deep canadian woods with the right service  .
an excellent choice for any one , virtually anywhere .
fine  .
this phone is fantastic  .
i originally had the verizon blitz , which performed well , but did not meet my standards  .
i got the env touch yesterday , and i am thoroughly pleased with it  .
first of all , the phone is just gorgeous to look at  .
its very sleek and modern looking  .
second , it has amazing graphics  .
you can tell by just turning it on  .
it has incredible high definition  .
it also has a picture/video camera , that shoots in high definition , along with a touch screen , a flip    open keyboard , and music , email , vz navigator , and very cool games  .
the layout of the actual touch screen and keyboard is fabulous , and i had no trouble finding my way around  .
my favorite part of the phone probably has to be the notifications page , which you can access from the home touch screen  .
it tells you the volume of the phone , new messages , new voicemail , missed calls , calendar events , and alarm clock times  .
plus , you can get this whole phone for 149  .
99 , plus a 70  .
00 rebate  .
to me , this is a very good price for what you're getting in conclusion , this phone is , overall , fantastic  .
i would definently recommend this to a friend , because of the great features , incredible layout , and fabulous graphics  .
its definately competetion for any phone once you have the software upgraded from the factory version  .
i do recomend this phone to anyone .
i have had this phone for a few months now and love it i think it is the best phone i have ever had  .
i would totally say this phone is worth the money every penny of it  .
thanks to the engineers at lg for using their brains unlike many companies these days that just produce things that do not work and end up in landfills  .
lg's are known for longevity in life  .
key board is a nice size .
one amazing feature that is left out is its , im not sure the term  .
it has a sensor to know when it is next to your head , like durring a call , and when its not  .
unlike its predecessor where when you needed to press a key (say durring voicemail) where you would have to press the screen to get it to light up , and maybe press a wrong key  .
this phone knows when you pull it away from your head and automatically lights up the screen and gives options , dial pad , contacts , messageing , and even swap calls , for when you have a call waiting  .
it is amazing to not accidently hang up anymore , just because i have a touch screen phone  .
and thats just the tip of the iceburg  .
amazing phone .
i do like this phone very well  .
my experiance with this phone is good  .
i think the secerity is not very well like you could llock your messages or something  .
but i have mad tons of calls and texts  .
and it has worked fine , good service  .
but still the touch screen is veryyy bad sometimes  .
it makes me mad  .
if i click this message it will click the first message in my inbox which is an 1 hour old or so  .
i got a charger with my phone dont like it  .
it is a short cord , for the outlet  .
and than it come with a usb one  .
which is reallly annoying  .
because i am constenly on my comptuer which i dont like  .
my battery doesn ; t last threw my school dayy it does  .
but it is at 2/4 byyy when i get home ususally  .
which i love to text and if i text i loose more battery  .
but others over all i really love this phone  .
i encourge people to get it  .
i've looked for a phone for quite some time that had all the features that the lg env touch has , but being a guy it is really hard to find one that felt comfortable in my big hands  .
i have big hands and needed a qwerty key board that worked well enough and did not cause me to fight to find the keys or finding myself backspacing because i continued to hit the wrong keys i have yet to have that problem with this phone  .
everything about this phone screams easy to use and it is i would really recommend this phone to anyone  .
updated  .
on dec 4 , 2009  .
really loved this phone  .
great for texting  .
i really like the sound quality on it too  .
use it as my mp3 player  .
i recomend it to anyone  .
if you're thinking about getting this phone or another phone , go with this one  .
the battery life is fine  .
the touch screen is really nice , the internal qwerty is very nice , you never really use the touch screen to text  .
it's overall a greaat phone i've had it for about a month or two , no problems at all .
i love this phone because its really easy to use and rarly freezes its fast and has a great keyboard  .
i have been a verizon customer for over 10 years and between myself , friends and family , this is the best phone i have ever laid my hands on  .
my husband has a blackberry storm and i wouldn't trade him phones if you paid me  .
i have no major complaints about this phone and really cannot stop raving about it  .
two friends have bought the same phone after listening to me go on and on about how much i love this phone my only advice is to buy screen protectors right away  .
pretty common sense but absolutely a must  .
i do not have a protective case or covering on any other part of the phone and those areas have all held up well if you're on the fence about this phone , just buy it  .
you will love it  .
it's a great phone , i especially love all the features  .
i'm young , and i'm not very responsive  .
i do not take very good care of it  .
i've even dropped it in a pool , it still works perfect  .
this is a great upgrade from my motorola hint (which is nicknamed the beast for the hell i went through) i was not too keen on touch screen phones , since everyone had them , but the 3'in screen seduced me  .
it takes some getting used to with the sensitive touch screen , yet i have it down  .
videos from youtube are clear and well heard , the video games are amazing  .
i'm not used to fancy phones , so rotating the screen and scrolling through pictures fascinated me  .
i had an lg that had a flash yrs ago , and the env touch having a flash makes night pics awesome , so when i forget my dslr , i have a good alternative for photo ideas , or snapping a good moment drawing pad is fun , and i love to doodle  .
my fiance makes fun of me since i play on this phone most of the time  .
battery life is not great , yet it has alot going on so of course the battery life will be bad , yet car charges are great , and my hint's charger cable fits , so if i travel , i can leave one home design is nice , i really like the way it feels and i do not loose it as much since it's bigger than my hint  .
most of these reviews gave me the push to go buy it  .
so i hope this helps for others that were like me  .
i've had this phone for 3 days now , still learning , but enjoying  .
lgs are great , never gave me problems compared to pantechs and motorolas .
i highly recommend this phone to anyone looking for a cell phone  .
it has tons of features and you can really personalize it with fonts , wallpapers , and more  .
i read some reviews that stated the phone cannot save photos and such to an external memory card  .
this is not true at all  .
all of my music , videos , and pictures are saved to my memory card i took from my old phone also , for all that the phone does it has a satisfactory battery life  .
the only time it dies super fast is when it is going in and out of a place where there is not a signal  .
and even then it lasts 24 hrs  .
the internet is clear and really fast  .
plus , it cheap  .
i currently have a ten dollar a month plan that allows me to get on the internet a lot  )  .
i also like how the touch can be calibrated to me specifically  .
at first i is hesitant to get a touchscreen phone but i am so glad i took the plunge  .
texting on the touch is much faster than texting on regular buttons  .
oh , and there are a bunch of ways to text and the screen is so big that it's super easy to read texts and web pages also , the phone is a good size  .
it weighs about the same as my evy2 but it is just a little taller  .
it still fits in my pocket which is convenient  .
it is sturdy but not bulky i am very pleased with my choice to purchase this phone  .
it is much better than my envy2 and has all of the features one could want in a phone  .
the envy touch is a fun phone that is reliable and easy to use  .
if you're in the market for a phone , by this one  .
you wo not be disappointed .
this phone is definetely amazing  .
i recommend it to anyone  .
the keyboard and the touchscreen are the best part  .
it is way better than the voyager .
its easy to use and for all of the people that complaine about it , just read the book or use what brain you have to understand it  .
i love this phone  .
i didn't think i would , but i is sorely mistaken  .
the touch interface is easy to use  .
the available functions are relatively easy to get to  .
the web browser is much better than the web broswer on my lg vx9400  .
i love that i can use the front for web navigation then switch to the keyboard for text entry without losing anything on the browser  .
the qwerty keyboard is easy for people with larger hands , like me  .
