well i just noticed that some of vista's annoying feature does some good things  .
usc prevents the installation of some rouge antispyware spysheriff  .
well did windows xp had the same criticism when it first came out  .
so does windows 2000  .
well yes it did  .
so stop complaining and just stick with xp or switch with vista  .
no need to brag about vista sucks , its the facts  .
well everyone haves their own opinion about vista  .
so i hope you find this review helpful  .
i recommend windows vista basic because it does not have that much crap on it  .
premium is ok for gamers .
its really well made  .
once you know how it works its perfect  .
hopefully the next microsoft operating system is as good as this  .
whilst i've had this basic i see no reason why i would want to switch back to xp or upgrade to home premium .
its awesome i love it  .
great for gaming as it shuts down the operating system while running the game as an os .
i is trying to do an upgrade , but it kept locking up on install  .
i booted xp up in safe mode , and vista made me do a clean install , but it backed up all my files to the new o/s  .
more features than i expected  .
sidebar gadgets are very handy  .
make sure you have 512 mb of ram  .
if you do , the system is very responsive  .
i have a gateway notebook with ati graphics 512 mb ram , 80gb hdd , and 2  .
0mhz amd processor the system has serious eye    candy  .
i love it so far  .
i think that windows vista is much easier to use than windows xp  .
ok , they may have copied some features from macinosh , but i would just like to point out one or two things before i go into the main review   the search bar on the task bar , windows has always had search  .
it was not as accessible though (it used to be that dog thing)  .
ok , they took macs idea and placed it on the desktop  .
tags , windows always had tags , they just used to be known as statistics or details  .
ok , they pinched macs idea by sticking them at the bottom of the screen  .
a chess game  .
big deal  .
it's a game  .
ok , main review i think that vista is much better than windows xp , and much easier to use  .
yes , it is slightly overpriced , but once you get used to it properly , you'd probably think it is worth the money the search    thing on the task bar makes life twenty times easier  .
much better than the bulky one in windows xp the taskbar and title bar (top of all windows)  .
they're nicely thinned out so they don't end up taking up 20% of the screen between them  .
(no , i don't have a resolution of 800�600 , it's actually 1280�1024) in fact , the only downside is that one or two applications occassionally crash  .
the good thing is though , you do not have to push the reset switch  .
you just use the end task feature in the task manager the dialog boxxes , they're there for a reason  .
ok , they might annoy you , but if you look properly , you should be able to see a shield  .
this warns you that it'll open a dialog box  .
i've never really needed to use these , and rarely pop up for me (except for when i need to pop into the system configuration files for something) 15gb of hard drive space    installation  .
come on , the os on it's own comes nowhere near that much  .
it would take probably 5gb tops (or a bit more , not sure , as i did an upgrade)  .
all that space is reserved for things such as updates , gadgets for sidebar , you know ok , maybe they did copy sidebar and it's bits 'n' bobs  .
they're rival companies , what do you expect  .
one more thing , the amount of people complaining that they cannot manually install it properly  .
it's an os , it is designed to be installed by a proper technician thanks for reading anyway .
i've completely moved to windows vista and don't plan on moving back  .
don't listen to the readers complaining because they do not know how to work with vista home basic  .
you can get aero glass , flip 3d and taskbar thumbnails in vista home basic check my thread i've posted on how to do it    .
http  //www  .
winmatrix  .
com/forums/index  .
php  .
showtopic  11879  .
enjoy  .
once i had opened the package that had contained my windows home basic laptop , i is very very happy about how well microsoft had made their new os  .
the first thing i noticed is how fast it was  .
it only took about 5 minutes to get the computer set up  .
it seemed weird that it is so fast , considering that my computer only has a single core processor and 512 mb of ram  .
the os also has great security options , such as the user account control , which helps prevent spyware  .
vista also has a slick futuristic look which really beats out the look of any other os  .
but basic only comes with a few media options and no windows aero (which is sweeeeet)  .
but if you are looking for a fast , convenient , and cool computer vista home basic is for you  .
updated  .
on sep 20 , 2008  .
i is in need of a new pc for basic home computing needs , no gaming , and bought this os already preinstalled the day vista went on sale  .
i find it to be a definite improvement over xp , especially in terms of security  .
the overall look and feel of the os is excellent , and it is very stable  .
so far all the software on used on xp works fine with vista  .
i also find the new windows mail to be a big improvement over outlook  .
it gives me no reason to use thunderbird i would ask people that have not used this software not to write opinions on it  .
there are too many people giving vista an unfair review based on no experience with the product .
i got the free basic home edition upgrade when i purchased a second computer  .
i ended up making one computer out of two , taking the best components from each and combining them into the one i kept  .
i recently installed the vista upgrade (had xp media edition) and i like it much better than xp  .
everything just appears to be cleaner and better organized  .
plus , it doesn't have near as many quirks as i always felt xp had finally , i don't know what everyone keeps complaining about because i have had zero problems with vista  .
the only item i had to work around is my webcam but it is a simple enough fix once i checked the manufacturer's website  .
i didn't even have to install a different driver all that said , i do not believe there's enough improvements or features on the basic edition to warrant paying 100 bucks plus  .
if you're happy with xp and cannot get a free vista upgrade like i did , stick with your old os .
vista is mainly used for user friendly but it take time to load , in the laptop we use vista the battery power is less compare to xp , network is easy to acess the windows mail and take the backup and to restore  .
if your considering upgrading to windows vista , you should backup your programs and files and you should consider moving your mail to a temporary on line account i lost my mail when i upgraded , even when using the backup as defined  .
it required me to jump through several hoops to get only part of it back  .
the jumping involved creating an account on someone elses xp machine and doing some voodoo from there to see mail from the backup disk (very time consuming)  .
i have been along for the ride with microsoft since day one and i must say that vista is a vast improvement over the other versions  .
the gadgets are a much needed improvement to the system  .
business folks will find this an invaluable tool especially if its intergrated to allow collaberation between workers still i find the system falls short of my expectations  .
i expected a software upgrade that would open me into my day of activity and let me move around within the tasks that i need to do  .
i just dont see this with vista  .
you still find your self opening this program to see what you have to do for the day and then another program to perform part of the work and yet another program to perform another part of the work why cant you start up windows in a program that tells you what is on your agenda for the day  .
and from there perform your tasks  .
you will find the graphics great and the gadgets a plus but its still not a user friendly program  .
oh yea the menus you were used to in xp well forget them they moved them around again and the explorer is quite difficult to navigate its not intutive at all all in all is it worth the jump from xp  .
if you have a pc thats less than 1 year old i would say go for it  .
other wise get it with your next planned hardware upgrade .
i'm a traditionally    published author  .
my tools until recently   a compaq presario desktop and a toshiba laptop , both made in 1998  .
in july 2006 , the laptop started doing strange things when i typed , so i bought a dell inspiron b130 laptop with windows xp sp2  .
what an upgrade  .
when i realized how important a new desktop would be , especially if anything happened to my laptop , i bought a dell dimension e520 desktop with windows vista home basic  .
i travel a lot to libraries and research facilities and having a good desktop means i don't have to depend on my laptop for all of my computing needs no , i don't work for dell ; amazingly enough , both of the new dell purchases (laptop and desktop) cost less than the compaq presario bought in 1999 the dimension e520 came with a 15 inch flat screen monitor , and the cpu's case has a quick release feature that allows for easy access  .
the case also makes carrying it a snap  .
these features only added to the pleasure of discovering a new computer and a new os , windows vista    .
when you copy a file to the same directory in windows explorer , the file no longer goes to the end of that directory ; the copy you made is next to the file just copied from ; great feature when you click on the start button (that's the button with the windows logo in a round ball which replaces the word start ) , you won't find run  .
instead , you'll find a field marked start search  .
this feature is handy , and if you type run in that field , you'll have the old run feature (otherwise , you'll find run in the accessories directory)  .
the new feel of all programs is its directory , making it pretty easy to find the program you're looking for i don't play games or download much of anything from the internet ; i don't burn dvds  .
instead , i write biographies of people who lived a long time ago  .
when writing and researching , i need a calendar but have never found one that suits my needs  .
that is , until microsoft calendar came along  .
i've never used this program before , but its performance in windows vista is like magic   click on the month/year of the smaller section to the left of the main viewing area , and travel (with a whoosh  .
) to a list of months in that year ; click on the year , and whoosh  .
you have a decade of years to select from ; click on the decade , and whoosh  .
you have a century at your fingertips (the calendar goes back to 1630  .
) the volume control in windows xp becomes the volume mixer in windows vista and links various volume controls in one environment  .
this is a very useful feature ; in windows xp , for example , in order to adjust the volume correctly while listening to ripped music in windows media player , i've always had to first adjust the volume control and then adjust the volume level in windows media player  .
these two features are now linked in the volume mixer as soon as i turned the computer on for the first time , i uninstalled mcafee , aol , earthlink    all of the free trial software programs that never seem to go away and take up space in my computing environment perhaps i'm fortunate enough to have purchased a brand new system with vista already installed  .
i've installed all of my older programs (even lotus word pro for windows 95) , but haven't figured out how to install zone labs' free version of zonealarm ; vista wo not let me  .
on my laptop with windows xp , i surf the internet safely with three free programs   spybot , avast and zonealarm ; spybot and avast seem to work well , so far , in a vista environment i may not be a computer geek , but windows vista has left me politely blinded by the light  .
i'm impressed with it  .
if i had to compare windows 95 or windows 98 to windows vista , i'd have to say the difference is like comparing a traveling carnival's amusement park to disneyland  .
i would have given home basic a 8/10 if it was not so difficult to install  .
first it had given me several error messages  .
then when i did a clean install with the upgrade disk (because thats one of the options) it would not activate  .
microsoft did little to help me activate it  .
but i finally figured out the problem (i put the computer in safe mode and installed it  .
hey it worked  .
you have to update your audio driver when you are finished  .
but other than that , this os looks amazing  .
the interface is sleek yet easy to use  .
the new interface makes it easier to use and search items  .
the search bar on your start menu is also handy  .
the windows media player 11 works much better on vista than on xp  .
the new photo gallery is also a handy tool  .
the games look great and are actually some    what more fun to play , but generally look better  .
the security is also good in vista but can be a little annoying , but it is necessary and helpful  .
overall its better than xp , but i just wish the installation went smoother  .
i have been using vista home edition for the last 6 months or so , since i got a new dell vostro 1000 laptop with 1g of ram and a amd sempron single core processor  .
not very good specs to try to use vista on , i'm afraid  .
it ran much better when i upgraded the ram to 2g (the max i could put on this machine) , and uninstalled most of dell's bloatware , thereby freeing up almost all of the system resources to run vista  .
now , vista actually runs pretty well  .
the feature i like the most is the windows mobility center , which makes it very easy to sync with a windows mobile device , and also it is easy to share an internet connection with a 3g phone running windows mobile  .
also , the gui is a vast upgrade over xp   the icons are very pretty , and it doesn't take much in the form of computer skill to run most applications  .
the cons  .
well , there are many  .
my biggest complaint is that it doesn't come with a built    in office program , such as office 2007  .
microsoft charges you anywhere from $200    $1 , 000 for this , depending on what you need it for  .
of course , you can download and install openoffice , which is a very nice set of office programs , for free , but you cannot use it to sync to a windows mobile device , which renders the mobility center useless unless you have microsoft office or an equilant microsoft office program  .
also , for all of this talk of improved security , microsoft still does not include an anti    virus program as part of it's operating system ; hence , you still have to go out and buy norton or some other security suite to protect your data  .
shame on you microsoft  .
oh , and one other thing   microsoft includes the entire vista operating system on your computer (ultimate , business , home premium , and basic) , so vista is taking up many times more space on your hard drive than is necessary  .
why cannot they simply install what you need to run vista basic , and leave the rest off of your computer  .
c'mon , it came on the new compaq replacement pc i had to get at short notice because my shuttle xp pro burned out  .
forst thing the wife asks , where is outlook express , i need to get an email  .
