i like it the way it is  .
it has been designed good  .
from visually appealling to functional  .
i like it that i can see when my next destination is coming up as well as hear it only if i wanted to concentrate on the road  .
you can do tricks with the device as well ; tricks like putting a picture of your love ones on the screen  .
tricks like playing movies  .
tricks like listening to musics  .
you can even play some little games on it as well  .
even though you can do all these things , i prefer to keep it simple  .
i like it to just be a gps system  .
i have fooled around with it a lot and have grown old  .
however , i still like my old device the way it is made  .
it is built good  .
i have bought my device used for $45 , which includes the usb cable to transfer files to do your tricks and recharge , the windshield mount , the dash mount , the unit , and the box  .
it seems to have been dropped before  .
i even have dropped it once and it is still working  .
the unit does crash a lot when you are making it do tricks though  .
so , that is an annoyance  .
i have had to shell out another $30 to buy a missing emergency system restore disc  .
i have even had to buy a car charger for an additional $17  .
including gas money , i would say that it is the price of a new one  .
unfortunately , the battery only lasts for about 2 hours when the device is used to its maximum potential  .
if i would only dim the lights , i could maybe draw that out to the advertised 4  .
5 hours  .
but , i like it always on  .
so , for those of you who wish to see movies on here , i would suggest you purchase a legal version of the movie , then download the movie file that fits into the device from the internet  .
it looks good just not as in    your    face    life    like    high    definition ; it has been compressed to view on a small screen  .
however , your photographs look like human beings  .
so , you can snap a picture of your family and keep those memories precious inside your device  .
when you are not driving and safe , you can view those photos  .
as for musics , the sound plays marvelously through the back speaker  .
definitely , high quality sounds  .
just don't obstruct it and you'll be fine  .
so , what is the first step  .
buy it from a place you can trust  .
you have www  .
ebay  .
com , which sells used and new ones  .
i have never bought this item from there so i cannot advise you except to exercise caution  .
i got a wrong chip or two that works on my computer  .
one product , i never received  .
you just have to know this is a bargaining place  .
you have to deal with many used products other online stores are market place for scammers  .
they scheme and give you a product that is an imitation  .
i would rate the success of obtaining a mio c230 from these mentioned places to 70%  .
the best place to get a mio c230 is maybe at staples  .
unfortunately , this device is about two years old so many store may have discontinued carrying it  .
the next best thing may be amazon  .
com or one of listed sellers online  .
remember , read as much as you can  .
i got my device from www  .
craigslist  .
org  .
i met the person who seems like a good college student at fry's electronics  .
luckily , the policeman is parked about three yards away , but that is no guarantee  .
i have even tried to sell my mio c230 (modified to play movies , musics , books , etc  .
) for $200 firm  .
luckily , for me and maybe for the buyer as well , the transaction did not go through  .
if you are smart and read a lot and search on the internet , you can do the 'hack' yourself  .
if you are just a user like i am at times , you'll have to pay for the service  .
all in all , to sum up my experiences , i would like to offer these view points  .
the system sometimes takes about 5 minutes to get a lock onto your position while driving at 60 miles per hour  .
it takes about 2 minutes while at a stand still  .
in a closed building such as an apartment , you often lose the signal  .
it is only accurate within the street  .
you have to look yourself at the house numbers , however , the streets are fine  .
there is no lane guidance unless you upgrade to on course navigator 8  .
i is coming home and there is 5 lanes  .
3 lanes led home to the left while the 2 other ones lead me else where  .
it did not tell me to keep on the left three lanes  .
the ocn8 did  .
that is another $65 that you will have to shell out for the upgrade  .
it is a fun system to have  .
for all the functions like spanish , german , english , british , etcetera speakers as well as male or female options and others , you cannot go wrong with this one  .
just do not let your babies play with it too much or else you might not be able to have a system for yourself as well  .
to top it off , you can even set it to warn you of speeding  .
it has been reported to have traffic flow adjustments in european countries only  .
happy bidding on ebay or where ever you are going to purchase your mio c230  .
this is just one happy camper's review of the gps system  .
let is take you out of your way sometimes so you can see where it leads .
i used it on a 1000 mi trip , i missed an off ramp and decided to let mio reroute  .
i went through back roads , up and down hills , one lane roads and came out at my destination  .
i love it  .
best investment ever  .
i love this thing soo much it works greatt  .
i bought this gps unit as my first navigation unit  .
for an entry    level gps unit , the price and features of this unit cannot be beat  .
not by tomtom , not by magellan , not by garmin  .
there are those who need bluetooth , mp3 player , and 20m pois , but i'm not one of them  .
i live in miami , i know where my local gas stations and restaurants are and i needed a device that would get me from point a to point b  .
honestly , i look at mio's addition of 750 , 000+ pois as a gift rather than a downfall  .
honestly , i do not know anyone who is going to use 3 million pois ever in their lifetime , and the c230 has all the essential pois that a normal person would want or need  .
i got it for $190 and the fact that it has tts at such a cheap price is unbelievable  .
you are not going to find any navigation device anywhere with tts at that price  .
mio really did a great job with this one  .
if you want to talk on your phone and play mp3s while navigating , then this device is absolutely positively not for you  .
go get a garmin  .
for those of us who want a simple way to find our way , get the c230  .
do it now  .
this is an awesome gps for the price  .
i got mine for $130 , the next cheapest gps that i could find that speaks street names is $300  .
this is a great gps if you do not want to spend over $300 for one  .
personally , i think it would be a waste to get any other gps under $300 that was not this one  .
i would recommend this gps to anyone on a budget  .
i had no problems whatsoever  .
it could use some more poi's but it's very easy to put them in yourself .
no real big complaints , you cannot beat the text to speech capability for the price you pay  .
right now its only $199 at best buy .
the mioc230 is easy to use and is quite a bargain when compared to other brands of similar features  .
i'm glad i bought it it has text    to    speech    a feture found only on high end gps units .
first of all , i bought this system several weeks ago for $134  .
99 at radio shack  .
with a price like this , i was not expecting a whole lot , but i is pleasantly surprised this system has text    to    speech which , in my opinion , is the best feature of a gps  .
i got into the gps systems when going out of town with a friend who had the garmin streetpilot that paid $500+ but didn't have text to speech  .
the most complicated directions became so simple by having 2 people in the car so 1 person can read the display  .
this saves on the horrible directions that mapquest and google maps gave  .
plus it will be cheaper all around by saving on printer ink and saving the environment by eliminating paper trails to each destination i wanted to try tts and i am so happy i bought this system  .
when you are in the car by yourself you do not have to take your eyes off the road because you get plenty of advanced warning of the name and distance of the next turn i like that the lights can be dimmed all day or automatically when it is dark outside  .
this means i can place the system in my windshield and not be easily distracted the windshield mount is excellent  .
it sticks and locks onto the window without worrying about it falling  .
my friend's garmnin fell from my windshield several times  .
i have had my mount up since i got the system and it has stayed up the entire time  .
i take it down and put it up everytime i get into the car there are many different features i have not needed or had a chance to use  .
you can change your route while in route  .
you can avoid certain streets while in route i do have a couple of cons that would never outweigh any of the pros as follows    .
the instructions (detailed) are on cd    rom  .
i would have preferred a detailed instruction booklet , but this does save on the environment , too i find that it does not always take me the fastest route , but i have lived in this city most of my life and know that traffic patterns better  .
when it is a place i am not familiar with i don't care if it takes me 5    10 extra minutes as long as i get there safe sometimes when i start up the system it will say i am in tn  .
(i'm in oh)  .
when i click on cockpit it immediately changes to the correct place overall , i am very pleased with this gps  .
i am pleased with the amount of point    of    interest places it displays  .
i can always expand this with a flash card , but i believe it gives me enough options to choose from i couldn't pass up the price at $135  .
i have not seen it this low since , but i would spend more for this system i gave it a 9 out of 10 just because i have a couple of cons i only rate a 10 if it is perfect  .
but what is  .
just bought this unit (my first gps) really like the voice to text my friend has one with out this capability and he is jealous  .
took a little time to understand how to use but not bad considering this is my first gps  .
the basic feature set of this unit is impressive enough with speed warnings , multi    stop route planning and text    to    voice as some highlights  .
but where it really gets cool is when you revamp the unit with other window functionality by unlocking windows ce  .
this is not for everyone , but it can really add some nice features not available out of the box  .
for the great price , you suddenly get an amazingly powerful tool .
i have the mio c230 for two months now  .
i have to say it is not very easy to use at first , but after a couple of hours , i is able to find my way around it  .
the manual is 92 pages , and i think it can use some improvements  .
this is my third gps , i have a garmin c340 for almost two years , and a nuvi 370 for about eight months ; so i can say that i have a bit of experience with the garmin products which considered to be one of the best gps in the market  .
the only reason i got the mio is the ability to add multiple stops to your final destination (via points) , and the mio's ability to optimize the route for you , a feature not available in the garmin products  .
my girlfriend is a realtor , and she makes numerous stops to show houses to her clients ; with the garmin , she had to enter one stop at the time , which means that she might be going back and forth or zig zaging around ; with the mio , all she has to do is to input as many addresses as she needs to , and then the mio will optimize the route and guide her around , cool you can enter address either by state / city / street ; or you can use zip code / street ; very nice feature  .
any address you input will be automatically stored in the history and you can retrieve it at any time ; you can also copy everything to the sd card and store it in your computer or use the data in another mio , cool  .
if you don't have the address but know where your destination is on the map , you can touch that point on the map , and the mio will take you there  .
during navigation , the unit will tell you the next manuver well in advance , and it will repeat it three times as you get closer , so you will have time to get ready for it  .
if you still miss the turn , the unit will recalculate in seconds and you are back on track there is also an icon for home where you can store your home address , by clicking it , the mio will take you home , a similar one is for work  .
you can rename both if needed the detailed information available on the screen in cockpit mode is impressive , on the upper left corner it shows the next maneuver (an arrow going right or left) , below that it shows the distance to that maneuver and the estimated time of arrival to your final destination  .
next to that you have four icons to zoom in and out on the map , and to change the view from 2 to 3 dimensions and vise versa  .
another nice feature is the pedestrian mode , in that mode ; the mio will take you thru the shortest route ignoring the traffic direction of one way streets  .
you can customize the mio for brighter screen or to get louder if you reach a specific speed ; routing can be customized to shortest , fastest or economical  .
you can avoid toll roads , u turns , unpaved roads , highways , etc the text to speech feature is also a definite plus  .
the only thing that i really don't like in the mio c230 is the very limited number of poi's (about 900k) , you will hardly be able to find anything in there , mio needs to do something about that limitation  .
however , you can add you own poi's to the data base if you know the address  .
also , the unit will not shut    off with the ignition , no big deal in short , if you do not need the mp3/photo player , or the blue tooth ; then the mio c230 is the one for you  .
it is a great basic gps , loaded with features that may not be available on other big name brands  .
impressive signal reception , bright screen , clear tts voice , nice design , pocket size , at an unbeatable price .
the cheapest new entry level gps with text to voice  .
you really cant go wrong for 174  .
i put this thing through the ringer for 1 week now and haven't found anything that i do not like about it besides the battery life  .
it will pay for its self in 2    3 months if you drive as much as i do  .
go out and buy one you wont regret it i promise .
if you read the cnet review , then by their own words , you have to wonder where they got 6  .
7 rating  .
this thing works beautifully as a gps  .
it accurately gets you where you want to go  .
it recalculates fast and dead on  .
text    to    speech is a must once you have it  .
i'm sure cnet does not have a lot of time to play with these things but if they did they would have found that the keyboard has three settings , one that looks just like the garmin  .
as for it being too small , if it has the same 3  .
5 in screen as the competition then the less of your vision it blocks the better plus it fits nicely in your shirt pocket  .
finally , i have yet to see where a high end gps unit gets rave reviews for its mp3 player or bluetooth functions , so why pay for them  .
just like this gps , you would do better to buy a quality unit designed for that purpose .
this should have had a higher review rating  .
you cannot find another text    to    speech capable device for anything close to this price  .
the feature set compares well with my older gps's  .
the signal strength is impressive (i is getting a usable signal indoors in a three story building)  .
i did not find the keyboard at all cramped and other than some peculiarities with the menuing system (which i'm sure i'll get used to) i could not find anything wrong with this unit .
this unit is a great buy  .
i really wonder how many folks use bluetooth , mp3 player , etc ; i wouldn't  .
the biggest selling point for me is low price , readable screen , and tts  .
the routing is good so you do not have to spend a lot of time looking at the screen  .
i very much like the qwerty keyboard , and the search results are nicely filtered as more letters are entered ; enter th , and a whole lot of non sensical letters are greyed out  .
this makes entering addresses very easy  .
it's also very easy to avoid roads through preset conditions , or on the fly  .
the smart zoom is nice , and minimal interaction is necessary when navigating  .
the poi database is somewhat limited , but they tried to keep things to the groups that you'd really need in a pinch  .
for example , starbucks is not there , but how many times do you really need a gps to find a starbucks  .
there's an sd slot , and gpspassion has lots of free poi databases available for download  .
for 199 bucks , i cannot imagine a better buy  .
i played with the garmin 660 , and the range of customization available on the 230 is incredible  .
i've read reports where others thought the user manual is too big , but it takes 92 pages to adequately describe how this thing works  .
the directions (not available online in the us ; try a foreign site to see what you'd be getting) are very well written and seemed to anticipate my every question  .
after about 1 day , it's all very very intuitive  .
the mount is solid too ; no slippage after two weeks  .
finally , the unit is hackable to unearth a whole lot of additional functionality ala other mio units now , when i refuse to ask for directions ; i'll finally have a good reason for not doing so .
a well built gps i is amazed how quick it warmed up and fixed my position  .
its compact yet has a nice size screen  .
also the editor complained they wish you could adjust the volume easier well i had no problem with it  .
you just touch 2 times and your in the volume menu (duh  .
) also it has a nice feature dynamic volume which adjusts the volume as your speed increases you dont have to use it if you dont want to  .
i felt the touchpad is just fine i had no problems  .
very easy to navigate and all you do is input a address (which the mio helps you with this also so you dont have to key too much) and then touch route to and your on your way  .
so easy even a caveman can do it hahahahaha  .
this is a great gps  .
it is inexpensive and does what i need it to  .
i don't need or want an mp3 player or bluetooth device or anything like that  .
a couple of things to watch out for   off of the dc power , when it dims the screen after a few seconds it is virtually impossible to see when it is sunny out  .
so either keep it plugged in or set the screen so that doesn't happen and accept a short battery life  .
i wonder if this is the problem that cnet had with the previous version of this device  .
the screen is very legible and easy to see even in bright sunlight as long as the backlight is on  .
i have also found that it sometimes takes me weird ways around town when i already know where i am going  .
i think this is endemic to this type of device but do not have much to compare it to  .
in the end , it gets you where you are going however  .
highly recommend .
this gps is really fantastic for the price  .
if it had more memory for the poi (like its previous model) , it would be a 10 of 10 the text to speech is great  .
a friend has a tomtom one xl and is surprised this had text to speech capability at about 1/2 the price he paid it has a selection for fastest , shortest or most economical route  .
you can also select walking routes (great for nyc) and to avoid certain areas  .
the display is easy to customize and the voice prompts are quite tolerable i've read that the keyboard is cramped but i don't have problems and have paws  .
you don't type that much as it narrows the choices quickly so you only make a few keystrokes it takes a little getting used to but after you go through the menus a few times , it's pretty intuitive i got it from costco  .
com for $180 + $10 shipping  .
it's a great basic gps and perfect for my use  .
for $200 with tax , i do not need to get lost any longer .
i have a bluetooth gps that i use with my pocket pc but i really needed something that is a standalone unit  .
the mio c230 caught my eye with its great price  .
the reviews i found were very positive so i bought it  .
the route calculations are very fast  .
initial satellite acquisition takes a minute or two and stays locked on pretty well you can change from 2d to 3d views by pressing the up/down arrows on the display  .
and also zoom in and out with the magnifying glass symbols i had a chance to try it out in flight recently and is very surprised  .
i checked the gps screen and it showed my elevation at 7 miles , 149 yards and a speed of 476 mph  .
additionally it showed the streets below whizzing by  .
after i landed , i noticed it has a button for views from an airplane , very similar to the inflight info available on many long haul airliners this is a terrific little gps and with all the features and great price (under usd$200) it is definitely worth a look .
it's interesting that cnet reviewers rave about this screen and criticize the c220 screen since they are identical  .
(i have a c220 as well)  .
this gps continues the tradition of packing in useful features and leaving out useless features in order to offer a great price  .
if you want mp3's and videos you need to buy a media player  .
this is a gps and as such it has everything you could want in an entry level gps and many options only found in more expensive gps units in a gps the most important features are the gps receiver/chip , the maps and the interface in that order c230 has a sirf iii chip  .
this is industry standard and has been shown in independant tests to be superior to most other chips teleatlas maps have made incredible improvements over the last few years making them as good if not better than navteq  .
of course as with any map , some things will be missing  .
but i have found just as many complaints about navteq missing things as i have with teleatlas interface is easy to use , very intuitive  .
considering the number of features and settings available , the menus are incredibly simple i would recommend .
i really like this one  .
primary use will b 4 trips to other cities on foot it has an option of how ur traveling , by foot , bike , car not much out there for add ons though , do not really need it yet w/ the stuff that is jammed in here gps locks pretty quick i'll have it in the car but not for any realtime drive use  .
screen is too small  .
you must pullover  .
as w/ any all map reading  .
(damn socal drivers)  .
i cannot afford to spend $600 on a big shiny gps device with a dozen features i'll never use (do we really need digital cameras on car navigation devices  .
) the digiwalker c230 works great  .
it seems to have no trouble connecting to gps satellites , even through a few floors of aboveground parking garage  .
the text    to    speech feature is nice and speaks clearly , and the device does a good job of calculating routes  .
you can set it to warn you if you're speeding by too much , and allows you to set those speeding parameters yourself  .
it even has a speed camera feature , alerting you to known traffic cameras and allowing you to update the database with new entries on the downside , it is small , though no smaller than it's competitors  .
the screen size is not an issue in map mode , but your default route    following view is cockpit , which uses almost a third of the screen to display upcoming turn directions and statistics  .
this leaves even less map space the other complaint is addressed in the review   volume controls  .
you have to sift through several menus to adjust the volume , which is difficult and dangerous while driving  .
the device does have dynamic volume adjustment , but it would be nice to be able to adjust it manually overall , a very good device for the price , with features i expected to find only in more expensive units  .
if you're thinking about getting the tom tom one or garvin nuvi 200 , look at this first .
i used to own a more expensive gps unit prior to this one that had more features  .
unfortunately , someone broke into my vehicle and stole it  .
i needed a replacement and did not have the money to dole out for a similarly priced one , so i settled for the mio c230 instead for the money you simply cannot beat this unit  .
it's compact , realtively easy to use , and best of all has text    to    speech so you know where the heck you are going without looking at the screen my main complaint about this unit , is that i have noticed that the software can be a little buggy and slow  .
when you are making a rapid series of turns that are within 50 yards of each other (like in manhattan) , sometimes the gps unit cannot keep up with you and tells you to turn onto a road that you already passed because of the unit's slow response time  .
another problem that i have noticed is that every once in a while the unit will experience some sort of error and have to reboot out of the blue  .
fortunately when the unit does this it starts back up quickly and picks up where you left off in your directions overall , this unit is a great buy  .
if you are on a tight budget and dont care much about media featuers , bluetooth , or traffic reports then i highly recommend this unit  .
i got this for $199 @ j r , new york and i've been extremely satisfied with the amazing value i've looked at several gps units at widely varying prices  .
i knew that i would be giving up some features at the lower price point , but as a new gps user , i wanted something appropriate to my expected usage (i is never impressed with media    playing functions) i ended up using it to guide me around orlando and miami    i is new to both the unit and the city  .
fantastic experience  .
attractive interface , clear maps , very impresive positioning (sirf iii , waas) , text    to    speech  .
the latter is so useful that i don't know if i can recommend that anyone buy a unit without it i is disappointed that i could not investigate all of its capabilities without a computer (no paper manual) , but it is interesting that i is able to do all that i wanted to without it so far in the silence of night , the default volume can be a bit too loud  .
adjusting the volume is buried a few levels deep into the menus  .
not something you want to try while driving .
bought this gps from buy  .
com and used it in city so far  .
i find all the features impressive  .
i am unable to search and add point of interests as favorites i tried searching stores like costco , walmart but poi returned 0 results  .
for $100 , this cannot be beat  .
i love my mio more and more  .
i've had it for a year now and once you get used to the sometimes clunky menus it's a fine gps  .
also , i keep bringing up unlocking it but that's the way to go with this  .
once you unlock it you can do so much more i use it for geocaching and use miomaps to drive to the geocache , but then switch to a program called beelinegps to get closer to the cache  .
miomaps does not turn off static navigation even when you pick pedestrian as mode of transport static navigation ignores your movements when you're going less than 3mph , or move less than 20 feet  .
this is great when you're in a car but sucks when you're walking around  .
i mean come on mio , you call the unit is digiwalker luckily , if you use beelinegps (included in some unlock packages) it shuts that right off and you can download geocaching loc files right to that program if you just want a basic decent cheep gps , this is it  .
if you're semi computer literate and can follow simple copy and paste instructions and use google you can unlock it for free for even more usefulness .
i had been living with a garmin streetpilot iii for 4 years and suffering with a bad ui (no touchscreen) and extremely slow recalculation the mio c230 gps is a joy to use compared to this older model  .
it has a very compact form factor , nice looking screen , different views that cover every practical view you'd need  .
with text    to    speech (speaking street names) and a $175 price point , this is a great deal  .
but it's not perfect the biggest practical shortcoming is the limited ( 1m) poi database  .
from what i can tell , it has many smaller , single stores/restaurants , but not many of the big chain franchise stores/shops (starbucks , target , walmart , etc)  .
i knew that going in , and you can compensate by adding poi's as you visit them  .
