oh , i want a droid x .
i love this phone although it has glitches sometimes  .
that happens with all smart phones though  .
i find it very reliable and would purchase another one in a heartbeat .
it's well worth the money .
get this phone u wont regret .
awesome  .
solid phone with an app to do any thing important  .
rooted my phone and installed a custom rom of froyo so now i can watch flash and what not .
by far the best phone ive ever owned , it easily tops its competition , whether its a blackberry or the iphone , i would grab a droid , or any android phone for that matter without hesitation , ive become to accustom to open customization abilities , free tethering (via pdanet on the market) as well as the other features from the android os to go back .
this machine's hardware has been superseded by more recent models , but it still does just fine , and with expected performance improvements with froyo , i expect this phone will meet my needs for some time to come my wife has an iphone 3gs which i recently upgraded to ios4 , and is frustrated by the absolute need to go through itunes for everything ; some people are ok with that but i find it restrictive ; i pre    empted the last ota update for the droid by downloading the update from google to the phone  .
s sdcard , then i installed it manually  .
whenever my wife wants some media that i have on my phone ; i hook the droid up to her laptop via usb , drag and drop , easy  .
same goes for media the other way ; i drag and drop music onto my droid frequently    gps navigation  .
this phone basically retired our gps because it has full turn    by    turn navigation ; the route and the audio are downloaded from the cloud as it plans the trip ; my wife noticed that it  .
s gotten better at pronouncing street names in the last few months ; no work on my part , no upgrading firmware or buying disks from garmin i don  .
t pay for sms because i use google voice  .
if i want to make an international call , i can set up my phone to automatically make that call through google voice (    0  .
02 cents per minute to ireland )  .
verizon has it set up so you can make skype calls directly from the handset over 3g i switched from at t partly because their coverage is useless for me ( zero signal in my office at work ; verizon has no problem )  .
also , with the new cloud messaging api introduced with froyo , i think there is going to be a huge surge in cloud    based mobile computing that is going to be very interesting .
overall , i cannot believe the power they have packed into this tiny device  .
the small sacrifice in industrial design shortcomings is well worth the signal that i'm able to get and no dropped calls .
i absolutely love my driod i switched from a t    mobile wing (horrible , horrible carrier phone shudder ) , to the droid , and it's incredible how much faster i can do things great hardware and software implementation  .
i like the droid quite a bit more than the iphone (played around a while with both before purchase)  .
android is a much more custom experience , and i really dislike itunes updated  .
on sep 3 , 2010  .
having upgraded from a blackberry 8830 world edition , i must say that i am immensely impressed  .
the droid has met and exceeded my expectations  .
this phone is a all    inclusive device that functions as a media player , gps system , communication device , and pda  .
i is considering the htc droid incredible but decided on the motorola because 1) it is in stock  .
incredible on back order until july  .
2) i actually like the thickness and weight of the motorola better  .
as someone who tends to drop my phone alot , i felt the motorola would stand up to more abuse  .
i am extremely pleased with this device and would highly recommend it to anyone who wants a phone that marries cutting edge technology with good looks .
i cannot keep my hands off of it .
if you enjoy the google suite of products then you must have this phone  .
order phone chargers and extra chargers for work as you will use it often  .
it has proven to be seamless working with my office microsoft exchange server as well as vpn connectivity  .
improvements continue and the widgets continue to grow .
bottom line get the droid  .
it's better than the iphone in my opinion  .
let's be honest , i don't want a cell phone  .
as a mom , i need one  .
for my job , i have to have one  .
in reality , i'd rather not have a landline , much less a portable device enabling people to call me wherever i roam that said , i love the internet  .
i like to take pictures , listen to music , surf the web , play games , read books , and occasionally text my friends and family to touch base  .
as a frequent traveler , it's nice to have a map that doesn't have to be folded , unfolded , or studied on the side of the road with little gas and practically no light at 0300 if lost  .
i now have all of this and more with one device no need to have a tomtom , phone , ipod , camera , and laptop to lug around  .
oh , and if i'm inclined to do so , i can call people   )  .
the droid is the first smartphone i've had  .
my first qwerty keyboard  .
first touchscreen  .
i have not been disappointed the android market is full of free apps  .
many are actually worth having and do what you need them to do  .
if you want a droid , here are a few tips as soon as you activate your droid , find an antivirus app  .
for now , there doesn't seem to be many accounts of phone viruses but that is sure to change  .
i use lookout because it also has an option to remotely wipe the droid and/or make it scream should someone decide to steal it afterwards , have fun  .
be careful though  .
check out what the app you are installing will have access to on your droid  .
for example , i wanted an app to help organize a grocery list  .
i found a really cool one but it had access to my phone settings , gps , phone calls , sd card it is crazy  .
i decided pen and paper works just fine also keep in mind that the info an app has access to may change  .
point in case , i had a lightsaber app to amuse the hubby  .
i reviewed the access the day after i installed it , and is disappointed to see that the app had access to practically everything but my dna profile  .
i uninstalled , much to my hubby's dismay  .
to pacify him , i searched the app again  .
per market , it only listed 'prevent phone from sleeping' as an access  .
i reinstalled , cheked the access , which still listed only 'prevent phone from sleeping'  .
i rechecked it again a few hours later , and is not suprised to note that the app suddenly had access to everything but my dna once again  .
i uninstalled it for good  .
so monitor your apps  .
keep in mind that all cell phones can be used to track you  .
that's great if you're a missing person and it sucks if you have a psycho stalker  .
i don't , but i'm still a little paranoid about how easy it can be to be tracked by your cellphone  .
if you are of a similiar opinion , adjust the settings on your droid  .
