quality seems on par with every other panasonic product i have bought in the last nearly 20 years (all of which i still own and use)  .
player is connected to my pioneer elite dolby 7  .
1 receiver and switched to my panasonic 50 g10 plasma  .
picture quality is very impressive using 24p playback and the thx video setting on my tv without playing with and additional settings  .
very full range sound from the speakers , plus the surround sound placement is perfect  .
cannot ask for much more than this out of a player , i would not mind upgrading to a newer player for the faster load time , but no real reason to layout money for one minor upgrade .
i am using this player with my panny pz800 for a month  .
i resulted excellent image quality  .
i have made an side by side comparement with ps3  .
the picture of ps3 is meaningless and  .
the only good thing about it becoming sharp  .
but the picture on this player is dramatic , deep and its like 3d  .
also sharp  .
also this player is very slim  .
great design  .
looks good in my tv unit .
yeah best buy of the year right on bluray  .
this is my first high definition dvd player  .
it worked out of the box with an all hdmi setup  .
the sound is clear with crisp highs and deep bass  .
the minimalist design of the dmp    bd35 fits perfectly with today's remote    based operation  .
there is an on/off button and an open/close button ; all other controls are supported via the remote  .
on    screen menus are easy to read and visually navigate  .
it supports the all the digital outputs and processing necessary to function with today's moderate to high    end home theater components updated  .
on feb 24 , 2009  .
the product from the box to hook up is easy to use  .
the menus are in good order and clearly identify what you are about to do when activating a feature  .
the book that came with it explains things in great detail and has a nice troubleshooting section .
you can get this unit at costco for around $269 with an hdmi cable included    a no brainer  .
best profile 2  .
0 available today .
is able to get connection immediately as dmp    bd35 immediately recognized my wireless connection as a normal ethernet hookup  .
this despite my router being encrypted  .
the various components , all of which had very well written instruction booklets (someone who wrote these obviously not only reads and writes fluent english but also understands how to convey how to explain the intracacies of hooking things up and the problems one may have  .
) these components definitely play well together  .
all of the comments by other writers re the superb sound and visuals are absolutely true  .
highly recommended  .
why wait for the unit to drop another $25 or $50  .
this is thee best stand alone blu ray player on the market today  .
i is able to get it at sears for $138 + tax on 11/23/08  .
i bought three v1  .
3 hdmi cables for $8 each at monoprice  .
com this player is very sleek looking  .
it is connected via hdmi to my 34 widescreen crt panasonic tv  .
even at this screen size , i am able to notice significant improvement in picture quality over a standard progressive scan dvd player i cannot comment on the hd sound quality because i am getting standard 5  .
1 dolby digital through my optical digital cable to my non    hdmi receiver i am disappointed that this player cannot remember multiple disc positions like my previous dvd player which had a independent position memory button to remember upto 5 disc positions  .
this player remember only one disc (standard or blu ray) only if you press stop once  .
if the tray is opened , the memory is erased the player is pretty fast  .
it takes less than 5 seconds for the fbi warning to appear on the screen once the tray is closed this player is the best  .
once i upgrade my tv and receiver , i shall update this review .
the features and connectivity support should just about fit anyones setup  .
i use the optical bit stream audio out to my receiver for use with my 5  .
1 setup (though my yamaha has speakers a / b that allow me an extra set of front speakers) , as well as the dvds l / r stereo outputs to go directly to the back of my sony television  .
in this manner i can use the sony tv stero and built in subwoofer in addition to my 5  .
1 setup  .
