i have many friends who have iphones , and andrdoid devices , and although they are very cool phones , all of them were very impressed with my torch  .
i played with , and tested many devices for over 2 months before making my decision  .
is really quite stressed about which phone to get  .
in the end , the look , feel and overall bulid quality of the torch won me over  .
absolutely no regrets updated  .
on nov 10 , 2010  .
i'm really loving this phone  .
it gave me a reason to stick with blackberries when i is kinda skeptical before  .
and i grow more into it day by day  .
my sister is about to upgrade  .
she never owned a bb before but she says the torch will be her next phone  .
i have no regrets about purchasing this phone  .
good job rim .
when i first read the professional reviews , i is disappointed because i is looking forward to buying this device  .
i think the bloggers and tech reviewers were very biased and really only looked at the spec sheets and knit picked at irrelevant stuff , as if they where on apple's payroll  .
i really think they did the public an injustice by not giving this device a fair shake  .
when you actually use the device for what a smart phone is for , this device is awesome in every respect  .
it's never out of battery when i need to use it , even at 11  00pm in the evening after using it all day  .
i use to have to stand beside a wall socket every 2 hours for 20 minutes when i had a iphone  .
those days of being an apptard are gone now  .
i've recovered from my brain failure  .
i'm glad i bought it and did not listen to those tech journalists .
everyone will compare this to at t's more famous exclusive phone , the iphone4  .
its true the iphone 4 has a lot more apps , better screen resolution , a camera on each side , facetime , faster processor , a slightly larger screen , and the marketing hype behind it as the it phone right now  .
but if you look at overall practicality in what really matters more and what you are likely to use more , the blackberry torch is actually the superior phone in the real world when considering the strengths and weaknesses of both devices first consider the specs    iphone has the edge , but does it matter  .
whether a screen is 3  .
5 or 3  .
1 , it is not really noticeable , its a cell phone screen , not a big screen tv  .
same goes for the iphone's screen resollution , when screens are that small , does it matter  .
will you ever use facetime  .
you might try it once when the moons align , but , i have skype on my pc , great idea , but i never really use it  .
so what i am saying is the lack of a second camera really doesn't matter either  .
iphone4 does have a faster processor , so you will wait a few more seconds for data on a torch , but its not unbearably slow now here is why i strongly believe the torch is the best at t phone , for practical reasons  .
many of these hyped up phones are touchscreen only with no qwerty keyboard and horrible battery life due to everything being done in touchscreen display  .
bb torch has a good qwerty keyboard for superior texting/messaging/email/search , a trackpad to act as a mouse for superior scrolling , and of course the touchscreen interface as well think about it , a second camera you will never use or a keyboard you will want to use everyday  .
best call quality i have heard on an at t phone so far , have yet to have a dropped call  .
iphone4 has attenna    gate or grip of death which is fixed with a rubber protector  .
also if your friends have bb's you can save money on a cheaper texting plan with bbm being unlimited for fellow bb users so the torch is better at texting , messaging , emails , searching , scrolling , call quality , organization than any other at t phone  .
iphone4 has the edge in slightly faster data transfers , a lot more apps (which 99  .
9% of are a complete waste of time for all smartphones) , and tech specs that do not matter in the real world i would say its a slam dunk for the torch over the iphone4 , but people are generally more taken by clever marketing than practical uses for their devices as for other carrier phones like many of the android based phones , this phone certaintly holds its own and can also be said that it is every bit as good or better than any of those phones  .
the droid and droid 2 have the touchscreen/qwerty combo design to compete favorably without going into great detail into why i think the torch is better than any other phone out there in practical design and use , but many other like the palm pre (similar design) , htc evo , droid x , droid incredible , samsung galaxy , all for many reasons i really believe fall short of the torch bc of practicality  .
palm pre    great design , but no apps , many other of those phones have dreadful battery life where you need to carry a second battery around and i think the droid x and htc evo are just too damn big to carry comfortably in your pocket too  .
i do have to give props to some phones that use flash though , but for what exists right now , i think the bb torch is the best out there .
i have had been using an iphone along with my bb which i kept for its untouchable email performance  .
this new torch does everything i want my iphone to do and adds bb dependability  .
the reception is top notch  .
i can receive calls in places where my iphone just does work at all  .
while there may be more apps for android or iphone there are more than enough for me , literally hundreds that i can use on the torch  .
botton line is this bb is 'quality' not just an excuse for a phone overlayed with an ipod .
the torch is not limited to just media capabilities like the iphone , droid , etc , which are app  .
and media driven  .
note   apps  .
are only useful when you are going to use them ; some apps are a waste  .
too many apps  .
can drain your phone's battery  .
there is too much of hype over apps instead of phone capabilities , functionality , and practicality  .
the torch is a practical phone with excellent emailing and texting features that are logical  .
in addition , the contact program file is very systematic and practical    it is similar to the microsoft outlook contact setup process  .
the phone's camera is great  .
the torch has great multitasking capabilities    you can navigate from program to program with ease note   anyone having problems with some of the applications when you first purchased the phone , i recommend that you upgrade the phone to the newest software version  .
i believe the original software version that comes on the phones , that are in inventory now , have some bugs  .
at first , i ran into some problems with my phone  .
however , when i upgraded my software , i have had no problems with my torch .
its horrible gps dies not work at all  .
internet sucks  .
phone is sluggish  .
and slow  .
rim should be ashamed  .
seriously  .
the only reason i rated this phone five stars is because i have a hard time admitting when i'm wrong  .
and clearly i is in choosing this phone  .
the phone is pure garbage .
tried two android phones (evo , captivate) and just could not do without a physical keyboard or the syncing with outlook  .
bb makes it painless  .
also , a big improvement over the bold and solves many of the problems i is facing with that phone  .
very happy .
superb phone  .
this phone does all of the very nice adult functions that we love about blackberry and combines the touchscreen , apps , and games that made us jealous of our kids' i    phone and android phone  .
