i purchased 2 of these from costco running on cable internet via wireless with a netgear wndr3700 router and have incrediable viewing not matter what i'm watching  .
setup is a breeze and when i decided to start completely over on one of the players no problems at all  .
the features are more than enough for my needs and have not had any of the issues i've read about the bdp    s570  .
and , just to note this is a true personal opinion and review ; as many of us use these reviews in order to make informed decisions concerning products we're looking to purchase  .
have a great day  .
highly recommend  .
streaming depends on two things your network and the location of the player , moved to top of rack and have head no problems at all with netflix hd streaming there are services that test your connection speed like speedtest  .
wham , bam , thank you sony  .
this is a great product , er now it is after downloading the firmware  .
great picture , easy to use  .
netflix subscription is a must with this unit  .
i opted for the blu ray only delivery for an extra $2  .
per month  .
disregard those reviews about choppy netflix streaming , i have logged many hours with excellent results  .
still have not connected the home theater amp and speakers but will shortly  .
until then my bravia tv never looked and sounded so good  .
my only gripe is the 3d created by sony sticker placed on the front of the unit , the cool dim blue light when the unit is on is all it needs .
i purchased the bdp    s570 because i don't want to pay for cable or satellite service  .
via wireless internet , i can purchase or stream for free pretty much any music , movie or tv show with netflix , amazon or pandora i'm also a minimalist , so i like the fact that my entire entertainment system involves   a tv with an antenna for local channels , and my bdp    s570  .
that's it i do not have a fancy tv (yet) or much of a blu    ray collection  .
much less 3d films of any kind  .
but it's good to know i'll be able to accommodate these technologies if and when i adopt them in the future my favorite part of this system is something that is not covered thoroughly by other reviews or product specs at cnet  .
i'm writing this review because i had to do a lot of research to achieve dlna connectivity between my bdp    s570 and my apple macbook running osx but once i figured it out , it is relatively easy dlna is a technology that allows you to stream movies , music , and photos from your home computer to your blu    ray player here's how to do it   buy isedora ($25 from isedora  .
com) and install on your mac  .
your bdp    s570 will see this server (set    up network settings connection server settings)  .
make sure you configure isedora to stream your stuff as ntsc if you're in the us (the default setting is pal) isedora recognizes lots of file types and transcodes them for your blu    ray player , but here's how i copied my home dvd collection to my computer    .
1) download mactheripper (free)  .
install it and start it up , put a dvd in your computer , click go  .
, and it will copy your dvd to your desktop 2) download handbrake (free)  .
install it and start it up  .
choose the video_ts folder that mactheripper put on your desktop as the source  .
i use the iphone ipod touch output settings because they look fine on my tv and the exported movie is only around 500gb  .
if you have a fancy tv consider a different setting  .
click start to export 3) handbrake will put a moviename  .
m4v file on your desktop  .
copy this file into the folder you selected in isedora to keep your movies in 4) when you navigate to video on your bdp    s570 , you will see isedora as a navigation option , and you'll see whichever movies you dropped into the appropriate folder you can also play mp3s that you have on your computer  .
or view a slideshow of your photos  .
it's pretty slick a final thought   the future of home entertainment is not in dvds and blu    ray discs  .
everything is going to stream (it already does)  .
this is a great product because it allows you to bridge the gap between all the discs you own today and everything you'll download or stream in the future i hope that is helpful reviewed on september 26 , 2010 .
cost less that $200  .
easy set up  .
out of the box to netflix hd streaming is 20mins  .
seamless netflix hd streaming  .
compact design .
very happy i upgraded  .
my first generation blu    ray disc player would take 1    2 minutes to turn on/boot up , 1    2 minutes to load the disc , and up to 1 minute to get to the main menu  .
that's five minutes just to watch a movie  .
even after the firmware updates , it is clear , that the first generation bd players were beta however , this player covers all the gripes  .
fast boot up time (you can set it in a super quick standby mode)  .
the discs load almost instantly  .
overall , about as fast as a standard dvd player for dvd's the built in wireless is a great feature  .
it plays youtube , netflix (not tested) , and other stuff straight from the player  .
i found sony had a whole bunch of michael jackson music videos available to watch for free sony definitely made some much needed improvements in their blu    ray disc players  .
this player is reasonable priced and works great .
