bottom line , sony has met the demands again  .
there are many brands to choose from when it comes to hd tv  .
words to the enthusiasts , choose wisely  .
you do get what you pay for  .
i love this sony product  .
exceptional oh , pop in high definition disc (blu    ray) that's another story keep up the good work guys (sony)  .
your product says it all .
people are really impressed of just screenshots i took of the screen with my iphone so i think that says something about the over all quality .
watch the holiday deals  .
picked ours up for under $1600 , and yes it's the xbr model .
wonderful televsion from sony  .
it is not cheap , but i purchased it on sale , so it is well worth for the money i invested  .
looking forward to enjoy it for many years to come .
highly recommended  .
have owned sony tv's for my whole life and have had very few problems  .
purchased this tv from amazon  .
com for $1385 with free shipping during a incredible sony discount weekend they seemed to have  .
very happy with the entire experience picture is not quite as bright as the samsung led , but they use a glossy screen which would have caused major reflection problems for my intended room  .
lg lh90 is outstanding but the price is several hundred dollars higher , though best buy just featured for $1399 with a free blu    ray player .
ever since i had the xbr3 i have been wowed about the quality that these t  .
s give  .
i slowly changed all my t  .
s to xbr's ranging for xbr3 now to xbr9  .
i have to admit samsung has some great t  .
's as well but all my equipment is sony and i love the bravia sync feature  .
the internet are great i like the weather one and the online videos features  .
also after the last update the xbr9 will soon get netflix which i cant for .
my old dvd's are brought to life in a new manner  .
cannot wait to watch lord of the rings again  .
dish sat hd channels are excellent and sd looks very    very good , too the xbr9 series so good , i decided why go with led backlighting and big bucks when the xbr9 is just as good but $1500 less expensive  .
the bravia engine 3 , 10 bit lcd panel and wcg    ccfl lighting brings out stuning contrast the other guys make some decent tv's but they are not a sony  .
i have had this high end tv for 3 weeks now and so far i have nothing but high praises for its outstanding picture  .
this tv made me realize how having deep blacks is very important in displaying hi    def  .
movies come alive because of this  .
skin tones are more natural and edges are really sharp the 5  .
1 speakers is a plus  .
the sound separation is fantastic you will think it's coming from separate speakers  .
it even has an optical output so you can connect it to your home theater system  .
this is very important if you intend to watch internet videos with this tv it's very easy to connect a modem or a bridge to this tv  .
even a gadget challenged individual can do this in one shot , the interactive instructions from the tv is a big help  .
connecting to the internet enables you to watch free movies from cbs , youtube , fear  .
net , sports illustrated on demand , sony pictures , golflink  .
com , and livestrong  .
com for people who are thinking of lifting weights and going on a diet or just healthy eating  .
then there's the amazon video on demand and netflix where you can connect and pay for movies using your own accounts with these companies the only feature that i think it needs an improvement on would be the 240 hz feature  .
i have a regza 120 hz and i do not see any difference on how they handle the blurring effect of fast movements in movies  .
well , maybe i have to play around with the setting a little bit more all in all this is a solid high end tv  .
a little pricey but it's all worth it .
i is able to get the best picture while playing with all of the settings  .
there's a software upgrade once you connect it to the internet that gives you more options and settings  .
the picture is great once you learn how to adjust it to the viewing room angles and lighting using the tvs many settings and menus  .
also , take advantage of the internet options  .
they are worth it .
i picked this tv up on the saturday after thanksgiving for $1900 at best buy and received it about a week and a half later  .
i is considering a it and a 55 samsung led , they didn't have a 52 xbr on display , which is the leap of faith for me  .
i have had numerous sony televisions and haven't been disappointed , which is why the sony won out  .
the xbr9 replaced a s    series sony 40 720p set (moved it to the bedroom)  .
i got it home and used a sanus tilting mount to hang it on the wall  .
i hooked it up with hdmi to my sony es receiver and also used component video  .
i had to use the component video because my cable provider's signal sometimes is not the greatest  .
i purchased a mediabridge hdmi cable thru amazon  .
com , it is a 15' cable for about $19  .
00 delivered  .
i would recommend the cable , great quality with a low price  .
i is up and running in no time  .
