this camera is ujust overall a 10 in my mind  .
the picture color might be plain but it can hold about 10000 photos and can last you forever  .
with it ive made thousands of videos over the 2 years ive had it , videos from skateboarding to basketball to even walking with friends  .
i love it and if there is a camera to buy this would be the one  .
i have had 2 other hard drive cameras in the last 2 months jvc and the dcr    sr40 both had poor image quality and disappointed me for the price they cost  .
but the dcr    sr80 has a great image even on a 70 hd widescreen  .
this is a great camera  .
ok , here is what i needed  .
compact camcorder , hardrive (tapes and dvd suck)and some type of still photos i have had this camera for two months  .
i have recorded on a roller coaster , on my bicycle and some plain old stand and shoot  .
no problems at all  .
very good video quality  .
i use adobe premiere elements to do my editing , no problems  .
it is a little tricker to upload video , but what do you expect , it's video  .
do not listen to the whiners it's a good camera  .
ok for those of you shopping around and looking for that new camcorder  .
this is perfect for the average or above average person to record home movies , i repeat movies  .
if you want great pictures buy a digital camera with 3  .
1 pixels or more  .
the camera does have the ability to shoot stills at 1meg and well it is not the greatest  .
look if you want some phenomenal camera that shoots great pictures and movies then be prepared to pay $1 , 000 or more  .
if you want a camera to record those great moments with your family well this is it  .
take the time to read the manual and the instructions and you will find the many things you can do with the camcorder  .
the easy button is perfect for the family who has the spouse who is not a techy and does not want to full around with the manual controls  .
the movies that you burn play well in the dvd player  .
if you are expecting a picture like the movies that you buy well not happening and i dont think they make that type of camera yet  .
for the price and not having to buy mini dvd discs that record 20 to 30 minutes at high quality and or buying a rewritable mini dvd which you then will load onto you drive and then onto normal dvd which i might ad the video will degraded a little , or do you buy this camera and have the ability to record up to 14 hours in high quality or 41 hours of regular play  .
you make the decision and i am extremely happy with my choice .
i is going to get the dcr    sr100 but its more expensive and less memory so i got this one with more memory  .
i looked at both models in a store and the iamge is the same so i got this one  .
the other one only cost more i think because of more megapixels , better image qulity , and zoom  .
this is outstanding camcorder for home use very decent picture quility for single 1/5  .
5 chip  .
sr100 vs s80 is same video quility difference only is sr100 is 3mega pixel photes sr 80 is 1 mega pixel only .
bought at circuit city on sale for $639  .
nice to not worry about tapes  .
picture quality is good , but a little less than i expected from sony  .
the lines are fairly smooth on my panasonic 480i plasma  .
but colors are not rendered as well as from my sony high 8 camcorder (all indoor images so far)  .
zoom is surprisingly adequate  .
i caught a blue heron eating a fish from about 60 yards  .
camera is light and compact  .
touch screen does get full of prints       could use a stylus  .
the 55min battery seems a bit small  .
since your buying this camera so that you do not need to carry around media , why do you want to pack an extra batteries  .
fp 90 battery available at amazon for $64  .
do not buy a generic battery  .
the sony batteries last well and i've had generics fry a digital camera , they are temptingly cheap but do not do it  .
sound quality is excellent  .
