i love that it has all that blackberry , apple , and win mobile don't have  .
the ability to get basically any app you can think of  .
mobile tethering to 3g coverage for your internet on computer or xbox 360 live with the easytether app or pdanet which are free on marketplace  .
as well make your own home pages how you want them to be is awesome  .
i love also just how user friendly it is over all  .
i cannot wait till froyo and maybe someday i'll get the g2 or galaxy s  .
really from now on i don't think i'll ever go back from android it's by far the best os out there people  .
steve jobs can cry all day but it wo not make android go away  .
ha ha love love love this phone  .
bottom line is   the phone is amazing  .
i have had people with i    phones tell me how beautiful and powerful it is  .
yes , it is android friendly to those who are learning , but having been exposed to the android platform i can only say this phone is a beast  .
when my samsung behold 2 decided to turned into a microwave rather than a phone , t    mobile gave me what at the time seemed a no win situition with the exchanges being offered to me  .
head down and upset , i tooked at what seemed the better choice  my touch slide 3 g black updated  .
on sep 24 , 2010  .
i like this phone because you do not have to be tech saavy to use it the call quality is great and the phone is responsive  .
it has all the same features as the high dollar phones and is not like carrying a tv in your pocketlike some of the other phones just wish it had better camera quality like droid x or samsung vibrant does but all in all i'm sure the other issues will be fixed when 2  .
2 is released for it  .
i bought this phone because i broke my blackberry last month and i have not looked back  .
this phone is an amazing device , and i am pretty surprised it is not rated higher  .
i is worried getting this that it would be more difficult to navigate , and learn , but htc and t    mobile have out done themselves with this one  .
after only about an hr i almost had the whole phone figured out  .
this android system is awesome .
although the screens in the htc evo and droid incredible , and iphone 4 are better than this one , t    mobile provides another iphone competitor in the smartphone market  .
i highly disagree with cnets review calling this a beginner android phone  .
i used to have an iphone , htc evo , droid x , droid incredible , (lots of money spent) , but , in my opinion , the mytouch 3g slide is the best there is  .
i got a g1 about 18 months ago because we had a t    mobile family plan and did not want to switch  .
it is a decent workhorse and while i have a ipod touch and initially considered an iphone i is glad i got a g1 because of the physical keyboard and the fact it meshes so well with gmail and the other google productivity tools are so much better than anything else i have ever used  .
on the other hand , when it came to fun stuff like music and watching movies the g1 was not even in the same class as my ipod touch or a iphone  .
the mytouch slide is the best of both worlds  .
it has all the nice features of the g1 and android but is fast , has excellent battery life a decent screen and has a software/hardware combination that plays music and movies is well as my ipod touch  .
i have only had it a few days but i love it and would highly recommend it to anyone  .
my only significant beef , and it is really with android's architecture is the limited memory space available for applications .
i highly reccommend it  .
great phone and definate keeper on a two year contract  .
i switched from an iphone 3g and have been surprisingly happy .
i really like this phone  .
it blows away the behold 2 and htc hd2 that i had  .
everything that i use works as advertised  .
no sluggishness or freezing at all well not at this point thus far  .
the battery life and camera are fine  .
i have no problems whatsoever  .
anyway , this phone is worth a look if you're in the market for an really nice android phone .
great phone recommend it for any who has needs of   organization , gaming , social media , business related stuff or entertainment  .
i have to mention that it come with adobe and office already installed  .
and soon it will have the adobe flash update something to look forward to  .
android blows apple out the market wifi webcam , jajajajajajaja  .
i agree with all o  .
more or less the only thing i could wish for on this phone is a longer battery life , but even that , is something i can work with  .
the rest of the phone i am simply in love  .
oh one more thing the slide out qwerty keyboard is a must in my opinion , especially with a touch phone , it just makes life easier .
