i'm happier with this recorder than any i had in the past .
this is a great unit for us folks who want hdtv time shifting but dont have cable/sat company dvr  .
it works well although the firstime setup is a slow drag (btw hook up you tivo though dsl (cable or wireless) because it can take hours with phone lines  .
and everytime you unplug it the tivo goes though a god awful long start up sequence  .
also if your not worried bout getting under the hood look and brain cooleys insider secrets at upgrading your tivo (if you ever built your own pc its a snap) i did and with in a hour i upgraded my tivohd with instant cake and 1tb western digital hd and now have a 131 hours hdtv storage  .
it does what it says it time shifts hdtv programs if you like me and only have ota hdtv tivo hd rocks  .
if you have hd with your sat/cable provider get there dvr , but for my uses this is a great machine .
we were tivo directv customers for three years  .
loved tivo , but hated the way directv is treating their tivo customers  .
we did the only reasonable thing and dumped directv in favor of cable and the new tivo hd dvr box  .
great picture , great on    screen guide , handy hard drive capacity expandability , and it does everything we want  .
we do not miss vod and ppv , as we have all the download features availble to our tivo box through our high speed dsl connection  .
the soon to be released (2q , 2008) sdv addition (through a usb port) will make this tivo box even better and more compatible with new cable company upgrades and features  .
when they new cable and directv dvrs are compared to tivo , it's not even close , as tivo wins , hands down  .
it's like a big college team playing a high school team .
device is excellent after you buy the device , get cable cards from your cable company ; m    card or multi stream cards they are also called if available , you need 1 m    card or 2 s    cards  .
they plug in like a pcmcia card in the side of a laptop  .
they are a fraction of the cost of set    top boxes or dvr's from the cable company  .
current rates on cable card are $1  .
91 a month (sometimes a bit more in some markets) , with the first one being free usually (per outlet) which means if you have 3 cable boxes you could be saving $45 bucks a month depending on what your current charges are  .
keep in mind that most cable operators also charge you for the remote control  .
check your bill folks  .
taxes also apply to that  .
under most markets , this device is usually paid for by savings on the cable bill in 8    10 months if you use their dvr  .
anything beyond that is pure savings  .
not to mention the product is far superior most of the reviews here that are sub    par affecting tivo's rating are from people that have not owned it or ever used it  .
they merely gripe for paying what turns out to be 8 bucks a month and change if you prepay for service  .
that service is for future software update development and your guide data that tivo will fetch every night  .
you always have 14 days of guide data on hand  .
i have gladly paid tivo to keep my guide up to date , and frankly love every innovation they have developed over the years read any of the low reviews carefully before you think that tivo has anything to do with it one user posted a low review because their home network is slow ; nothing to do with this product at all  .
another because a cable company installer broke a shelf in her glass entertainment center  .
those reviews were harsh on tivo when the device had nothing to do with it currently i own    .
3 tivo series 2  .
1 tivo hd (this model)  .
1 tivo series 3 hd (the expensive one)  .
i have used tivo for years , expansive guide ; ability to search for things you do like , and tivo can record those types of things you want automatically software that is being deployed now , also includes a nice new feature , advanced wishlists  .
say for example you wanted to find jennifer aniston films not related to the show friends you just tell tivo , jennifer aniston    friends and there you go , tivo just got smarter the multi room viewing and tivotogo features are being rolled out to the boxes and will be enabled in november  .
the cable companies have fought and lost that battle  .
some of the reviews also give tivo a low rating for those features not being available until now ; again       nothing to do with tivo , it is the cable companies that did not want the feature there ; and they lost i'm writing this review to set some of the information straight and encourage other current tivo owners to do the same buy a tivo , get your cable cards and stop paying the cable company all the extra money , remote fees , dvr set    top box rental , dvr usage in some cases , plus taxes etc .
purchased tivo hd from weaknees  .
com with a hard disk upgrade to 33 hours hd  .
have used tivo since series 1  .
we subscribe to wave broadband cable service and they provided a motorola hd dvr which i did not like at all  .
wave replaced the unit twice and it still is not fully functional  .
when i learned tivo is offering tivo hd i is elated  .
what an improvement over the motorola unit and past tivos  .
wave provided a m2 cable card at no charge  .
who needs video on demand  .
with tivo swivel search one can find plenty of programing to watch for free  .
it even searches amazon's tivo movie library from which one can download movies for free  .
most important the my wife loves the simple functionality of the remote control and on screen menus  .
i feel sorry for comcast cable customers who have to put up with the cumbersome remote and horrible menus  .
try tivo  .
i bought tivo's their 3 year service , 8 plus dollars per month  .
my cable bill including the service is five dollars less .
i is actually satisfied with my motorola explorer 8300hd from time warner cable in nyc  .
after moving to socal , twc out here gave me a moxi  .
worst , bug    ridden pos ever  .
i did the math and figured out that given the amount of money we spent renting our 8300hd for 3 years , we would actually spend less by purchasing a tivo hd (refurb) + lifetime subscription over the equivalent 3 years time  .
so we made the switch and calm , peace and enjoyment has returned to our living room we've never missed a show due to scheduling changes (happened on the moxi)  .
recording live events results in a prompt asking if you want to pad the end of the recording as many live events run over simple but great attention to detail  .
netflix streaming over our cable modem resulted in fantastic hd resolution streams like i said earlier , i liked the 8300hd but it didn't have one of my favorite features of the tivo hd , and that's the ability to pull shows off the tivo and store it on your computer , or in our case , our nas  .
so we can archive the entirety of planet earth in hd for future viewing without taking up precious space on the tivo  .
this also allows us to reencode and take our shows/movies with us on laptops or ipods/iphone being networked , the tivo hd also has access to youtube , amazon unbox , and streaming music  .
the music choices on live360 needs some update and it's impossible to find a stream that's 128kbps so we end up not using it too much  .
instead we just play music from our music library on our home network we love our tivo , and now understand why those that have one , swear by them  .
i do not know how better to explain other than the tivo is dvr done right , and with regular updates over the network , it just keeps getting better  .
all i want now is pandora , then i'd be a real happy camper  .
tivo has been making great dvrs for quite some time , and the tivohd just makes it better  .
the ui is clean , easy to understand , responsive , and has a great remote  .
while other dvrs are starting to catch up (see fios's dvr for an example) tivo keeps pushing the bar higher but what many people don't understand is that the tivohd is not just a dvr       it's also an internet media center  .
you can listen to any internet radio station , watch youtube videos , play multiplayer games , rent videos from amazon , etc  .
all from the same unit  .
and tivo keeps pushing out updates to the software which add new functionality  .
(the youtube videos just arrived this month  .
so what's so cool  .
the channel listings are great  .
you can easily see the next 10 shows coming up on a channel and the shows on the next 10 channels searching for types of programs (sports , action movies , talk shows , etc  .
) is simple and quick tivo recommendations are fun and often great you can add more hard drive space just by plugging in a compatible (esata) external hard drive customer support is easy to reach , knowledgeable , and friendly amazon unbox rentals (12 , 000+) are convenient , easy , and usually cheaper than ppv i love being able to listen to internet radio through my stereo  .
(my house blocks most local radio stations , so it's the only radio i can get  .
you can also transfer shows from your tivo to your computer and back again for additional storage and backup the downsides  .
well , the box can be pricey  .
$250 for the unit , and tivo charges a service fee  .
then your cable company will likely rent you the cable cards to make it work for an additional fee also , returns are hard and annoying  .
you effectively buy a second unit before shipping the old one back  .
once they get the old one they will refund your second purchase price there also seems to be a bug with hdmi video timing when switching resolution on certain televisions  .
this hits me  .
the work around is to lock the video resolution , which is annoying and , of course , the tivohd does not work with satellite television  .
(sat  .
tv uses a different technology to descramble the picture and receive channel listings  .
