exemplary performance and with a rebate for $50 off    result   a perfect wide    screen for less than $200  .
am very happy with my purchase of the viewsonic va1912wb  .
i found it to be a great value in that i got a great widescreen at a reasonable price  .
a few things to mention   buy  .
com shipped it in great shape double boxing via fedex   screen is very bright  .
i had to lower the brightness to near the lowest point  .
that is good so there is room to the upside if i ever need that   the back of the monitor is very attractive  .
sounds odd but not for those that have the back facing outwards and visible  .
mine happen to be in a study that is near the front entry so having an attractive appearance is important to us  .
cables are well concealed and routed behind a beauty plate  .
no odd cuts or stickers/tags clean lines   included instructions are minimal but hey there are only three items to hookup (power , input , speakers)  .
there is also the web and customer support if necessary   key item this monitor has both analog and digital inputs  .
clearly digital is the direction of future hookups so make sure to ensure whatever monitor you purchase it has digital inputs   the monitor includes the dvi cable  .
many monitors do not and will cost you easily $20 more   the display is clear , crisp and better than my monitor at work  .
do not notice any dead pixels no flaws observed $213    $50 rebate sounds supperrrrrrrrrrrrrr  .
i got a great deal on this from compusa (we bought two)  .
both work perfectly  .
like another user mentioned , the base itself is not too flexible and the buttons are a bit cheap looking       but for the price , you cannot really ask for more  .
it's definitely a great buy ($199) .
i bought this about two months when on sale at compusa  .
i was not really looking for a flatscreen at the time , as my 19    inch crt is doing ok  .
however , the price ($199 after rebate) is hard to pass up  .
the reviews generally seem to favorable even though i had it shipped to my house , it arrived in perfect condition  .
set up is exceptionally easy  .
i have my desktop plugged into the digital port and the laptop docking station plugged into the analog port and easily switch between the two with the 1/2 buttons up front  .
have not experienced a single dead pixel so far and have not noticed a significant amount of light bleeding  .
the widescreen aspect is really great for webpages and movies  .
viewsonic definitely lives up to its reputation on display quality the only trivial dislikes are the cheap looking buttons and the limited range stand , but for the price , i can live with those shortcomings .
i paid $200 (after rebate) at circuit city  .
this is by far the best value i've found in a 19 widescreen and to jump up to a 20 is approaching $400 , so this is the value sweet spot  .
the high resolution (1440 x 900) on this monitor is fantastic , i bought it to extend the desktop on my new macbook and my dell pavilion laptop , both of which work great  .
the color reproduction is not accurate enough to color correct images , but good enough for all other uses  .
the built    in speakers are adequate , saving you desktop space ; if you're a gamer you'll probably want bigger speakers w/ sub (or headphones)  .
overall i'm very happy with this viewsonic and would rate it much higher than the mediocre cnet rating .
