once this machine is set up and running , it requires almost no attention  .
when you install it into the computer or laptop just switch it to ntfs format and you are ready to go  .
it is a matter of seconds to change between the slow fat and the fast ntfs    so you have to wonder why any manufacturer would ship it with it set to perform slowly as standard , knowing that most magazine reviewers would just take it out of the box and write a the review based on the slow setting .
my 3rd my book from western digital , and works like a charm  .
i love the on/off button , it runs very quietly , looks great , and haven't had a single problem with it outside of normal vista woes  .
opened it , plugged it in , and recognized immediately  .
backup software works great , letting me choose specific files , drives , or folders , that i want to backup  .
unlike some harddrives i've had , this one only spins when i'm accessing it , saving considerable life  .
speed is great , have not had any problems from any of my books in 2 years  .
though the premium is a little pricey  .
look for it on sale/clearance  .
if only it came blank without the couple of crapware bits .
i tell everyone i know about how great it is to have one of these , it is a bottomless pit to store information in for what i am using it for  .
i think it's awesome .
i bought this drive to store my digital video files on and it handles this function admirably the only complaint i have about this drive is that it comes formatted to fat32 in order to be compatible with older versions of windows , such as 98se  .
i'm running windows xp pro the instructions for formatting the drive to ntfs leave something to be desired , as it is destructive  .
it is better to reformat the drive using the windows command line method , as it is non    destructive  .
that is , if you already have some files on this drive and you forgot to format it to ntfs , using the command line method it will not erase your data already on the drive the drive is daisy chained via the firewire port to another generic external drive , and finally to my digital video camera  .
though i is initially concerned about this , i have not experienced any reliability issues doing this  .
it all plays nicely together i highly recommend this drive to anyone looking to boost their storage capabilities .
for what it is , the 500gb mybook is a great product  .
its cheap , fast , and provides tons of storage  .
the only problem i can see with it is that portable hard drives are now up to 160gb , and they are much smaller with no need for additional power aside from usb  .
unless you really need the extra space , i would avoid cluttering your desk with the extra mass and chords .
i bought the mybook 500gb roughly 6 months ago , and since then i have done nothing but cram it full of video and music files  .
it has transferred content for over 10 hours straight several times  .
it has also been dropped from a height of approximatly 1 foot and still worked perfectly after overall this product is well designed and its only flaw i see is the price but like anything that will go down with time  .
i have been on the market for an external hard drive for the past year or so , and after hearing that western digital is releasing this external hard drive , i quickly pre    ordered one for myself  .
while i is a little frustrated at the beginning with the drive due to minor issues with the system (would not power on , would not be recognized by my cpu , and wmp 10 functionallity issues) , i am extremely pleased with how well it has worked since then first of all , let me say that this is an amazing looking device  .
the entire device is lined with morse code holes  .
this gives the external drive its book like feature  .
it is undoubtedly the most best looking external hard drive on the market today , and it is really nice to have on any desk in your home or office  .
it also is very small , and fits in even the smallest of spaces , which is also a very well thought out feature for this drive  .
of course it is not pocket sized , but for such a large capacity drive , it is very small another feature i really liked with this drive is its two    ringed capacity and use lights  .
this helps you know how much memory , first of all , is left on the drive , which can be very useful , and also lets you know if you have power and/or connectivity with your computer  .
while they may seem very useless , there are actually a very nice feature to have the drive also funcitions very nicely , for the most part  .
for those of you listening and planning to buy this drive , listen to this very important advice  .
the two rings also double as a power button for the device , so before you plug your hard drive into your cpu , whether by usb or firewire , turn on the hard drive by pressing this button  .
otherwise , functionallity is very lack    luster , and can be very slow and unbearable  .
the drive has a hard time to spin    up with computer start    up , so this is very important  .
if you do this , however , you will find this hard drive to work perfectly  .
this drive is also formatted at fat32 , which is a great file format , but personally , i recommend changing the file system to a ntfs format  .
it , at least for me , seems to run faster and function better with this type of format this drive is also extremely fast when it comes to the import and export of information and files  .
as a person who loves music , photos , and video editing , i can tell you how fast this drive really is this is really my perspective of this drive  .
as i stated , it is a bit pricey , but is very much worth it  .
while first uses , as i stated , can be a bit choppy until your computer really starts to recognize this drive as another hard drive , it really funtions very nicely  .
i am very pleased with western digital's mybook , and i would recommend it to anyone looking for a new external hard drive for their laptop or desktop computer system .
i love this product , i copy all my movies over to it and i can take it any where  .
also very stylish when you compare to other external hd's .
i do not know what to say it is a great hard drive , it holds stuff .
i just purchased my third wd mybook 500gb drive  .
i have had no problems with these drives , i plug them in , reformat them for mac (os x) and am copying files to them in minutes  .
they mount find out of the box on a mac , i just want the mac file system , not ms    dos (or whatever it comes formatted as)  .
the price on this drive is usually great when on sale , and it is so quiet (passive cooling  .
) that i am slowly replacing my collection of external drives with fans added  .
i am not using these for video streaming or high    demand use , so i have not really taxed them  .
they are storing a file archive that is accessed sporatically  .
they power on and off automatically just fine with my mac  .
they are not speedsters , but are fine for the price , ease of setup , and low noise  .
i do think they could use some sort of base to improve airflow , but i may be paranoid on cooling lastly , the green light on my oldest one (6 months old  .
) is significanly faded compared to newer ones , so they do not match    but that is a minor cosmetic beef .
originally i had the same opinion as the cnet staff about the write speed of the western digital my book 500gb external drive  .
it is sloooowwwww then i noticed that it is shipped formatted as fat32  .
i reformatted it as ntfs and the increase in speed is amazing now we will have to see if the product is reliable .
being on the market for an external hd , decided for the wd mybook pe ( 500gb ) and not regret it  .
instalation is a breeze and we only install the bundled software if we want    wdbackup and google applications  .
it comes formatted in fat32 file system , so re    formatting on ntfs is a must  .
also , i power the unit in the main button , prior to connect it to the pc and poweroff it also in this main button , prior to unconnect it from the main pc , and operation is fast enough , although i do not care for speed , as i use the external drive only for backups  .
the wdbackup software , although interesting and complete , lacks the ability to make system backups and recoverys on bootable cd's , which is a shame  .
could be shipped with retrospect express , as their big brothers pro versions  .
its a very quiet external hd , difficult to hear the hd working    compared to lacie brick , which is much noisier  .
design wise , it's indeed like a book  .
when not using it i put it on a shelf , side by side with normal books , and anyone can tell it's an external harddrive  .
never had any power failure on it  .
it works well and get's the job done .
my pros/cons basically say it all  .
it stores a good amount (mine's 320 gb) for a good price  .
it's got a real handy led light that displays roughly how much space is being uses (ok , so not really handy , but cool nonetheless) it's somewhat large , so i is worried about taking it with me somewhere , but it's proven quite sturdy so far .
seems ok to me  .
i did notice how slow it is to write but to me performance in that area is not that important  .
it's quiet , compact , and does not throw much heat  .
lots of gigs for the $$$ and the bookish design is sharp  .
give it a go .
i dont know how to reformat to ntfs  .
it is my opinion that these other 2 users have a biased opinion  .
one has three posts and all are negative (surprise) and the other only has this one post (probably works for wd)  .
this drive works    it does what it is suposed to do  .
doesn't do it spectacular but it does not have power problems either    i bought it at bestbuy (which i actually h8 going to) for only $199    it writes slow but when i need to watch a video off it it works as fast as my ide drive  .
big177 is obsessed and possibly a wd employee and plex woke up on the wrong side of the bed .
for the price , it's not bad , and we found it fairly easy to network  .
but it gets too hot , and so we do not leave it on , which is a shame because i'd like to stream the music through the house , and it's a pain to have to drop everything and go upstairs to turn the mybook on every time i want to stream anything .
a good drive if you just need one  .
windows xp wo not recognize the second drive if you try to daisy chain , or even if you try a direct firewire or usb connection  .
trying to get support but no response thusfar .
i am also experiencing problems with daisy chaining other drives via firewire  .
i am running vista ultimate , with the wd mybook first in line , then a dvd    rw drive , then another hard drive  .
regular disk access works fine , but more intensive tasks , such as running acronis trueimage to validate a backup image on the wd mybook , resulted in continuous clicking and the drive powering down and/or freezing the system  .
i disconnected the other drives and then everything worked fine , though the drive seems to whine a lot more than my lacie porsche drive i should add that i had no problems running the daisy chained drives on my old xp system , so maybe the problem is with vista  .
would not be surprising .
just purchased so i cannot write a complete review however i is very disappointed to learn that wd is not providing any support for vista as of today's date (2/14/07) , here's the note from wd support , seems they would have at least something hacked together with such a major release    .
western digital does not provide technical support or drivers for our products installed under windows vista at this time  .
we will be releasing updated software utilities and drivers for selective western digital products in the near future  .
however , at this time we do not have any eta on when software or drivers maybe available  .
i find that every one to two monhts the hd stops working and i have to re    install the software  .
i use it to back up business files and worry about recovering them  .
i wasnt impressed with this drive at all , very average speeds , is expecting more from the disk and firewire  .
also windows xp reported that the drive needed to be scanned at every boot but scan wouldnt complete  .
resolved that by running chkdsk [volume] /f  .
wd reports a 2 year warranty though when i checked the serial number  .
so thats good anyway .
i bought one of these at costco  .
it died after a few days  .
i could barely get it back to format and erase sensitive work data before i returned it  .
i replaced it with a 1tb version which has worked well for a couple of months now .
a good value , but if you are on the go and need to move around with it , not a great option  .
even though i packed it well during travel , it blew up on my last trip home good thing i have most of my data backed up somewhere else .
sure it looks good and it has fancy lights on the front , but don't be fooled into thinking it works as good as it looks the drive is slow and lacks true vista support  .
it will work in vista , but vista frequently pops up a window informing you of driver compatiblity issues  .
in addition , the bundled wd backup software is a joke  .
it wo not run in advanced mode (in vista) and when a backup is scheduled , no file changes are detected kinda defeats the purpose of having a backup drive .
this 500 gb drive worked ok for a while , i hardly used it though and just the other day i went to see what i had stored on it  .
to my dismay , the drive is no where to be found on my system  .
it had just disappeared , though the drive is on and functioning and plugged into my usb hub as it always has been i found by googling 'mybook problems' that many people are having this problem with this drive and it seems a lot of people are having the same problem  .
i've spent about 2 hrs trying various methods i've learned that other people have done that has fixed the problem , but so far anything that has worked for other people to solve their 500 gb mybook problems have worked for me the mybook is being recognized as a 'usb mass storage device' and not a harddrive  .
i cannot access the information on it , and the unit is very noisy , metal clanking sounds  .
it may be toast , and i hardly ever used the drive that is the bad part .
easy to use , but slow writes speeds  .
came home yesterday to hear clicks of death  .
i ran weekly back ups of my desktop but did have some data on it  .
lesson learned  .
i can send in for retrieval but that will run about $1000  .
i will store it for a while .
the external drive is very easy to use and my backup program made weekly backups flawlessly for almost a year  .
then suddenly i could not read from the drive anymore , all data is lost  .
i could not even use it for a while  .
then i felt relieved when it came back to life , the system recognized it as an unformatted drive  .
so i formated it , thinking that what happened is just a fluke and all would be well again  .
after formating the system is unable to write files to the drive , it is now useless .
got this free with a very nice wd mybook  .
this products works well if you have nothing but standard documents on your computer in standard places  .
the ability to quickly preselect photo / music (long and slow) vs other docs is quite handy however , i do a lot with my computer that does not fall into wd's predefined backup file types  .
i need to use the advanced backup feature to avoid uncessary backups  .
bizarrely , this feature can remember my file type preferences , but cannot remember folders preferences  .
end result   no quick backup or incremental backup for me details on files   this packs your files into a proprietary format  .
backups are a split into multiple files of    2gb  .
fortunately , the backup created always includes a restore utility , so this is not a problem .
lasts about 1 year  .
i have drives from other manufactures that are going strong after 7    8 years  .
i would not buy a wd drive .
originally purchased it to back up data , photos , music , etc  .
, from an older desk top and thought the constant connectivity and data issues we had with it were due to the usb 1  .
0 , but no  .
even with a newer sony vaio it does not function consistently  .
frustrating .
do not buy this product unless you enjoy fighting with your computer , searching for hours on how to uninstall free software , get useless support from a large company and loose access to large home video files when trying to transfer them to a new hd i purchased this product because i wanted to upgrade from a 200mb external drive to a bigger one  .
i chose wd because that is the brand i had for the smaller drive  .
i had no problems with that one until i tried to move the data to the new drive  .
now even the old one stopped working the new hd does work , but it is unexpectedly slow  .
very often it stops being recognized by my computer which is dell 9150 running winxp  .
i have to power down the hd and re    connect to computer or reboot the computer to get access  .
never had to do that with the older drive look for something else with better review  .
this one does not pass the smell test .
i have a 500gb and a 750gb mybook firewired to my macbook pro  .
i plan to use the second to back up the first  .
i'm delighted that they can be daisy    chained , requiring only one firewire cable into the laptop (it has only one port)  .
however , frequently one or both does not appear on the desktop ; they are inaccessible  .
wd support blamed the problem on defective cables , but after they replaced the third defective cable without fixing the problem , i stopped asking  .
i just disconnect and unpower , reconnect and repower until they work .
this is my first external hd and i bought this device with hopes i is getting a quality/reliable drive to backup important files (finances , mp3 , family photos , etc) in the event the hd on my pc failed first problem is the software it came with  .
it is clumsy and i ended up downloading a 3rd party free product and didn't bother with the software they provided worked well for a few months , and then just stopped working entirely  .
i cannot get my computer to recognize it anymore , and when it turns on it makes this strange sound like something spinning down over and over i've only had it for 3    4 months so i am giong to try to get it replaced but i have concerns that it wont last even if they do fix it  .
i do not recommend this line (mybook) .
my brother bought a 250gb version of this drive as an alternate way to boot a mac g4 powerbook with a dying internal drive  .
i partitioned the drive and cloned a boot volume from another working g4 tower       no go  .
neither the tower nor the laptop will boot from this drive  .
i did extensive online research and cloned my tower twice with no success  .
i've made other bootable external firewire volumes on lacie and maxtor drives without a problem  .
hopefully , he can get a refund on this and try brand  .
this drive is probably fine for data only but being non    bootable is a show    stopper for us .
it only worked 1 time  .
i put it on my shelf above desk  .
when comupter crashed took it back down to use when i got computer back  .
did not work  .
is already past the 1 year warranty period  .
wd no help even though this seems to be common with wd external drives  .
i went and bought a free agent external drive that had no complaints on the internet and is rated higher than western digital  .
my wd my book is a waste of good money  .
i will never buy another wd product ever  .
piece of garbage  .
fails  .
unreliable .
i am testing this with it now    .
i am putting a bigger power supply , i know sometimes , when electronics don't have enought juice to run , they get really hot i also took the crappy plstic box away , and i am adding a small fan on top of the drive and controller , to make some air pass by and see if with those 2 things , it gets better  .
i am guessing the wd people could be so cheap that they used a  .
68 a power supply , when the hd itself uses like  .
70 a now i am going to make it run with a 1  .
0 a power supply (like 0  .
3 more) to see what happens i am just pissed of because i have like 425 gb of data in it , and every time i try to back up it fails on me i think the hd itself is in good working condition , the issue is in the design of the controller/power supply , and enclosemet  .
in fact , the metallic enclosure inside , has space for a fan that is never there ( another cheap move from wd  .
i am no electrician , just an adventurer , so do not try this at home wish you all luck with the bad purchase btw , i tried another enclosure and it worked fine for like another 30 minutes , then it did not work again , getting too hot also this might give a break to the engineers of wd i dunno let me know if someone found a good solution to make this hd work properly for long time as it should .
tech support  .
we've had nothing but problems with this unit and tech support has been less than helpful  .
there have been a couple multi    hour calls to tech support with little if anything getting resolved  .
if the unit does not complete it's initial back up it rewrites the info back to the original hard drive , doubling it's volume  .
this happened to us three times resulting in our initial back up being our hard drive times 8  .
also we tried to transfer it from a pc to a mac and when it had problems tech support said you bought it a while back so we no longer support it  .
so if you don't heed my warning and get one anyway , do not plan on using it any longer than the life of the computer you buy it for .
if you only plan to use for one computer only and forever this might be ok  .
otherwise forget it  .
my friends like seagate .
i thought it might be a power suppy problem so i took the hard drive out  .
nope , the hard drive is dead  .
so much for backing up  .
do not even consider it  .
bought an ext  .
enclosure with usb/esata from monoprice for $25 and put drive in it works first time out of box  .
these failures are common with this drive       look for something else .
not recommended    wo not last .
lousy manual , lousy after sales service and a lousy product built on undeserved reputation  .
there must be a terrible quality control process (if they would have any at all)  .
the stress that this bad product (not only the 500 gb version , but all mybook editions as well) causes to users not worth it to purchase even for 0 dollar potential losses due to losing one's data , etc can run into thousands  .
if i would not have a trekstor 2nd ext  .
hard drive , i could have been pone of those  .
final verdict   buy western digital only if you have a death    wish  .
needless to say that my queries to western digital never been replied to .
have had the mybook for just over a year now , and it just died on me one day  .
tried to access the drive , and i all heard is a clicking sound  .
warranty had expired and there is no easy way to recover my files , other than a third party service .
this unit performed well for 13 months and then without warning it died  .
i purchased the unit with my amex card which extends the warranty , however , data recovery is not covered  .
unless i want to pay more than $1200 to retrieve the data i am out of luck  .
by contrast i have a 3 year old lacie external hard drive that is alive and performing quite well  .
my recommendation   avoid wd products .
i got suckered by the initial great reviews into buying this thing  .
at first , i loved it  .
loved it so much i used as a main storage device  .
worked so well at first , i got cocky , and i only bothered backing up a tiny fraction of the data on it  .
in fact , i used it to also back up data from my primary system drive but nothing is worse than being betrayed by something you love over a period of maybe ten months or so , i put somewhere between 200    300 gb of data on this thing  .
then , one day , it just up and died  .
mechanical failure , i believe  .
yes , after less than a year of use and no kind of abuse , it just died on me now , im looking at paying well over $1000 for data recovery , which is not covered under the warranty , of course  .
thats assuming the data is still there and wasnt destroyed i also need to buy a new external hdd  .
it certainly wont be one made by western digital do not buy this drive  .
(or anything else made by this useless company)  .
bought one at costco 6 months ago  .
now i'm stuck with a brick  .
downloaded several programs to try file recovery , but no luck constant errors  .
the physical drive is recognized , but not the logical  .
hopefully i can return it and try something else  .
very disappointed .
i just ordered my second replacement drive  .
the first wouldn't power up no matter what i did  .
the firewire interface on the second drive just failed  .
luckily , the usb interface still works an additional irritant is spending 45 minutes with support trying to straighten out my warranty throughout the years i've always had excellent luck with wd drives , and i believe that the drives in the my book enclosure are fine  .
the interface electronics seem to be the weak link on this product my next external drive will be in an user serviceable enclosure , and it for darn sure wo not be a wd .
western digital call agents confirmed that these drives have some unusual problem where they power off repeatedly and unexpectedly without the user initiating the power down and in the middle of use the first call agent got a senior manager who then claimed that it's only happened to one or two drives but that there is a dedicated support agent for this specific problem with this drive       this seems highly unlikely as the support agent wouldn't have any work to do the level two support guy also said that this dedicated support agent couldn't call me back until tomorrow because he is so busy on calls       where do they get these people  .
my three    year    old daughter can make up a more internally consistent fabrication than this guy he asked me not to take it back and to instead wait a day or two to have a call agent explore the issue with me  .
i told him that if they were going to compensate me as part of their support staff , i'd do it , but otherwise they should try to hire a few extra people to test these things before they ship them unless you too want to volunteer 20 hours of work for the western digital support department , do not buy this drive .
a total software dud ; if you value the information on a work system keep away from it re wd my book external hard drive  .
i run a very stable hp xp system for my business and bought the above external hard drive  .
in the installation the software has repeatedly caused a mega lock up of my system requiring a power off restart after 11 hours of waiting for a back up with the wd screen mixed in with my screen savers  .
when restarted , outlook would not start up , norton 360 had erroor messages , there is a warning from ati about needing permission to change something and the system took 15 minutes to start with my hard drive going flat out at all times a scary product when i is looking for something to safeguard the invaluable info on my system  .
even scarier is that each frustrating time i started again , the info backed up is no longer in the external hard drive  .
i have used many many office product but never one so buggy as this  .
a total dud even sending an email to them is a totally frustrating exercise ; what the bloody hell is an rma number , no part of the product , receipt or packaging has this number .
do not trust this brand  .
unspeakably bad  .
stay far , far away  .
my only question now is will it blend  .
2 drives crapped out after 4 months of basic use  .
i have other older drives pumping away and are trouble free  .
this drives are not reliable  .
do not invest in them if you want to keep your data  .
they just seem to stop working without any warning that something is wrong  .
updated  .
on sep 9 , 2009  .
the drive started acting up so i thought i'd take everything off , check for errors , reformat , and be on my way  .
not a moment too soon apparently  .
it took almost 6 hours to move the data because the drive would randomly disappear , except the blue light kept doing it's thing like it is actually doing work after i finally got my data off , i started to reformat the drive and it wouldn't even get halfway through before it just stopped  .
i certainly wo not be using it ever again  .
my other external hd (acomdata) has been working great since the day i bought it 5+ years ago  .
looks like i know which hd i'm going to buy to replace this piece of junk wd drive  .
anyone need a paper weight  .
this product is not worth your money  .
do not waste your time and money over this product  .
i'd rather pay more for something that is reliable  .
western digital you sure lost one customer  .
i am never getting any product from your company .
called customer support to see if i could send the drive to them to have it repaired  .
my only option is to pay $14  .
95 to talk with their tech support  .
due to the weird clicking sounds , it likely is a hardware problem , but they will not repair it  .
they don't sell parts so they don't do repairs i asked if this product has experienced similar problems and he asked if i started my computer with the external attached , which i have  .
he stated this is very bad for all externals and is likely the cause of my failure  .
i've had 2 other externals that are older than this one and still work to this day  .
i'm now left with a very expensive paper weight after that call , did some research on the web which brought me here  .
appears i'm not the only one that's having problems with this line of product  .
it's a shame that they did not accept the blame for producing a crappy product bottom line , i will never buy another western digital product again  .
the wd 500gb hard drive is a terrible piece of equipment  .
to begin i bough it when it used to run around $250 dollars now it runs around $120 and there is a reason for that  .
from day one it is so slow to load and sometimes would not load unless i would restart my computer  .
a couple months after the one year mark (when the warranty is expired) i restart my computer because it didnt load when i plugged it into the usb (i even tried the firewire) but it clicked and would not load any of my information  .
i lost everything  .
after arguing with the wd customer service who basically pushed the blame on me saying i should have had all of my information backed up somewhere else and there is nothing they could do , i decided that i would never purchase another wd piece of equipment ever again  .
i absolutely do not recommend this product  .
my friend also owns this wd hard drive and he says his is doing the same thing and is also beginning to click  .
beware this thing is crap  .
i feel that i wasted my money buying this dead thing that took all my precious memories with it (pictures and music)  .
last time i buy a western digital product .
i paid a little more than i would have for some other drives and bought a mybook because i believed western digital is a good brand with quality  .
and , it is a little cheaper than the really premium brands  .
but , the few bucks i saved on this drive are trivial compared to the value of the data i lost  .
the mybooks just aren't worth it  .
you can find cheaper drives that last longer , access faster , and have better customer support mine couldn't be accessed by the computer just a few months after they say the 1 yr  .
warranty expired  .
it powers up , and doesn't make any ugly noises , but none of the computers i've tried subsequently can recognize it  .
it's probably just a problem with the electronic controllers , but , because the warranty is expired , their customer support just was not interested in even trying to help add to that the fact that they tell me the case cannot be opened to access the drive , so i cannot even open it up to try to replace the contorller myself or even to try to recover the data bottom line   seagates and lacies , for example , are less expensive and last longer , much longer  .
there are plenty of other brands that are decent quality too , even if they seem a little more expensive at first  .
the western digital mybook will costs twice as much when you realize that you have to buy two of them to back each other up for when they crash in 18 months  .
if you don't need the data , then just do not save it  .
if you need the data , then you need something better than a mybook .
pos and a waste of money  .
no constumer support or willingness to help  .
there is a reason for a 1 year warranty the failure rate is significant after that time my 15 year nec hard is more reliable then this pos  .
how can a new drive have so many issues with so little use and why cannot a company own up to the fact so many ppl have complained i will never purchase anything from western digital  .
i have a 500 gb my book premium edition wd5000n that wouldn't show up and is continuously clicking every 1    2 seconds  .
i discovered it as soon as it started to malfunction and tried several ways to get it to show up on the mac desktop by trying different cables/computers/usb versus firewire/turning on and off multiple times/using diskwarrior and disk utility/applejjack to do repairs for about an hour or so  .
nothing worked  .
the disk wouldn't show up on the desktop and continued to click i then read about others who removed the hard drive from the external unit and mounted the drive internally so i decided to try this mine differed from these enclosures    .
http  //www  .
neoseeker  .
com/forums/7/t819501    how    to    take    apart    your    wd    mybook/  .
http  //www  .
ransackery  .
com/western    digital    mybook    open    case    recover    data  .
htm  .
http  //www  .
youtube  .
com/watch  .
v  6flysnyj0cq  .
it is closest to this one    .
http  //www  .
sigg3  .
net/b2perma  .
php  .
p  1185 c  1 but no rubber band    only glued on metal cover i had to destroy the case to get the hard drive out as mine differed from the ones described above (and they are not built to take apart  .
first there are no external screws  .
pry off the metal perforated grill that covers the back of the unit  .
this is just glued on  .
instead of a rubber gasket , my unit had vinyl that is all part of one piece so i couldn't peal off the gasket  .
taking off the metal perforated grill reveals 3 tabs on the bottom (these were covered up) plus the readily apparent 3 tabs on the top  .
press these down and hold them down by wedging something in the perforations  .
on the long edge close to the connectors , pry outward with a screw driver since there are tabs here that prevent you from sliding the hard drive out  .
then try to slide out the hard drive away from the metal skin  .
this method is based on the disassembled unit  .
