i am more than satisfied with performance and capabilities  .
mid    range dslr camera  .
a best buy in it's class  .
the image quality is better than the twice the cost d300 .
i have owned this camera for a couple of months , and i think that the testers at cnet need their heads examined  .
the low light ability of this camera is phenomenal  .
i would ask the national canon rep to stop by your offices with a different camera for a demonstration of it's abilities  .
you must be kidding  .
my preference is to never use a flash unless i absolutely have to  .
i have been able to capture some very stunning images indoors and out under low light conditions  .
my only wish is that i could stick it in my pocket and carry it all of the time , because i would .
i do birds and wildlife and a lot and needed a camera that could have the af performance very robust in ai servo and the 40d delivers  .
it af well with a non reporting teleconverter like the tamron 1  .
4x and my 400mm f5  .
6 l so far i do not seen any negative except one , which would be that the burst rate slow down to about 4 or 5fps when using it with ai servo and a lens like 50mm f1  .
so the burst rate in ai servo is directly dependant on the af speed of the lens despite this , i gave it a 10 because it's not really the camera fault if a lens is slow to af  .
i rather have the burst slow down a bit if the lens cannot keep up than having a lot of frames out of focus i is using the 20d before and this one is a major step above the 20d in term of speed and af precision .
for those familiar with the xxd series of canon dslr cameras , canon made a wide range of improvements on the 40d to bring this camera up to a new level  .
everything from image iq (image quality) , canon's famous hi iso low noise , speed and acuracy  .
they even madeimprovements in areas that some thought were a little weak in their prevois 10d/20d/30d cameras like better af , iso in the viewfinder , 3 lcd etc this is a list of new features and upgrades from the 20d    30d and 30d    40d differences  .
for those that are considering an upgrade from the previous xxd series cameras , it shows what the differences are and each person can judge for themselves what is or is not important to them and whether it pays to upgrade  .
i personally upgraded from the 20d 1  .
revised body and control layout 2  .
10 mp cmos sensor 3  .
eos integrated cleaning system 4  .
digic iii image processor 5  .
14    bit adc 6  .
5fps increase to 6  .
5 fps shooting speed 7  .
larger buffer 8  .
larger , brighter viewfinder 9  .
three interchangeable focusing screens 10  .
iso display in viewfinder with b/w icon 11  .
faster and quieter powered mirror mechanism 12  .
nine    point af sensor with cross sensitivity 13  .
af    on button 14  .
24 custom functions in four groups 15  .
wft    e3/e3a wireless transmitter / grip 16  .
new grip (compatible w  .
previous grip) 17  .
weatherproof compartment doors 18  .
larger 3  .
0 lcd monitor 19  .
live view 20  .
shooting information display 21  .
eos    1d style menu system 22  .
on    screen settings adjustments 23  .
auto iso 24  .
three new camera user settings 25  .
trimming including tilt correction 26  .
raw with sraw 27  .
optional high iso noise reduction 28  .
does not power down if card door opened 29  .
external usb media support 30  .
improved white balance 31  .
increased playback modes 32  .
optional highlight alert on playback 33  .
optional af point display on playback 34  .
in    camera flash configuration w/580exii 35  .
increased menu languages 36  .
increase metering range 0    20ev instead of 1    20 37  .
increase in kelvin wb range 2500 down from 2800 38  .
mirror lock up for multiple exposures whereas 20d to 30d had 01  .
metering modes added spot (3  .
5% at center) 02  .
iso steps 0  .
3 ev steps 1  .
0 ev steps  .
added image picture style  .
custom image parameters    greater range +    4 rather than +    2  .
lcd 2  .
5 230 , 000 pixels vs 1  .
8 118 , 000 pixels lcd  .
histogram added rgb (minor)  .
continuous speed added 3 frames per second choice  .
continuous buffer up to 30 jpeg/11 raw vs up to 23 jpeg/6 raw  .
playback file size display yes , mb vs no  .
added playback jump range of 100 images by date 10 images  .
record review magnify optional vs n/a  .
custom functions 19 c  .
53 settings vs 18 c  .
50 settings  .
really not offering much which is why so many people did not upgrade from 20d    30d go to your local store and tryout the 40d  .
you wo not be sorry  .
first impressions  .
i love this camera so much , its so much fun an easy to use  .
once you get used to the controls (or if you've used previous models) its really easy to use  .
the large grip makes it easy to hold and feels better in the hands , especially when i am use heavy lenses like the 70    200mm f/2  .
8 it feels like it balances the weight very well imagine quality     .
its pretty sharp and nice color saturation , though i would like to see my colors more punchy without having to adjust my settings in standard  .
the noise on this camera is kept very well in check with very little noise up to 1000 iso  .
and even usable pictures at 3200iso (with a little noise reduction software) body     .
it feels really comfortable and does not feel hard to hold  .
ergonomics and cosmetics on this body are wonderful , sleek black body and feels very sturdy  .
only nitpick i can think of is the placement of the buttons on the top lcd  .
the last button is just a tad to far for my index finger to reach without loosening my grip on the camera with my right hand features     .
6fps , wow  .
it captures things i could never capture with my xti in burst mode  .
its amazing how it sounds , i love it  .
anyways besides the fast shutter speed , another feature it has is the live view  .
i personally have only used it twice  .
its not very practical for me but if your doing macro you can zoom in on any part of the picture and finely tune the focus with your manuel focus conclusion     .
its an amazing piece of equipment i know that i will use a lot in the years to come  .
i brought it to my daughter's graduation  .
i is able to get great images even in very challenging lighting conditions  .
focus is on the spot and i is able to get great images even in subdued lighting .
buy try it , nice shoot , beautiful tone , better noise in high iso    highly recomended for first dslr or second body  .
sorry lori    you refer to the lens included in your review as the 28    135 lens    fact is that your handling an l series lens (probably the 17    40mm) which is a great choice but unfortunately not included had my 40d for a month and have around 2000 pics through her  .
i shoot action shots and the fast shooting rate is appreciated  .
also the ability to scroll through dozens of pics with the spin of the wheel is a real treat (compared to some of the past cameras i have had where it takes a second or two per image) battery life is very good    even with included flash as my first dslr i is thrown off by the 1  .
6x magnification factor  .
i went with the 28    135 which gives you a lens that is more like 55    210mm which is of little value to me  .
i added the 17    40mm l along with the 35    350 l which both flaunt the capabilities of the image quality more than the stock lens colors are superb , quality of image is impressive  .
zero complaints about the quality of the camera , design , functionality , or performance while this camera is rated for 100 000 images i can see that number coming and going in no time do yourself a favor and spend some money and get a quality card  .
i went with 16gb and can fill that in a few hours of action shooting .
it feels like a real professional grade camera and the results are fantastic  .
i have used the smaller and lighter canon xt for two years and love the camera , and the images it captures are great  .
now with the 40d i feel like a pro and the camera is so fast and acts like a pros , so it is a prosumer's delight i think it is a logical and nice step up from the canon xt/xti but the added weight and size will be noticeable at first .
this is a beautiful camera  .
i love using it  .
the camera feels right in my hands  .
the buttons , and user interface is great  .
i can access all features very easily  .
love the joystick and jump buttons it takes good pictures  .
i love the colours , and my pictures turns out well exposed in all kinds of lighting and situation  .
white balance is great with weather seals , with most of my lenses , it offers reasonable protection against dust and elements my grievance with dslr is dust specs ruining my beautiful sky pictures  .
so the dust delete and sensor clean helps i guess  .
it is still new so dont really know how effective the sensor clean function will be the negatives i can see are    the cam is made weather seal and then canon does not provide a cap for the hotshoe  .
this defeat the purpose of putting weather seals in other areas and leaving hotshoe with electrical contact open  .
imagine water and electrical contacts  .
coming from nikon camp earlier , the d80 came with a good hotshoe cap the other thing i guess i feel a bit pain is the lcd resolution  .
nothing wrong with 230k as it displays images perfect on the 3inch screen  .
just that everyone else goes very high res and once you see your friends high res lcd , you feel the pain all said and done    i really enjoy this cam  .
it is really a great cam and has already made me happy with some great pictures btw    the reviewer says it is slow as compared to d80  .
having used both , i will say no comparison  .
different class altogether  .
i dont think 40d is slow  .
it focuses super  .
maybe start up time is slightly slow , but then there is a the fast focus and shutter which in my opinion got me emergency pics when i wanted  .
first really good camera and finding i need a lot knowledge that i dont have .
i've owned canon cameras since using the f    1 in the army  .
i have a d60 , a 20d and have used the 10d , and 30d  .
the 40d is the best of these  .
the only thing i would like to add to this is to increase the frame rate to eight frames per second  .
although i have use this camera to shoot about 500 photos i have not really gave it a workout , to where i find something i don't like about it  .
the one thing i like about it is , it is quiet , many canon wedding photographers will really like this camera  .
it is a mini 5d , yet it is fast enough for most sport photography  .
my only peeve is that i think the lcd resolution could be better  .
however i like the zoom view feature to check focus  .
it seems to be better executed on the 40d than on other xxd cameras  .
other features have been fully explained in some of the other reviews so i wo not elborate  .
i'll just say i highly recommend this camera .
i wanted to upgrade from my canon rebel xt which is a very good beginner dslr  .
but i wanted something that is faster with great images even at high iso this camera feels like a dslr while the rebel xt seemed a little too small and very plastiky  .
the af is very good even at low light and much faster than the rebel xt  .
also i can now take images at 1/3 iso stops  .
the images are also less grainy / noisy even at 1250 / 1600 iso  .
this camera also has some great features found in the 1d mark iii including 3 liveview lcd , auto sensor cleaning  .
finally , this camera is extremely responsive from start up to taking a shot    max 6  .
5 fps is much faster than the rebel xt i also find that the images are either properly exposed / maybe sometimes a little over    exposed  .
but my rebel xt seemed to under    expose most images  .
the images from the 40d are sharp with great colours and detail i highly recommend this semi    pro camera  .
great value for the price .
overall this camera is great in every respect  .
all the new features in 40d makes it a worthwhile upgrade from xxd series  .
speed , custom functions , live view , dust prevention , constuction are build quality are great  .
larger lcd is great but i wish the camera displayed a high resolution of the picture when magnified to check the focus  .
at full magnification pictures look fuzzy  .
