good routes and re    calculating if you make a wrong turn voice directions good and clear bluetooth works great with my i    phone haven't tried the traffic receiver yet will be using that in the am i bought the refurbished 265wt for only $119 with full one year warranty could not be happier  .
i bought it from here   http  //www  .
garmin    nuvi    265wt  .
com/  .
i is surprised by the price tag they had when i bought it  .
it's a very great product  .
it is the best gps i have ever had  .
definitely a must    have for everybody  .
you won't be disappointed with this gps  .
i got mine on black friday last year from tigerdirect  .
com and i only paid $159 total with tax and shipping included which is great  .
i do not think it's on sale there anymore but it might still be pretty cheap  .
they've been going down in price over the past few months everywhere and i've seen them as low as about $175  .
it's easily worth $300 so anything under that is totally worth it  .
the sd card slot is great too it comes with 2gb of internal memory with about 600 mb free after they add the maps to it so having the option to add another 8gb for your own software (red light cams , etc  .
) is great  .
this is my third gps system  .
i spent a little more this time and it really paid off  .
the where am i feature is fast and accurate  .
i wish i had purchased a model like this sooner .
just received the garmin 265wt for christmas  .
what a gift  .
i love the big screen  .
the announcments are clear and on time  .
much faster than my tom tom  .
i recommend it .
this is my first nav system and i recommend to anyone without hesitation  .
it is a budget minded nav system with many features last week i drove from michigan to florida and back over two thousand miles  .
three times garmin 265wt saved mes   1  .
late at night going to a hotel near the great smokey mountain , the highway is closed  .
garmin rerouted using local roads and got to the hotel without any trouble  .
facing the afternoon traffic jam at cincinnati , garmin rerouted using local roads and got back on the highway 6 miles further up bypassing the jam  .
late at night in southeastern michigan , highway is closed due to an accident , not detected by garmin , i existed the highway and used local roads going further north forcing garmin to reroute  .
with garmin  .
s reroute , i got back on i    75 two miles north from the accident site after a short delay .
bottom line is it will get you were you want to go much better than a map , it's easy to use , and i couldn't have ask for anything better (even if money is no object)  .
it may not put you in the driveway or parking lot your looking for , but if you need that much help , well , you can figure the rest of that statement out i do not live in an area with traffic reports , but you better believe when i am in tampa in a couple weeks i'll be trying it out  .
buy this unit  .
i got it for $260 (after some 'negotiations' with the store , and it has been worth every single cent  .
i love the nuvi 265wt  .
i have used the gps on my iphone for awhile but it is not reliable or practical to use on long car trips this is my first gps  .
after researching for awhile i decided on the 265wt  .
i really did not want to spend more than $200 on a gps but after seeing that traffic is included free for life , normally $60 , and that a bluetooth speaker is included , which i is looking to purchase as well and normally cost $70    100 , i decided on the nuvi 265wt  .
i purchased it from a reputable buyer on ebay for $300 plus s h i love the widescreen  .
the fact that it says the street names is great (the voice is a little robot    like but you get over it quick)  .
the frame rate is pretty good  .
it's a good beginner gps because it's very easy to use  .
everything is self explanatory i do have a gripe with garmin's customer service  .
i called up because i thought the traffic was not working (it is working fine it is just my own stupidity that made me not realize it) and a person answered  .
i thought wow  .
a person right away  .
she asked me how she can direct my call and i told her i thought i is having a technical issue and she put me on hold and connected me to a computer with a series of voice prompts  .
press 1 to purchase press 2 for technical support  .
after i went through the prompts my call is answered quickly but still why ask me how you can direct my call if you're just going to make me go through a bunch of computer options anyway  .
not a big deal but it just irked me in conclusion the garmin nuvi 265wt is a great gps system  .
especially for first time buyers that want a lot of features without taking a big chunk out of their wallet updated  .
on oct 29 , 2008  .
me or the satellite          needs to move        .
in order for it to be more accurate and btw          traffic updates are not happening       on country highways but may work great on freeways    (un    tested) its easy to operate          easy to up    date          loud enough to hear the spoken directions       fast to pick up directions on turns and make adjustments       if you choose to go a different route then it wants you too overall          in 98% happy with the product       and it is reasonably priced .
one day , i decided to tap in a location across town (just to test it out) and it told me to use the toll roads even though the local streets to get there were right there  .
even though it has some minor problems , i still would recommend this great navigation system for gps newbies got the n�vi 265wt for $200 at costco using a $20 off coupon .
awesome  .
i've recommended this gps to several friends and and colleagues and they have experienced the same results i have .
have had the product for about two weeks  .
i love it thus far  .
have taken on two road trips and it has operated flawlessly with the minor gripe of the speaker quality for bluetooth use  .
a lot of features for the $ , especially when compared to the nuvi 650 i bought a year ago for more money  .
i have now give one to each of my two driving kids .
i used this gps for a couple weeks on my regular commute and just took one long trip with it to a place i'd never been  .
the directions were accurate , and it adapted fairly quickly when i purposely chose a parallel road to avoid traffic  .
i love the big , clear screen  .
very easy to use spoken directions are clear and usually very good  .
if there are two quick turns in a row , it does not always give enough notice points of interest were up    to    date , even in remote rural areas the traffic is as helpful as any internet traffic site    not at all  .
but it's free , and the problem lies with the traffic source , not the gps the only con is the startup time  .
you must be sitting still and with a clear view of the sky for it to find a satellite  .
it does not work in my parking spot (in an alleyway)  .
it does not work in very slow moving traffic    you need to pull over and actually stop for 1 minute or so overall    very happy with it .
i've only had the unit for a few days , and i really like it  .
it's my first gps  .
i drive 90 miles a day to work on some of the most congested freeways in los angeles and so far this unit has been very helpful  .
bluetooth is a little distorted on one of two tests  .
could have been phone signal  .
but i still recommend it  .
good feature to cost ratio .
i wouls save the $ get the 255wt which i believe has everything except the bluetooth option  .
with an iphone's built    in gps , one would not think a dedicated gps device would still be necessary , but this little garmin is an excellent companion device for providing voice    aided turn    by    turn navigation , as well as being an excellent hands    free calling device  .
on a recent trip , i had my iphone playing music through my car stereo and connected to the garmin via bluetooth  .
when a call came in , i is able to see my iphone's caller id directly on the garmin , answer talk hands    free  .
during the time i is on the phone , the iphone is smart enough to pause resume the music automatically       how cool is that  .
another nice feature is being able to search for a poi and call the business directly from the garmin  .
it also displays my iphone's full contact list , battery status , and cell signal strength       all with a nice    sized screen that's easier to read while driving than fumbling around to look at the phone itself i purchased my nuvi 265wt at wal    mart online and a beanbag    type friction mount came with it for free       works great for using the garmin in multiple vehicles and rental cars  .
even though i totally did not have any realistic need for it , i bought the 265wt because i read good things about it , and the price is reasonable for what you get (and i am a gadget freak)  .
right out of the box , the 265wt is pretty much ready to go (you have to initialize the gps outdoors for about 3 minutes or so when you power it up for the first time)  .
it comes with everything you need to get up and running (power cord with inline fm traffic alert receiver , windshield mount , etc  .
) i live in an apartment complex that has been around since about 2004 , and the most up    to    date map database doesn't have any part of it  .
not that any of that matters , as i can usually find my way home  .
every other function is straight forward  .
living in omaha , there is usually no traffic to speak of , so the traffic alerts do not mean too much to me while i am roaming around locally  .
in addition to mapping , this unit also calculates your speed and can be used as a bona fide trip computer , measuring distance traveled , max speed , fuel cost (you input the current local gas prices) , length of time stopped , etc  .
, all of which is very accurate  .
one of the neatest features is the where am i function , which displays the nearest intersection to your location , and also shows the closest gas stations , hospitals , and police stations  .
this unit stows away in a pocket , purse , or bag , and you can electronically password    lock the unit so it would be useless if it were stolen  .
everything else is self    explanatory with the 265wt and i highly recommend it updated  .
on dec 19 , 2009  .
the garmin n�vi 265wt is your basic gps but loaded with features that are normally found in more expensive units it works great right out of the box  .
on its main display , you can view your vehicle's speed , map of where you're going , arrival time , next turn , etc the included bluetooth and traffic receiver are valuable add    ons that are costly when added to a unit  .
the traffic receiver is usually around $100 just for this one option  .
only complaint with the unit is its mapping software update  .
it needs to be more current  .
for example , i found several movie theaters that closed 2 years earlier that are still listed as points of interest  .
of course , if you just have to have the latest map , garmin can accommodate you for the rip off price of $100 the n�vi 265wt is a real bargain in a gps  .
sure , you can buy a gps for less money , but not with all the bells and whistles found in this one  .
i just purchased this unit from my local costco and have found it to be one of the best gps units i have ever used  .
out of the box , from a full cold start , it found its location accurately within 20 seconds or so (most units i have seen before take a few minutes)  .
garmin's new hotfix feature actually works as advertised  .
whenever i emerge from a signal dead zone (like a parking garage) the unit finds itself almost immediately  .
my old magellan would take at least a minute , if not several to do so also this unit has amazingly fast route recalculation response time  .
i purposefully drove against its directions and it realized and had a new route with a new direction within 5 seconds or less  .
again my old magellan would take about 30 seconds to a minute to recalculate (taking about 10 seconds just to realize i had gone the wrong way) the user interface is also very intuitive and easy to navigate  .
the features are great  .
ecoroute actually gives me usual information , providing estimates of my fuel consumption and and even costs incurred , all based on my vehicle type , fuel type , gas mileage , and its tracking data the only issue i have had so far is that the bluetooth speakerphone on this unit has so far been only satisfactory  .
most calls have been intelligible , but i often get told that i can just barely be understood  .
i am working on finding a better placement in my car to mitigate this issue for the money , this is probably one of your best bets for gps at the moment .
saved my butt on numerous occasions  .
very happy with purchase .
upgraded from 260w for unit with bluetooth but disappointed with quality of sound and microphone  .
volume adjustment should be mounted on the outside of the unit rather than on touch screen  .
hotfix keeps shutting off the unit here and there unexpectidly although it automatically turns back on  .
good selection of foreign languages with option to download more  .
excellent garmin factory support , as always  .
pois and addresss can easily be downloaded from google maps  .
overall good value for the money spent .
this is my first gps ever  .
is going to buy the 360 but the sales rep said it is discontinued and suggested the 265t series  .
the wider screen is more appealing to me  .
found it on ebay and the seller is in my living town  .
what a coincidance  .
i is able to save on s and h fees  .
sp bought it for 300$ an excellent price  .
i loved this product right away  .
easy to use  .
the text to speech feature is unbelievable  .
when you go off track , it quickly recalculates your new route  .
on the off side , the traffic component is stll not available in montreal (should be available in 2009)  .
also when using phone through the unnit , the caller finds that the voice does not look so clear so great buy for the price  .
do not hesitate to buy this unit .
for the price a very easy to use gps system  .
outstanding unit for the price , and much better than some comparable units  .
bluetooth capability is a key factor and many units higher priced do not have this capability .
so far i like it for what it does do but it doesn't do one of the main features i bought it for , which is the bluetooth phone hook up  .
