i read a lot of reviews and did a ton of research on gps's  .
the 360 is incredibly user friendly , portable and the screen size is not too small  .
i have had the unit two months and paid $350  .
i love it  .
while many reviewers mentioned that you need not read the manual , i found it (on line version) to be wonderfully helpful  .
as mentioned the mounting hardware is excellent  .
i think windshield mounts work great in a rental car but are dangerous as they obscure vision  .
i had mine hard wired in my audi  .
i also had an fm modulator installed so the mp3 player and voice prompts and bluetooth phone all come through the bose stereo system in the car  .
they used the head phone jack on the nuvi to accomplish this  .
because they used the dc power supply (cigarette plug in) for the power installation i had to buy another so i can move the unit to other vehicles  .
i went to garmin's site and bought ($30) an accessory package that included dc pwr dash mt  .
great nav , music , pic viewer and portable  .
first i got tomtom gps because it is less expensive  .
good $100 less expensive  .
but , i returned tomtom very quickly after it could not find my home address and it had trouble locating other locations i pickup garmin 360 and after using it for few days i knew that the extra cost of this unit is well worth it  .
garmin 360 is very precise with directions  .
it does not have trouble with finding addresses like tomtom  .
garmin is extremely easy to use , just type an address and you are on your way  .
i really like that garmin can find different points of interest in immediate area like restaurants , grocery stores , gas stations etc  .
user can also type specific point of interest like for example wal    mart and garmin will look up all wal    mart superstores in immediate area  .
garmin has other handy features like currency converter , measurement converter and others which are very useful trawling outside your country  .
garmin is more expensive then competition but you definitely get what you paid for .
i work in sales , and my car is my office  .
i is in the market for a navigation system that needed to have a friendly interface , along with bluetooth and mp3 functionality  .
after spending months of research both on and off line , it is easy to conclude the nuvi 360 is the best of breed it essentially came down between the nuvi 360 and the tom tom go 910  .
i had the opportunity to experiment in person with both units , and the 360's interface is simply tighter , the calculations seemed faster , and touch screen is more responsive i've only had the nuvi for a little over two weeks , and i could not be more satisfied  .
i should note that i had the unit professional hard    wired into my car's cd changer input using the nuvi's 3  .
5 mm headphone jack  .
this allows the sound to come through my speakers , and all i can say is awesome  .
i also have the flexibility to connect my 30gb mp3 player , but with the nuvi 360's mp3 capabilities there's really no need  .
the interface is just so damn friendly while driving (much easier to read and select through the tracks) the bluetooth functionality is hands    down my favorite feature  .
ordering take    out on the way home from work has never been easier (or more fun)  .
simply tap food to locate restaurants within your area , then tap the phone number displayed with your desired listing and the call is made  .
no longer any need for 411 my motorola q had no problems connecting to the 360 , and all my contacts (hundreds) were easily downloaded into the nuvi's phone book making dialing calls a breeze (also makes for a great caller id)  .
people are amazed when i tell them i'm calling from the nuvi because of the call's clarity (it may help that the unit is mounted to the side of the center consel) most importantly is the navigation itself  .
great graphics , very responsive touch screen , quick calculations , and excellent info/stats (including estamted arrival time , speedometer , compass , total drive time , ability to add stops to final destination , etc) overall , i am very much more than satisfied with the nuvi 360  .
i would not recommend anything else for the money (now around $400 on most online retailers)  .
i can say without any hesitation that you will not be disappointed  .
i've only have this new gadget for about a week now  .
i'm very impressed with it so far  .
i is in phoenix , az when i bought it  .
so , i wanted to see my dad who i havent seen in over 18+ yrs  .
well , i typed in his address and it took me right to his door  .
i is impressed  .
and my dad wanted to check it out  .
so , we put it in his car and it drove us to a particular restaurant and also back to his house i'm doing a road trip for now and already done over 3 , 000 miles  .
the 360 has not dissappointed me yet  .
i've still gotta go to las vegas and a few other stops people , this 360 is perfect  .
not too high and could be lower , lol  .
u wont be dissappointed with it  .
this is a truly remarkable device  .
it is easy to use , accurate , and reasonable  .
i did hours and hours of internet research  .
this model came up over and over again  .
it is perfect for my price range  .
when i ordered , it only showed an a/c adapter , but when it came , the cigarette lighter adapter is there  .
