knowing what i know now through first hand experience , if i had to do it all over again , i would  .
i would also highly recommend this unit to anyone who can afford it  .
you will be glad you did .
i have another older garmin that i use for sailing and flying  .
it is very easy to import all my routes and waypoints from it  .
i have a bluetooth headset in my helmet and it connected with no problems  .
it also connected with my blackberry and even had my complete dialing address book available to me on the gps screen i'm used to gpss that don't come with everything so i bought a lot of the accessories  .
the ad should list what comes with it  .
perhaps it is an oversight of the online vendor (amazon)  .
i do not know .
this is the 3rd garmin gps i have owned over the past 10 years  .
it is also the best motorcycle unit out there it is designed with bikers in mind  .
easy to use is an understatement  .
you can figure this thing out in about 15 minutes as close to perfect as possible .
i love this unit  .
it has all the features i wanted in a gps and will be the standard to beat for a long time  .
all these great features in one unit  .
wow  .
navigate , listen to your favorite music , call up a friend from your phones address book right there on your unit  .
touch screen just about everything with gloves on  .
no problem viewing this in direct sunlight either  .
and you don't miss a thing  .
product support is great too  .
somehow i lost my maps when updating the software and a call to garmin had an update dvd on its way to me 2nd day air  .
they would have updated it immediately online if i had broadband  .
buy this and you wo not be disappointed .
you can use it in a car or your motorcycle  .
i give it a on scale from 1 to 10 a 10  .
it tells you if you are low on fuel  .
it tells you how far to your destination , how many miles and the eta  .
it tells you if you are going north , south , west or east  .
slide an sd card and you can hear music while on your motorcycle with the correct helmet you can recieve or make calls  .
it has so many features , i love it .
easy to use and understand right out of the box  .
lots of accesseries for car and cycle  .
a must have .
i've owned many gps's some aftermarket , some included with my car  .
when i went shopping fora gps for my motorcycle and car this model stood out  .
great overall unit  .
comes with everything you need to mount on your bike and in the car  .
accurate , easy to read , logical layout  .
my only gripes (and they are small) is that i wish the screen is a tad bigger and the movement of the display as you drive is a bit smoother  .
very small gripes overall and outstanding unit  .
used this on a long distance bike trip and it made the trip  .
we found great places to eat , and rode the areas like a local  .
if you have a motorcycle , this is your gps  .
fan fraggin tastic .
i is amazed at how easy this unit is to set up and get on the road with  .
within minutes i had the zumo out of the box and mounted on my hd ultra classic  .
the included ram mounting system did the trick  .
running the wiring to the battery took a little time , but is well worth it and the unit looks great the screen is very bright and i have not found any conditions that would prevent me from seeing the screen , even in the strongest direct sunlight  .
the touch screen and control buttons are very easy to use , even while riding , but use caution here , it's easy to get distracted while trying to work your way through the screens if your riding the options to stay off of freeways and away from toll roads works great , but expect to spend a little extra time in the saddle , it's nothing to be concerned about a word of caution , the motorcycle mount has a security screw that allows the unit to be secured in the mount  .
when i arrived at my first destination i tried to remove the gps but the screw had vibrated into the locking position , preventing the unit from being removed from the mount  .
fortunately i had the special security screwdriver (included in the box) with me and is able to remove the unit for storage  .
not a major problem for short trips , but i would not have wanted to leave it out for long periods of time after all there are those who choose to deprive us of our property out there all 'n all it's a great unit , its better than units that come as standard equipment in most cars , and it's waterproof .
this is an excellent unit with many features and functions  .
clear sound from car mount speaker  .
sometimes bluetooth would not disconnect from phone when powering down  .
hard to plan a round on the unit , best to work with pc software  .
connection to pc easy and quick with supplied cable .
great unit , i also got the nuvi 350 for travel  .
this is a great unit  .
very easy to use and to view while riding  .
with the included car and motorcycle mounts its easily to move from car to motorcycle  .
mounting is easy and sturdy  .
one thing i didnt like is that installation instructions dont cover wiring at all  .
i would also like to see the pio icons on the screen like i get with my acura gps  .
i think cost is reasonable , got mine on line about $670 this is a sturdy unit  .
mine took a tumble while riding because i hadnt secured it properly and the unit is fine touch screen is good and i like that i can use a gloved finger screen is also nicely lit and easy to see outside i would like to see more routing methods like i get in the acura unit  .
max and mix highway , scenic route like on the laptop gps would be nice  .
