would highly recommend to anyone  .
i came from a pre and before that a motoq9c  .
my battery goes 18 hours plus , love all the apps , fast internet , is easy setting up email , contacts , exchange server etc  .
love it , constantly messing around with it .
easy to use , smooth running phone  .
love the 1ghz processor  .
awesome coverage with sprint  .
well worth the 10 dollar add    on to run (still cheaper than the other big 3 carriers) .
if you wanted an iphone that comes with an all inclusive plan and does not drop calls , this is a great option  .
outdoor pictures are very good , indoor's i don ; t know if you should even bother  .
video is hd but not enough frames per second to rival my 3 year old sony non hd video cam  .
maybe the iphone has a better battery , maybe no one can afford the plan to run wifi , gps , 3/4g , bluetooth , while multi tasking music/video streaming all running at the same time  .
i usuall forego the bells and whistles but decided to go for the evo because of the large screen  .
yesterday , my son tells me we have to be at an event fin 15 minutes without directions , i literally just read the address into the gps and made it on time with turn by turn directions in between the pandora radio enterntainment  .
the device gives you a picture of the building as you are near the destination i can access my office computer with goto my pc like function and because of the screen size , it is actually usable the size is surprisingly not too big  .
the device still fits well in a shirt pocket and easily in one hand  .
my wife wants one and does not want anything smaller after seeing the evo sprint tv is completely unnecssary , but never the less enjoyable when it is included with the package price  .
android market has roughly the same aps as iphone , so you can doanload lots of mindless games (for the kids of course) and other items pertinent to you business and liesure  .
overall this thing could spoil you to the point that you may never tolerate boredom again , until your battery dies  .
when you compare specs there is little that can rival this thing , it is a pretty complete package for $150 .
i love my evo  .
love it , get it  .
best phone for the money , worth every last penny , huge android community that expands everyday and has new developments every day as well , love how google is the backbone of it and allows its users to give them ideas for improved development .
amazing phone , better than the htc incredible by leaps and bounds , like i can stream , record and do so many things that i could not do on other phones  .
this phone allows me to be as social as i want no service interruptions and i could not be more happy like its that amazing  .
guys i had a dream and the dream came true with htc evo .
awesome phone  .
resets the bar  .
sprint 4g is just amazing  .
the only other competition is the epic , and iphone 4 , and droidx  .
those are the only other phones that truly wow you updated  .
on oct 21 , 2010  .
i didn  .
t think i is someone who would care to have a smart phone but the evo won me over  .
i upgraded to this phone after trying the samsung intercept and not liking it at all  .
the evo is a smart , smart phone  .
it is well thought out , intuitive and dynamic  .
it integrates the information from all of your accounts , google , facebook , flicker , twitter  .
birthdays from facebook show up on the calendar , contact information from various sources are linked and easily accessible  .
typing is accurate and the words it suggests you may be typing are generally right on , even if i hit a wrong key and misspelled the word completely  .
on the web , pages are sized to fit the screen , so you don  .
t have to scroll side to side to read something on it  .
the customization is great  .
you can make one of the 5 home screens a calculator , calendar , column of favorite contacts , music players , a stream of updates from all of your accounts , an rss feed , the weather  .
the predicted weather forecast also show up on the bottom of a day you choose on the calendar  .
each of these widgets for the home screen has various styles you can choose from , including full and partial page versions the evo is fast , responsive , intuitive , sleek and fun  .
having access to the web on the go has come in handy so many time already  .
even though i like reading maps , having sprint navigation and google latitude gps system is really great  .
it helped me get to a work event in a town i wasn  .
t familiar with and is driving through down a highway on my own    so couldn  .
t safely read the map as for battery life , i  .
ve put on a home screen widgets to easily shut of 4g , gps , bluetooth and wifi when i don  .
t need them and have been getting a full day of battery life out of it    though i haven  .
t tested it too hard yet though generally a device trying to be many different devises in one is often not great at all of them , this phone is truly a phone , pda , computer , camera , camcorder , radio , gps , mp3 players , tv and handheld game system al in one  .
all in all , if you can afford the phone , and the $10 extra data charge , this phone is worth it  .
i would check out monoprice  .
com for accessories like phone chargers and mini hdmi cords to hook the hd video camera up the computer  .
their prices are amazing , they have quality products and great customer service .
i love this phone , easy to use , has many cool applications , runs fast , i like the screen size , nice overall phone size not to big , not to small , just right , after using the camera , makes my old camera look old and far behind the connection is good , the plan price is decent and customer service is great , i am so happy that i got me two evos , we order one black and one white , we got the black one in 10 days and the white one never showed up so after 3 weeks we just canceled the white one and order the black one , we got it 3 days later great phone , buy it  .
having grown from 7 years of using the palm os platform and 3 years of using the windows mobile platform i decided to make the jump to an android phone on sprint  .
i have been a 10 year sprint customer and i consider myself an early adopter when it comes to mobile technology  .
after seeing the direction palm is heading while i had my treo 700p i decided to switch over to windows mobile with the htc mogul (ppc    6800/titan)  .
i proceeded to buy the htc touch pro and then the htc touch pro 2 and saw that the windows mobile platform is losing creative and stability ground to iphone and android  .
finding about how locked down the new windows phone 7 will be with no application backward compatibility , i decided to switch to android and the htc evo  .
this has to be the  .
perfect  .
smartphone i have been looking for since my first one (kyocera 6065    palmos) in 2001  .
the stability is second to none and i love the over the air software updates where i do not have to back up all my information and do it myself  .
i do not have any negatives to say about the phone other than the battery life could be better , but when you have a phone that can run 4g , gps , bluetooth , multitask , push email , text , stream music/tv , run full flash websites , stream internet radio/podcast , record in 720p and take pictures in 8 megapixels , video chat , etc  .
the battery life will run down  .
seems to be the best phone on the market now due to sprint  .
s superfast data network even without 4g , htc  .
s hardware excellence , and the ever growing android os .
cannot believe how big of a technology gap this has over my palm pre that i had before this .
wifi and navigation is supergood  .
htc is a classic smartphone that greatly combines a real smart phone and a pc  .
personalized it to my style and proud of my choice .
i had an htc touch pro 2 before this and decided to stick with htc because they make some good phones and its the best decision that i could have ever made i absolutely love my evo wouldnt trade it for any other phone  .
i've been with all the major carriers , and have experienced some of the best phones available , as a personal reviewer on what works well , and effective  .
i have to say that the evo has me very impressed , i would recommend this personal pocket computer to anyone (personal or business) as it does have the qualcomm snapdragon , making it responsive at beautiful speeds for all tasks  .
with anyone who is upgrading from their previous phone and needs advice , look at all angles first and read reviews from honest , non    biased groups , like  .
good start by going onto cnet ; )  .
make smart choices , with smart phones  .
and thank you sprint  .
this is my best phone yet .
i've been with verizon for so many years , and they have great customer service i've always heard about how sprint customer service not so good i've tested heavily verizon droid x and sprint evo 4g to decide which one to choose for me and my wife they are very identical  .
but for me , sprint evo 4g won (10    9) below are the major 19 factor that are different that i care about (everything else matches)    .
1    cost for 2 years (evo wins)  .
2    front face camera (evo wins)  .
3    battery life (droid wins)  .
4    camera button (droid wins)  .
5    good charger location (evo wins)  .
6    customer service and network (droid wins)  .
7    zoom and align text when clicked (evo wins)  .
8    swype (droid wins)  .
9    skype (droid wins)  .
10    weight (droid wins)  .
11    4g network (evo wins)  .
12    sound quality (evo wins)  .
13    speed test at home (droid wins)  .
14    speed test at work (evo wins)  .
15    16 gb sim card (droid wins)  .
16    sprint navigator free/vz navigator extra charge (evo wins)  .
17    banner info always on top (droid wins)  .
18    easy to find phone contacts (evo wins)  .
19    autofind when searching for application at market (evo wins)  .
i've been with sprint since the beginning of this month and so far , sprint customer service is very good , i also heard that they've improved the last two    three years good luck with your decision making .
bottom line is the phone is an amazing device , basically a hand held computer  .
facebook app slows down the phone had to actually shut down fb  .
it would spend hours to update (i have over 1200 friends) , and the phone would actually get warm to touch , and then it would freeze  .
after shutting down fb the phone worked perfectly again  .
works great with exchange servers  .
basically i would say this is the most perfect device that has ever been placed on the market  .
byebye iphone hello evo  .
i run a real estate company off of it , work with my masonic and shriners lodge info , updates calenders and so on and on and on perfect but please give a stronger battery  .
nice design , love the soft    touch material on its rear cover , fast processing power , 4  .
