the phone is easy to use has a huge screen its skinny and lightweight and another thing i love about it is its really easy to send messages  .
i couldnt ask for anything better for my first true smartphone that can handle the heat and run through it at the same time .
the screen size is large enough to be a realistic mobile office and media viewer it has all the features you can think of and several more besides it is stunningly good looking and feels great , and it is a very capable tool  .
all of it's features work properly  .
it is not lacking in the way many of the other comparable devices do  .
had issues with it freezing up constantly  .
i reformatted the sd card and added my music by syncing from windows media player on my home computer to the phone instead of just dragging them onto a folder on the sd card  .
once i did this , all of my issues were resolved and the phone operates flawlessly .
this maybe my last phone ever  .
i love my hd2 and would not trade it for any other phone  .
it has been very stable and fast , fast , fast  .
i had an iphone 3g and that is like an appetizer for the full    on smartphone experience that is hd2  .
there is an adjustment period of about a day to get used to htc's sense gui , but it is sweet  .
great integration with contacts and facebook  .
so many clever touches , like the multiple sliding unlockers that take you right to new texts , emails , etc  .
great phone , better than the iphone , do not let windows mobile haters keep you from checking it out updated  .
on jun 2 , 2010  .
the bottom line is this phone is worth it even though its battery life is not great it still has a wonderful system and a great display .
after three years of blackberry devices , most recently the bold 9700 , i decided to try this device because of the screen and the fast processor  .
i honestly thought i would send it back after the trial period due to the lack of a keyboard and due to my love of blackberries then i got it in the mail  .
the screen is impossible to describe to you    everyone who sees it wants it  .
the form factor is not too big , and it is thin  .
the processor is blazing fast  .
the phone can even be used as a wifi hotspot for multiple devices    and it is fast too the windows mobile os is highly customizable    which i love  .
i can make the phone behave very differently with minimal effort  .
b n nook reader ; blockbuster video rentals ; blazing fast web browser ; music ; movies ; oh , and a great phone too one of the essential things for me is that this device had to sync my two g    mail accounts and the calendar on one of them  .
if it did not , then i would not be able to use it for work  .
well it does  .
the calendar even syncs faster than on my blackberry this phone has been a wonder for me  .
one lasst reminder , you do have to perform minor maintenance on it (ramclear ; task manager) every so often to keep it with its best performance .
you cant beat this phone  .
by far the best phone created out there .
the four os out there for smartphone are ; blackberry , android , iphone and windows mobile  .
i have tried them all and all on the right device work great  .
i think for some time windows mobile is running dead last  .
the new entry into the race htc hd2 running windows mobile 6  .
