hd video in my pocket that i can take to the pool with my son or on the golf course and not worry if it rains  .
it's nice to be able to record life's moments without carrying around a camera bag .
if you do not mind having 0001 file all over again (after deleting previous ones on camera)    go for it  .
i't annoying , but otherwise i'm happy with mine .
if you are looking for a solid , well priced , easy to use video camera this is the one to get .
i spend my time outdoors hiking and in the mountains  .
i have had many cameras but this one takes the cake  .
i attach a wrist strap to it and im ready to go bottom line is this  .
for $150 this camera is amazing  .
perfect for posting to facebook or sharing family videos  .
i already have about 10 vidoes on facebook and several people have commented on the quiality if you are looking for a compact hd camera for the trail , camping , pool , or beach this is the camera for you  .
overall it's the best on the market  .
better pics than the flip models and higher capactiy (up to 32gb sd card)  .
i have a 16gb sdhc card in mine and have hours of great video  .
the playsport has a wider viewing angle than the zi8 so fits more in the picture  .
also , the mic seems to be more sensitive and picks up voices/sounds better  .
the screen is smaller , but that's fine with me ; just makes it more portable  .
this is the best $150 i've spent  .
if you go diving , make sure to attach something that floats to the camera so it does not sink below the 10ft depth limit .
bottom line for the price , and for what i need , this is a great camera  .
i can take pictures or video easily and on the fly  .
and with three kids , on the fly happens a lot  .
i wish i could get the editing software that is on the disk onto my computer so that i can edit this stuff , but i will figure it out i guess  .
and i is unable to upload straight to facebook  .
but i could upload to youtube and send a link to my facebook family this is an early christmas present from my husband so i could capture the holidays  .
and i cannot wait to get a chance to really do that  .
i was not expecting a $600 camcorder btw  .
i expected a small easy to use take with me device and i got it .
i is happy with my sd camera and this thing looks great  .
i have a brand new led lit vizio 55 inch 108p tv and the video from this looks like i shot it  .
i haven't played with it too much , but wondering how i can get that video onto a disk and play it at that resolution for sharing and archive  .
vids get big quickly i've owned everything from canon l2 (the big camera not the point and shoot) to the xl1 and everything inbetween  .
they just never got used for every day shooting , too big  .
even the mid sized are a burden  .
this one actually is in my pocket all the time  .
ready to catch whatever  .
moreover its far more discrete  .
worlds above all the current cell phone cameras and at a price that makes it an easy purchase because your carryon is too full for your regular camcorder i haven't used it in all situations or light sources , but it so far seems to handle bright light and indoor with the shades open just fine  .
i hear its low light is poor , but , unless it says low light on the package , you can assume it stinks , and even then , sometimes when it does say low light  .
seems rock solid , though the water tight seals do take an extra bit of care  .
i've had a water proof olympus with the same type seals and doors for years and it's always maintained its integrity gotta love the sd card slot vs sony's sticks  .
i'm up to my ears in sd cards , they go in just about everything i own , just like your house  .
so i've always got a couple gig sitting around  .
that said , 1 8gb memory card shoots well longer than your battery will last  .
5hrs at 1080p and 3  .
5 at wvga  .
which is right in there in the 15    30 min per gb typical of digital media the 60 fps video actually ends up letterboxing your screen to up the frame rate , but it does give you great slow    mo capability  .
i tried the flip and flip minio and they were similar quality pic , worse stabilization , and not waterproof  .
the big stupid usb flip out is asking to break the camera off as well  .
it just does not suit my computer work space , though i appreciate the lack of need for a cable  .
but its a standard miniusb cable , so i've always got one for charging my phone anyway i've actually got 2 of these now , as i cannot pry the other out of my wife's hands , and they're practically a dime a dozen , how can you go wrong .
for the price of this camera it is very hard to complain about anything this unit represents a great value easy to use , beautiful pq , and a tough package this is something that kodak does very very well flip is in the dust against this little gem .
http  //www  .
youtube  .
com/watch  .
v  iqtacobadc0 camera worked great for what i needed it to do  .
skiing videos were very good and water skiing videos were very good on hdtv but i think youtube quality is not quite as good  .
the video editing software worked great  .
i love this camera but would like to see later versions offer a flash .
better build quality than flip , better feature set and better quality video and stills  .
included software is by arcsoft and is leaps and bounds beyond the flip software which i considered to be a joke  .
having the storage on any sd card makes it easy as they are cheap and easy to find  .
this also makes transferring videos super easy  .
i'm very pleased with the ergonomics , the ease of use , especially when switching between video and camera modes (e  .
, 5 mp stills , 720p , 720p @60 fps , 1080p)  .
there are different lens filters for water , dark , and indoor environments  .
takes good stills indoors even without a flash  .
buying an extra sd card is cheap , and i found extra li    ion batters for just under $3  .
00 bucks each  .
tried the flip , was not impressed , took a chance on the kodak , absolutely loved it  .
great bargain at $129       it even includes a mini hdmi cable to hook up directly to your hdtv , or standard cables for sdtv's  .
would buy this product again .
so nice to capture my kids and friends in action with out asking anyone to hold on , let me get my camera  .
just pull it out and simotaniously turn on and push record  .
no more bags and straps  .
great deal and functional  .
definatly has the most dextarity of all the pocket cameras .
this product is nearly perfect considering the price and quality  .
people need to understand what they are buying and stop giving bad ratings and nitpicking a 150 dollar camcorder  .
the zi8 is so well received last year , and this is the exact same image sensor , only the camera is cheaper because there is no external mic jack and also no macro mode  .
but this will take the exact same quality video as the zi8  .
