one low price and no add on fees or taxes  .
i have the most expensive plan  .
it's the smart phone plan plus unlimited international calls  .
i pay a total of $60 per month  .
i is paying almost that much without email or internet  .
and my land line international calls used to cost me at least $100 per month  .
metro has really been a bargain for me  .
if i were you , i would not really pay too much attention to all those complainers  .
try it for yourself  .
with no contracts , what have you got to lose  .
sure beats being locked into a two year contract with a lousy cell phone company    yes , i'm talking about sprint .
first , i do not work for metropcs and have no reason to write a glorious review  .
i've read many reviews and see the complaints about metropcs  .
to cut corner$ , i am ending my 2    year contract with t    mobile in august 2010 and i currently have a blackberry curve  .
so far , metropcs is a great service for talk , text and basic internet service  .
and it's all for a great price .
sprint   79  .
00 + tax    like $90  .
att , verizon , tmobile   aroung $100  .
metropcs   $40  .
00 (taxes included)  .
all these prices are for plans including text and picture messaging , unlimited minutes (all the us) and web browsing  .
if you add the gps , email and other advanced features in other comanies we are talking of at lease 30 dollars added to your bill , with metro you only pay $5 to $10 more .
compared with the tools you find at sprint , at t , verizon , or any of the other schmoes , these guys were excellent  .
no lies or deceit  .
they actually under promised and over delivered  .
they actually would not sell me a phone because my home is on a mountain where the coverage is not that great  .
the fact is , it's better than sprint or at t were  .
of course sprint and at t were deceitful with me because those liars will do anything to make a buck for an $80 phone and a $40 plan i is out the door and working  .
an to them $40 actually means $40  .
of course to the other con artist companies , $59  .
99 is advertised , but you get a bill for $68  .
of course when buying the phone , it's advertised as $79  .
99 , but a charger is an extra $40 , a memory card is and extra $30  .
how the f  .
are you going to use your phone with no charger or memory card  .
this company has an excellent business model  .
i hope that they thrive , and many other successful companies follow suit .
had a great experience signing up saturday , 2/14 in marietta ga store (isaac is rep)  .
when discussing my vacation travels to florida , he actually fessed up that there is spotty coverage for a period of time on the trip (south georgia) , which is the case with sprint anyway , but once down to s fl , covg will be good  .
this is before i signed up , so my first experince with customer service is all good , and isaac is most pleasant and non    pressuring , for lack of a better term  .
i tried to negotiate a better deal w sprint the day before and they wanted nothing to do with it  .
wife and daughter still on sprint , maybe not for long .
great value    $50 all in  .
nobody comes near    ii have the same navigator verizon uses without all the attitude .
very few dropped calls as opposed to another network i is with , and no surprise charges  .
the plans are very economical and they are introducing smart phones to their lineup as well as a 4g network by the end of the year  .
sometimes customer service is rude , sometimes they are not  .
it just depends on the day i guess  .
lol better customer service is not worth 30+ dollars a month to me to go with another network , so i will stick with metro  .
i have had most issues dealt with no matter what mood the service personnel is in at the time  .
the taxes metro charged (before they changed to a tax included service) very cheap in comparison to other service providers i first liked metro because their service plans and phones are no muss , no fuss  .
i is one of those people that believed a phone is for talking , a computer for computing , and who the heck needs to text when they can talk  .
well , since then i have changed my tune , probably because everything is included so why not utilize it  .
i even dropped more than $100  .
00 on a smart phone to get the qwerty keyboard  .
with verizon , they charged for every text that is sent to me and i could not stop texts from being sent , now i do not have to worry about that i like that i can talk , text , surf the web , check email , chat , etc  .
with no extra fees  .
about the only thing i do not like is the samsung phones that will not allow many free download sites to snatch ringtones from the web , though there are 2 websites that i am aware of that are samsung friendly  .
the cost of the phones are high depending on what you want , however it is still a savings as opposed to paying an extra $30  .
00 a month or so to get a cheaper phone from another network  .
for that reason i do not mind paying full price for a phone from metro  .
($30  .
00x12  $360  .
00 i am saving at least a few hundred a year with metro as opposed to another network even with the purchase of a smart phone)  .
if one travels too far from a major city , one cannot get service  .
i do not travel so i do not need to worry about that  .
if i decide to visit relatives that are out of zone i can always get a minute phone that will work where i go i love the free 411 feature  .
one can get directions or call a place of business directly , and that has been a lifesaver on a few occasions  .
not a feature i would pay extra for because i simply do not need to use it often enough , but it is very nice to be included in the plan just in case it is needed on the spot i most definitely recommend this product to most people , unless they travel a lot out of the coverage area .
if you got money to pay $120 for all the thing that i have for $ 50 god bless you i do not .
if you do not travel beyond your home area this is the best deal around  .
solid service from orlando to the coast  .
pricing that is absurdly low , and no commitment  .
this is everything the other companies should offer  .
call quality is as good as sprints and better than previous carrier t    mobile  .
phone cost will soon be recouped with the low monthly cost .
unlimited service  .
minutes text  .
pic text sms mms  .
web loc and long  .
i like it when i use their phones it is just fine the txt messages always get send and everything  .
i only wish i had changed over to metro pcs sooner so i could have saved a lot more money  .
i pay $55 per month after all the tax's and i get unlimited talk , im , picture messages and surf the web  .
metro pcs now has unlimited nation wide coverage  .
i'm a former cingular and sprint customer before i switched to metro (customer for 7 years)  .
for what i pay monthly ($50) i have internet , 411 , unlimited local and long distance , unlimited text and good coverage in my area  .
here is how to improve your experience with metro , buy nokia or motorola phones .
i love this company  .
i is at first frustrated that i could not get any live customer service representatives , but if you go through the process of automated system , you do get a live operator at the end , so i'm happy now concerning that  .
i would not want to give up this phone service ever  .
and having ended up screwing up other companies by going over the minute limit this company is so perfect for me  .
great crystal clear phone reception here too .
having had contracts with all the major co's for years i am happy to report i have three metros (1 razr    2 nokias) the bill for all three saves me hundreds of dollars a month  .
my plan has unlimited directory assistance too  .
once i recieved bills from att/ cingular of a thousand dollars and sprint for $800 i threw away all the expensive treos and others  .
i know if i lived in the middle of nowhere , this would not be the right co for me  .
i live in florida and get perfect reception  .
i vacationed to ca and got perfect reception in sanfrancisco , san jose and monterrey too  .
i save so much money with metro  .
for all these reasons i give it a ten  .
true to the team best possible explanation for metro pcs is the best .
you can choose the package that suits you  .
i get everything i need for one price with no limits on texting , emails , long distance , unlimited minutes  .
i get inernet , chat messaging , news , gps , and not charged extra  .
so , i think it is a no brainer  .
i know others who pay such high fees for contract phones and that is not alll they pay  .
they pay extra for all the fun stuff  .
so , i am completley happy .
so far , 4  .
5 stars  .
i signed up online    very easy process  .
my phone (which is $150 before rebates , and $70 after rebates) arrived in the mail within 2 business days  .
activation is very easy    a brief phone call to customer service  .
customer service in general is reasonably easy to reach , and they are quite helpful (i made three calls to them so far) i am paying $40 (sic  .
) for unlimited local and long    distance calls and texting    this is including taxes and miscellaneous charges  .
$40  .
their national network is quite extensive , but if i do go outside the network , i am warned that i am entering a roaming area , and then i have an option of paying something like 20 cents a minute for those of you who want a smartphone , their selection of those is small , and they do not have iphone or nexus so far , i love it  .
if anything goes wrong , i will be sure to post updates  .
i have no idea why people dislike them so much  .
) i highly recommend them  .
updated  .
on mar 26 , 2010  .
i bought the samsung code from metropcs after having an iphone for 2 years and i couldn't be more satisfied with the deal i'm getting  .
one of the major issues i had with the iphone is not being able to multitask  .
for example , i like to listen to pandora internet radio while i do other things such as writing emails or going through my calender , and i am able to do that with my code for much less money  .
plus with unlimited web i am able to watch videos on youtube , go on tweeter , facebook and myspace  .
for what i demand , metro the code are perfect for me  to the previous poster kbharris2 , first of all , you did not even review the product and you gave it 1 star , how does that make sense  .
second , it sounds to me like you are a disgruntled former employee trying to rig this review board with negative reviews  .
your theory might make sense if there were a lot of positive reviews , but for the most part , the reviews are negative which leads me to believe you might be trying to cover up what you have done  .
either way , your post sheds some light on explaining why the user reviews for metro on cnet  .
com are unusually low when compared to all the other online review sites  .
on all the other review sites metro always scores at least the same or higher than cricket boost mobile .
i've used sprint , at t (formerly cingular) , and now metro  .
all have their issues somewhere  .
i rarely travel , so having an inexpensive plan for my business is key  .
i've saved hundreds of dollars from my old plans on the other carriers  .
even with at t's new $60 play , i'm still saving money  .
customer service is the same with metro as it is with others  .
sprint's is decent , but at t's is awful  .
metro is way better than at t and close to on par with sprint no company is perfect , but if you do not travel outside your local area , metro is hard to beat  .
if you do travel , the metro will be frustrating  .
you get what you pay for  .
do your homework and get what's best for you .
i remember when metropcs first came out and i heard about how horrible they were i stayed away from them at the time i had verizon wireless  .
i used to work at circuit city and i remember a verizon wireless rep telling me how metro is actually using there toweres i figured i would give it a try it has been 2 years and lots of $$$ saved and i must say the service is excellant (cell service) the cost of buying a metro phone is identical to purchasing one from verizon ( don't beleive the media go and look yourself) and no contract on top of this you can actually bring your old phone from your carrier and metro will program it for you i don't think it gets any better then that no contract no phone to buy , great cell service (never had dropped calls) and less then half of what the other major carriers are charging if you do not travel out of state often and want good service but don't want to pay $130 a month for a single line then do not think twice  .
i pay 160 (including tax for 5 lines unlimited  .
with voicemail , caller id unlimited txt messaging  .
tell me if verizon or sprint can beat that  .
well this site needs to be updates why cause metro pcs has ptt now and has family plans now but other than that its good but not the best  .
for folks living in the metropcs market area it's a wonderful service  .
for their children it's a must have service  .
why  .
unlimited talking and texting for less than $50 monthly  .
on other vendors plans i've seen family's bills run over $1 , 000 so i tell them about metropcs , they're quite surprised with that knowledge  .
everyone with children that have cell phones i've mention metropcs to made the switch to metropcs saving money and family aggravation  .
service is excellent in their covered areas ; mine is atlanta metro area also now you may use your metropcs phone in the other metropcs areas at no extra cost because of the unlimited incoming/outgoing minutes most of my business associates use metropcs  .
one less headache not having to worry about minutes talked .
i love this service , it only sucks when i wish i had a cooler phone then my razr  .
they just got a phone with a qwerty pad recently though  .
i almost thought about going with verizon for unlimited $99/mo , but paying double what i pay now is not worth $600 (12mo x $50 more) a year .
imho , metropcs is the best cellular provider i have had , to date  .
i have previously used sprint , verizon , t    mobile , and cingular the great thing about metropcs is there is no contract , and no per    minute fees  .
you pay a flat rate each month , and get unlimited talk time and unlimited long distance adding sms and image email is $5  .
adding web browsing is another $5 (yeap , and no per minute/hour fee , either) the only reason i won't give a 10 is that metropcs does not support any smart phones  .
there is a hack for one of the windows mobile phones , though  .
the phones metropcs offers are good quality and comparable to other carriers .
metro pcs is an excellent cell carrier for anyone looking to stay within their budget  .
i travelled from fl to nj and had coverage almost the whole way  .
i also travelled from fl to nebraska and even though they aren't supposed to have coverage past georgia i had great reception in all the major cities  .
but lets face it , if you have money to travel all over the us , then you have the money and can afford to pay the $100+ a month it cost to have one of the major carriers  .
i got tired of paying 120$ a month for verizon and i did not have unlimited minutes with that plan  .
my phone has everything and more that my verizon phone had , well all except for the tv thing but who really watches tv on their cell phone  .
/ i pay a flat rate of 55$ a month (that includes taxes) and i have unlimited everything , contact back up , insurance on my phone and all the extras , caller id , call waiting updated  .
on oct 10 , 2010  .
great service for the price  .
no worrying about running over my minutes and no added fees  .
for unlimited plans , wal    mart and verizon have plans with wider coverage areas to consider if you travel a lot , but their software does not have the built in nav and traffic systems  .
i have recommended to others and they have been very happy with the service .
metro pcs is a good phone company for people that do not want contracts  .
for $40 a month you'll get unlimited nation wide calling , txting , web , and data  .
its a pretty good deal the only bad thing is the customer service  .
the coperate stores dont even answer there phone  .
good deal for the money if you live in a big city where coverage is not a problem i would recommend metro pcs  .
i love the service  .
if i is to listen or make a decision not to get metro pcs from all the bad stuff written here , i would not have bought this phone or try the service  .
always go to a metro pcs store , not dealership or whatever the customer service rep was excellent he is at the number 4 or 3register i think csra8079 hispanic i think too however , he is the best warm , friendly and although he is tired he gave excellent service to everyone  .
i went in there and watched everyone and he is the best  .
took the time out to listen to your concerns , answers questions truthfully  .
i have excellent reception  .
i live in ny and pretty much the reception is as good as tmobile or even better  .
while i is in the line to get my new service i realized that a lot of people do not understand your advertisement it needs to be more simplier or less ambigious  .
just say what the true prize of the phone is , not telling people oh you save such and such while they have to pay upfront the hugh cost  .
that is where i see the problem people might have or is having overall i have no complaints still getting use to my phone updated  .
on mar 11 , 2010  .
if coverage becomes available , i will be back in a minute  .
ive been reading some of the other reviews here , and im honestly surprised with all the folks who say they have lots of dropped calls etc  .
i have had maybe one or two calls ever dropped and it couldve been the other persons phone too , i am i nthe orlando area , my husband has the same plan as i do , my parents have metro as well  .
we have been pleased with everything from the beginning i love not ever worrying about minutes    overages etc , i just talk , text and internet as much as i want and our bill is always the same  .
my husband uses his phone for work and its been very reliable , he went to detroit and we went to georgia and had no reception problems at all the whole way  .
it works all over florida  .
people always assume its got sketchy service but that is not the case for us at all  .
we are not huge technophobes so we dont really mind just a basic phone with good service , that is what you get  .
i have to disagree with those that say you have to pay extra for text etc  .
,    you choose the price plan you want , and you can see from the beginning which features you get with that plan , just like a contract phone  .
the customer service isnt really all that bad , i called a few weeks ago to check on something and they were very polite and more than helpful with my problem  .
ive never had a big problem and that may be why some people are talking badly about the company , but all the people i know who have it , dont have any issues .
i wanted an adult smartphone (blackberry) , but will not sign up for some 2    3 year contract  .
been there , done that took the phone home and had no service without walking out in the front yard and sticking my thumb in my butt to get a signal  .
i tried boost mobile (because of the coverage area    sprint network) but their phones suck  .
when i saw metropcs is offering a blackberry on their unlimited plan , i is curious  .
although the initial cost is a whopper ($400 bucks to buy the blackberry) , i figured i'd take a chance  .
i bought it , activated it , and is amazed at the service  .
everything works  .
unlimited phone , e    mail (push , no less  .
) , fast web access , texting , gps , enterprise server , everything that makes the blackberry a blackberry , and all for $60 bucks a month  .
i have been all over florida , georgia and tennessee , and have always had service  .
in my home area (east central fl) , i very seldom drop below 5 bars , and have 3g service  .
all the bb stuff works i can go to crackberry  .
com and download ringtones , themes , apps and all the stuff available for the bb curve about 7 months after getting the bb , it got sick (corrupted files) which resulted in the bb randomly re    booting  .
i took it to the local metropcs dealer to see if they could re    load the os , and they said they'd simply give me a new bb for 3 bucks  .
apparently metro/bb warrants the phone for 1 year , no questions asked  .
i got my new bb , but the store tech monkey'd something up when transferring my account/data to the new phone  .
although the phone worked , the browser/e    mail suff didn't , and i didn't notice it untill i got home  .
instead of going back to the store , i though i'd try to use their reportedly crappy/non    existent phone support  .
i called , and immediately got a tech (american) on the line  .
when i explained that i had a blackberry , she switched me to their bb tech center in seattle  .
i spent about an hour on the phone with the metropcs bb tech    guy , who walked me completely through the programming of the phone , and even turned on some extra features that most bb users don't have  .
the guy is great i thought i is talking to bill gates  .
no scripted questions/answers , he knew what he is doing , and a really nice guy  .
he repeatedly apologized for the store tech and the trouble i is having  .
he even called me back the next day to make sure my bb is 100% , which it was bottom line i cannot speak to other phones and service offered by metropcs , but when it comes to the blackberry , you get excellent service and 100% of the features , with excellent coverage , all for $60 bucks a month and no contract  .
to me , it doesn't get better than that  .
i do not know why anybody that wants/needs a top    tier smartphone that's aimed at adults would waste their money on the big carriers , when metro does it all for so much less  .
