the navigon 2100 gps navigator is an exceptional unit for the money  .
it can be had for 70  .
00 usd (used) from amazon and retails for around 150 to 200 usd it's no frills menu is easy to read and use  .
there are plenty of settings that allow you to customize the 2100 to suit your needs  .
for the price , it gives you a lot more to customize than some similarly priced units i've seen  .
you can have this thing show almost any point of interest you want (schools , churches , restaurants , etc  .
) at no extra cost the graphics on the 2100 are great , too  .
streets are shown in yellow    white while the route is shown in bright orange  .
it shows lakes , ponds , creeks , and rivers  .
the night view can be adjusted for brightness and more realistic than tomtom's blue background)  .
the unit quickly recalculates your route if you decide to veer off or make a side stop  .
it can get a little nagging if you don't follow its directions , though (but they all do  .
) both my brother and sister    in    laws and my son all have varying versions of the tomtom and none of them work as well or look as good as the navigon its best feature is the text to speech  .
it doesn't just tell you to turn left or right , which with most gps units , can be too late (as a previous reviewer noted  .
) the navigon gives you plenty of time as well  .
it will tell you in x miles or feet to turn right or left onto xx street  .
then again just as you approach the turn  .
the real view feature is a great addition to its functionality because it shows a graphic of the interchange and tells you which ramp to take  .
it even shows a graphic of the green sign you might see on the highway  .
it shows the number of lanes and points to the one you need to take  .
it's great  .
the text to speech is a little quirky  .
it tries to pronounce names as they are written so sometimes a street name will come up funny sounding  .
and the computerized delivery is a little annoying but not enough to make a difference unless you're listening for it i am a little disappointed that you cannot change the voice so you're stuck with an american female it charges from a standard cigarette lighter really fast  .
the battery life seems a little short to me  .
it lasts about 3 hours on my unit  .
i do not know what the expected life is but my son's tomtom lasts almost 5 hours  .
leaving it plugged in is a tiny nuisance overall , i would rate the navigon 2100 gps navigator 10 out of 10  .
its superior , bright graphics and no frills operation is perfect given the total cost of this unit  .
for less than a comparable tomtom or garmin , plus a single cost lifetime traffic update service (that's less than tomtom's annual subscription fee) , the 2100 is a definite alternative  .
add the text to speech and the fact that it warns you long before your turn make this clearly the best gps out there updated  .
on jan 1 , 2009  .
i am retired ; i am on a fixed income ; and i am cheap  .
so , up until now i have used mapquest without any intention of buying a gps  .
staples had a sale on this unit , plus a rebate and i had a coupon , so my final price is $75 with free one day shipping to boot  .
before i purchased , i read all the reviews i could find and there is nothing i couldn't live with i am happy to say that i have had none of the problems or complaints that people who wrote negative reviews had , except as noted below  .
it may just be the luck of the draw when i first got the unit , i set it to the optimal route setting as is advised by several reviewers  .
with all the features and options , it is like playing with a toy whenever i use it  .
since i cannot say enough positive things about it in the space provided , i will focus on the few minor negative aspects identified in the cons section sometimes it takes a minute to pick up a signal and other times it can take several minutes  .
i usually turn the unit on ten minutes before leaving my house  .
it picks up the signal in the house before i get in the car  .
if i am leaving from another location i can sit and wait for the signal or start driving in the general direction i need to go and the gps gets me back on track when it gets signal before i've gone very far if you are on abc road and that road turns left at an intersection , and xyz road starts if you go straight across the intersection , there will be no voice prompt to tell you  .
it does show that the road turns on the map though  .
keep an eye on the map and this won't be a problem and if you don't it will reroute you correctly anyway i did not complain about the small letters or the volume because i mount it high on the windshield so the gps is above my rearview mirror close to my eyes and ears in actual use i found that when going to a restaurant in ny it wanted to take me a little out of my way by avoiding a shortcut i know  .
however , this may be intentional because the shortcut is winding with a 30 mph speed limit  .
on the other hand , it has found a shorter way to get to my daughter's house in nj  .
i originally got those directions from mapquest the other night i went to a concert in reading , pa and the highway signs told me to take the second exit 1/4 mile away for the arena  .
i is stuck in concert traffic moving about a tenth of a mile every five minutes and i is 1  .
3 miles away  .
however , the gps told me to get off at the first exit and it took me through traffic free streets  .
in a few minutes i is in the concert traffic again , but only  .
3 miles away  .
i got to the concert just as the warm up act started thanks to the gps  .
on the way home , though , i is on a state highway and is told to make a left onto a ramp which was not there  .
then , when i continued straight , the road i is on disappeared from the map  .
it looked like i had become an off road vehicle  .
but i is going in the right general direction and continued  .
after about 5 minutes of driving on the missing highway and constant recalculating of the gps , it finally found me and rerouted me  .
i got home only 1 or 2 minutes later than i would have so , why did i rate the navigon 2100 so highly  .
the purpose of a gps is to get you from point a to point b and it does that at a fantastic price and includes many bells and whistles found on much more expensive units  .
its faults are too minor to consider in the rating .
i own a garmin nuvi , and tom tom along with the navigon 2100 and the navigon 2100 kicks them out of the water  .
i live in la so if you are going to make a lane change you need to know about it more than 20 feet ahead  .
the garmin nuvi is horrible on this feature , it only displays the next turn on the screen and often let's me know that i need to go in the left lane or exit left when its already way to late to make the change  .
also , navigon has reality view so when you need to change lanes on the freeway or exit to another freeway , you see all the lanes along with an arrow of which to follow  .
this feature is great as the garmin and tom tom often have a different name for the off ramp or freeway than the overhead road signs display  .
also the tom tom and garmin always tell you to take the north or south ramp (in cases where there is one exit and then a split for north or south) after its too late and you have already had to choose a lane  .
this never happens with the navigon because you see the actual lanes on the screen with the road sign recreated overhead and an arrow pointing out the right lane  .
the navigon is so great with its on screen written directions and reality view graphics that i can drive with the stereo blasting because i don't even need to listen to the voice directions  .
the navigon 2100 also says street names  .
map updates are much cheaper for the navigon than for garmin or tom tom  .
moreover , you pay 75    90 for life time traffic  .
garmin and tom tom charge that every year  .
in sum , the navigon is the best gps on the market today  .
its cheap because they do not waste your money giving you mp3s and picuture storeage feature (who would use a gps to store pictures and music    garmin and the cnet reviewers seem to think people will    nerds of a feather i guess)  .
i travel a lot and have to use the garmin and magellen gps at avis and hertz respectively  .
these also suck  .
they are so bad and so late with turns that i am buying another navigon for travel  .
10 out of 10 navigon 2100  .
i also have a high end garmin gps and bought this unit for my wife who also travels  .
i bought it largely because of it's compact size  .
i have tested this unit quite intensively and would have to fabricate a negative comment  .
it does everything , and more , that my garmin does .
i have used tom tom , garmin , navman and i still have my old medion work horse but for value for money and the range of features and updates you get with th 2100 i don't think there is much to beat it  .
i am uk based and it has no problems with updating route changes or fast turn a round on new routes online stuff via fresh is great and hassle free  .
anyone having problems is either very unlucky and has a bad one or you haven't read the instructions at around �87 ( $128 approx) you wo not buy better for the price .
this is the 2nd best selling gps car navigator in february  .
the quality of the map display with it's reality view is it's best feature  .
as a complex intersection is reached the display changes from 2d/3d to reality view  .
this produces a more life like representation of the intersection including the wording on the overhead signs  .
where available it can display the speed limit in the style of the country it's used in the turn indicator shows not only which direction the next turn is , but what the intersection looks like  .
within one half mile it shows an approach distance indicator showing precisely where to make the turn spoken directions are provided at varying distances to a turn based on speed  .
at highway speed at 2 miles the first spoken advice is in 2 miles bear right onto interstate 95 for example  .
the navigon pronounces the street names  .
after a couple of more warnings at the precise point of turning it announces , now bear right onto interstate 95  .
it's hard to miss a turn the unit offers three route modes , fastest , shortest and optimal  .
it also has a bypass feature for road blockages allowing different distances for re    routing  .
it recalculates the route quickly when the driver takes a wrong turn there are seven pages of basic setup options and additional settings for route options including whether car , bicycle or walking routing it has a feature to automatically vary the speaker volume based on the noise in the automobile  .
i had mine set to the lowest volume it has different brightness settings for day and night  .
both have variable brightness  .
day/night is changed almost instantly from a menu that is displayed by touching the screen when in navigation mode the navigon features points of interest with brand named graphics  .
i is very amused by the mcdonald and amoco symbols (and others)  .
the poi search feature works perfectly and can be used to find poi along the route with ease  .
it displays the distance to that poi and quickly routes to it  .
i used the poi near my position function to find a fuel station with diesel for my car i used the search near a city feature to find a hotel and make reservations from over 100 miles away  .
it routed me directly to the hotel the 2100 has a built in traffic receiver  .
i do not need this feature and did not use it  .
the traffic service is an optional extra  .
