old school basics still apply in the digital world  .
use the lowest possible iso to get the job done  .
i do not ever remember in the film world being happy with any picture taken with the best of film over iso 200  .
the same still applies in the digital world and i've seen problems with every brand of camera over iso 200  .
with digital you have the advantage of getting great software to hide the flaws of pictures over iso 200 i have tried every super zoom camera in the same price range as the nikon and the nikon has been the most over all impressive to me  .
it's a durable camera that is designed to be easy to use  .
software version 1  .
1 solved most of the slow problems with this camera and it's right on target with every other brand  .
it seems to have less distortion at 18x than most other brands and wow the colors are great  .
if you are looking for a camera that will work good most of the time in a wide range of areas this should do very good for you .
nikon p80 cost about $400  .
00 there is no better camera in the world for this price  .
and please all other reviewers  .
when you right about camera please mention what lenses are you using  .
thanks  .
i have not used slr cameras , but if i must compare to point    and    shoot i have owned , this camera is amazing  .
vr works perfect even at maximal zoom  .
images are clear and with natural colors  .
it's compact and not expensive compared to what you get  .
pictures are noisy at high isos , but there is wonderful possibility to limit iso range  .
i have made many wonderful pictures and i'm very satisfied with this camera  .
recommend this camera to everybody who wants more than simple point'n'shoot , but not ready for slr .
i'm no professional by any means , but i love this camera  .
it goes way beyond your average point and shoot digital  .
i get great photos in less than stellar lighting conditions (my main concern in a digital cameral)  .
i didn't want the cumbersome weight/size of an slr , and granted , this is a bit larger and heavier than your average drop    in    your    pocket digital , but it's worth it  .
video is also great compared to other digitals i've owned  .
for the non    professional who wants more from a digital camera , this is the answer  .
only reason i did not give it a 10 is i'm not sure what perfect actually is , but this is as close to it as i can imagine .
i think this is a great camera for the money  .
in good lighting it takes amazing photos  .
at night , when using higher iso , it may get noisy depending on how high you go .
i finally upgraded my olympus 4 mega pixel 10x zoom camera  .
i really like olympus cameras and have purchased several lately for gifts (compact 6    7 mega pixels)  .
so when it came time to upgrade my 10x zoom , i expected to get another olympus  .
but after reading reviews and checking out the pros and cons , i opted for this nikon p80 and am very satisfied  .
the zoom factor for a camera in this price range is far more than expected and the quality has been excellent  .
i have not tried all the features yet , but so far , so great  .
i would highly recommend this camera .
i have had this camera for 2 days now , and i could be happier  .
it beats the canon s3 is and s5 is , the olympus sp 560 and 570 , and the panasonic fz18  .
i have done extensive research on all of these models , and tried them all at a store  .
i took a gamble and went with this new nikon model and i love the speed , picture quality , and the super fast zoom lens  .
the vr is extremely effective when i am taking pictures of my kids in their sports leagues  .
i cannot put this camera down  .
i love this camera  .
my children bought it for me for christmas , 2008  .
after 3 mos , it exhibited problems       i'd turn it on , the lens comes out , snaps a picture , afterwhich none of the buttons work  .
if i turn it off/back on again , same thing  .
i get some great pictures this way , but i cannot use the zoom , which is why i wanted the camera  .
it ended up fixing itself and worked well until last month , same problem  .
now looking for someone who can repair because it does not seem to be fixing itself this time when i had full functionally       loved it  .
the sports mode captured some great shots of my granddaughter swimming in swim meets and of my grandson playing basketball  .
with the zoom , i also got some great shots of the full moon .
most of the negative comments i have read about this camera were either from people who normally review dslr cameras or did not take the time to properly adjust the setting options of the camera  .
the consistent complaint is that there is a lot of noise on high iso settings , but i have not taken photos yet that had a high iso setting .
i wanted a compact camera with super    telephoto and slr features that i could always have with me  .
my d70 with all its lenses and accessories isnt always practical  .
i wanted the ability to shoot video too  .
on the first day of use i shot a couple of portraits of two of my grandchildren that were just amazing  .
i have had the camera for about 2 weeks now and am fairly familiar with it  .
there are still a few features that i need some more practice with , but my favorite feature is the preprogrammed scene modes  .
if you are looking for a camera that will do most everything well , check this one out  .
i would highly recommend that you get an extra battery if you plan to do lots of shooting especially with the speedlight (flash  .
) it wont replace my d70 , but since i will always have a quality camera with me i wont miss that shot either .
i think the expert review on this web site is actually fairly accurate and well    balanced , and frankly better than most of the other expert reviews on this camera  .
a lot of people coming from digital slr's have posted reviews on the web that criticize this camera because of its relative lack of speed and somewhat noisy images , but it is a little bit ridiculous to compare any of the so    called ultra zooms to any digital slr on those points  .
admittedly , the camera could be faster , and i have disabled iso above 200 because it is frankly virtually unusable  .
it bugs me that they do not allow you the in    camera editing features on full    size images , which seems to defeat the whole purpose of being able to do red    eye correction , image cropping and other editing tools within the camera itself on the other hand , the cameras feature set is so intuitive that i is able to access virtually every feature without consulting the manual  .
people need to remember that ultra zooms as a class are always going to have some fairly significant intrinsic trade    offs between absolute image quality and flexibility of being able to go from wide    angle and fairly extreme zoom ranges without having the inconvenience of switching lenses and without the enormous bulk of a digital slr and two (very expensive  .
) large lens kits  .
i do think nikon probably should have done a better job making the camera a bit more responsive , as it just takes too long sometimes to get a shot off  .
and i'm completely baffled as to why they included editing features that you cannot use most of the time  .
however i have to say that the images that i have gotten so far have been consistently good to excellent including some very fine macro images , an area where nikon has always excelled  .
if you keep some of these trade    offs in mind , and you're not looking for digital slr levels of performance and low noise at higher iso speeds , this camera will not to be a disappointment (snooty reviews on the web to the contrary)  .
it packs a lot in a very small container , and frankly gives you a lot for your money .
got the first one at best buy and after 2 weeks it started displaying white streaks on the vu    finder  .
returned it and got a replacement from best buy , no questions asked  .
the replacement has worked great with no problems  .
