i purchased this in november 2009 and have enjoyed its usefulness for almost a year  .
i purchased the panasonic 65 inch viera plasma simultaneously  .
went with the samsung strictly for the netflix  .
forget the wifi toggle  .
i simply plugged in the ethernet and have never looked back  .
the kids watch netflix movies instantly as daddy downloads them at my discretion  .
download times for a netflix movie is buffering in less than a minute and no pauses throughout  .
love pandora , sounds great over the klipsch and baby advent speakers  .
i could care less about the flip down door  .
they evidently cared more about sleek looks than one more step to get your dvd in the tray .
bought panasonic dmp bd    60    good picture and up    convert , but crashed on firmware upgrade  .
despite reviews , decided to replace the bd    60 with the bd    p1600 , and couldn't be more satisfied  .
up    convert better than the bd    60 , blu    ray quality superb , internet hookup no problem , do not need a roku box with to access to netflix , pandora and youtube  .
though i tend to be pretty critical of my purchases , cannot find any real faults with this product       highly recommend  .
its an awesome bluray player with amazing features , great picture , and very easy to use  .
get it  .
you'll love it .
samsung has hit the bull  .
s eye with the bd    p1600 blu    ray disc player  .
this is a power packed blu    ray player with features most blu    ray players are lacking like bd    live 2  .
0 and the ability to stream digital audio video content (netflix , pandora , blockbuster and youtube) into your home via the internet  .
the picture quality is also amazing and i believe this player outperforms anything near it  .
s price point .
this is my first blu ray player and it operates beautifully  .
very happy with the load times and general aesthetics of the front panel design .
replaced a sony bdp    s300 with the 1600  .
i'm very pleased with the picture quality and the speed of operation  .
netflix streaming is a great feature  .
some others have reported playback problems on certain discs but i've yet to encounter one that wo not play .
i must be one of the only ones who hasn't had a problem with this player  .
they really did not need the flip down design , and i love how it works with my samsung tv  .
i got the wireless dongle (only can use a samsung one) and the updates and streaming work fine  .
i think if i had a faster internet connection it'd be flawless .
i would highly recommend this product if 1  .
you dont mind wire laying on the ground / being traced to box away from your router or you dont mind shelling over $80 for a usb dongle  .
but other than the wireless thing i frickin love it .
works great  .
i noticed that many users reported problems right away  .
maybe samsung had some manufacturing issues that they fixed by the time i got mine  .
too bad you cannot get blu    ray streaming from netflix  .
i suppose it requires too much bandwidth  .
blu    ray is such a great picture and this player does what it's supposed to do   play blu    ray movies well  .
i hardwired the network and have had no problems with streaming netflix or pandora or youtube    great feature that is not offered on most other players  .
my only complaint is the proprietary dongle  .
maybe there is a good reason , technically for this , but you can get a wireless dongle a lot cheaper than samsung's  .
in a way it worked out well for me because it forced me to run cat 5 wire and get a faster , more stable connection  .
with a nice hdtv and blu    ray player , i'm ready to settle in for the future .
i is an early adopter of hd    dvd (i know , i know ) and is disappointed at the loss of the format war  .
it is a while before i decided to dive into the blu    ray format , however  .
it is this player's ability to stream via the internet that sealed the deal for me i have one (count 'em) blu    ray disc , as the lion's share of my time using this player is for streaming via netflix (primarily) or pandora the player's load time (especially when compared to hd    dvd players) is absolutely outstanding  .
it's nice not having to watch paint dry while media loads i actually like the hinged front panel , as my grandkids are now less likely to play with buttons and smear peanut butter on the player i highly recommend the bd    p1600  .
this is the best value out there for the money and samsung is committed to bringing more technologies to this player as the become available  .
already they have added blockbuster online  .
this is well worth it  .
do not forget to spring for a $4  .
95 usb memory stick as you will need it for the bdlive functionality  .
a 1gb does fine .
i bought this for $56 bucks at best buy  .
idiots that bought it for 200$ , it is an electronic device that will be obsolete in 6 months get the picture  .
seriously , the flip down bar in front is not a problem for those who really care get your maids to put in your movies  .
i saw one person say its a hazard because it gets to hot not like any hdtv with 4 million wires doesn't get hot or anything it does not get hot  .
then people give bad ratings because of the 90 day warranty and there product died on the 95th day for the last 10 years with the market of electronics going the way it is , its just as reliable as the gm making cars , they die and then make something cheaper the next year  .
its a good player that does the job , for those that overpaid , your idiots , and stop giving bad ratings because of minor defects that may or may not have an effect with the player .
i purchased a bd    p1590 from sam's club for approx $180 after getting researching on    line reviews and comparing to the bd    p1600 (about the same)  .
i connected to a samsung ln    t4669f 46 lcd via hdmi cable , but had difficulty with the allnet+ after trying for about 10min it finally connected  .
i loaded a regular dvd and during previews it froze  .
removed and tried again but this time it couldn't read the disk  .
the display read close  .
i called customer service and they wanted me to send it back for repair  .
i decided to return for another unit figuring if the second one is bad , i'll try a different brand  .
no problem with the exchange from sam's club the second unit connected immediately without any problems whatsoever  .
the initial screen listed all 4 options ; blu ray , netflix , pandora youtube  .
(the first unit only showed netflix pandora)  .
i then inserted a regular dvd (same as before    across the universe)  .
the previews ran perfectly and the movie played flawlessly  .
i then played with it by stopping , ejecting , resuming searching , etc  .
with no problems  .
i tried another movie , again no problems  .
powered off unit and it immediately switched to the tv as it is supposed to  .
a few days later we watched a bluray movie , night of the museum  .
it is superb , absolutely the way it is intended to be viewed , clear , precise , enjoyable  .
actually it is unbelievably perfect  .
i am very satisfied with this unit so far  .
i've had it for a few weeks and it's used practically everyday by my daughter who's a movie nut  .
she said it's definitely an improvement from our old dvd player i'm aware that samsung's customer service has many complaints by dissatified consumers but i preferred to get a samsung player to minimize the remote controls  .
however , now that i am familiar with the features of both tv and bluray player , both controls are somtimes needed because the disc player cannot control all of the features from the tv and vice versa  .
so don't plan to put away the tv control permanently  .
on that note , brand loyalty goes out the window which helps me decide on the complimenting audio system ; definitely not samsung it appears that the first player purchased is defective but the second (replacement) player is good  .
this happens , as i recently experienced the same problem with a bluetooth notebook mouse  .
i don't feel i've spent a lot of money for this player , comparatively speaking , so for my purposes it fits our needs and does what it's designed to do  .
i recommend this unit but if the first unit seems goofy or does not operate well , give it a 2nd chance  .
but be sure to purchase it from a place where you can return it .
i recommend this player to anybody who wants a very reliable  .
well built player .
the 1600 has a small foot print  .
it's a stripped down modle that left out all the extra stuff i do not need , never use and never will  .
but you can add them on later if you want  .
all around perfect bd for the price and features  .
if you use netflix this bd is a must have , plus if you like endless comercial free cystal clear music pandora is it .
i is a little hesitant about purchasing this player  .
after reading the reviews i felt i is taking a risk buying it  .
i purchased it with geek squad insurance and for $20 i felt a little better about the purchase  .
i set it up with an ethernet cable from my wireless router to bypass some of the problems people were having with wireless hookup  .
i also have not updated the firmware but will wait to see if all the bugs get worked out of the current firmware updates  .
the set up for netflix and pandora is easy and work great  .
any problems that i had is with the wireless router and not the player  .
i paid $149 for this player and for the price and what it does i feel like it is a good purchase .
good price , good features , a little concerned about some issues documented on the various forums  .
wished they would activate pc streaming  .
i hope this bottom line player continues to improve by firmware  .
solving issues by customers , i really like the features included with this player  .
go out shopping for similar good luck .
bought this a few days ago , with concerns about what other members said  .
however , it connected to the internet fine  .
non    tekkies who do not upgrade the firmware by usb before connecting to the net for the first time may have a problem  .
since i used flash usb it worked fine  .
my old dvd's play well , and new dvd's work fine also  .
netflix streaming works well , but interface is not as refined as on insignia  .
i had bought an insignia based on quality concerns of samsung , but had to return it as a few different machines refused to play my old dvds  .
samsung does not show same symptons  .
i did spend $20 for 2 year geek service on this unit , which seems well worth it after many negative quality reviews shown here  .
pandora works well  .
you tube on tv seems a waste of time , as input interface is poor my last samsung dvd player still worked , but i wanted netflix capability , and @ $120 plus geek $20 , i am happy with this player  .
the product is a great product , and i love that the remote works with my samsung tv  .
the image quality is crisp , clear , and concise  .
however , the firmware network updates do not always function well  .
the last couple of times i have had to update from the usb drive as wifi is slow to inoperable  .
while it will function off a wireless g router , i'd recommend upgrading to a wireless n router  .
the fact that it has a flip down face plate can be bothersome as you must have a usb stick plugged in to access all bd content and the second usb port in the back will most likely be occupied with the wifi adapter  .
however , you can purchase a usb hub and plug it into the back usb port  .
this will allow you to plug the wifi stick and memory stick off of one port  .
this makes for a much nicer appearance and an overall cleaner machine  .
i would not recommend it for people that are not computer savvy as firmware updates can be a pain the ass , and if done incorrectly will damage your unit  .
however , overall i'm quite satisfied with it .
i would really like to know if the cnet reviewer actually used this blu    ray player  .
his complaint is the flip down panel , this complaint is not even a real one  .
yes you can manual use your hand to flip the panel up and down  .
however you can use the remote and press the open/close button and the flip panel comes down as the disc drive comes out  .
after you place the move in the disc tray , you walk back to your sofa , press the open/close button and the disc tray goes back in , and the flip panel closes with it  .
i found this out the very first time i used it to play a movie , making the flip panel complaint to me ridiculous  .
i used to trust cnet reviews but when something this little is their biggest complaint when really there is nothing to complain about when it comes to that is just wow updated  .
on may 19 , 2009  .
i recommend this to all folks looking for a nice blu ray  .
with additional features like netflix and amazon streaming these players should stay at the forefront , propelling blu ray to stay alive and well (imo) .
make no mistake , samsung's p1600 blu    ray player is the best entry level player you will find on the market  .
the bells and whistles on the p1600 raises the bar on what a consumer should expect for under $300 features    .
samsung has stepped up to the plate and hit a home    run with the p1600  .
netflix movie streaming is an amazing technology and the content is growing every week  .
pandora is the best free music service on the planet  .
if you have never used it , you need to check it out  .
both features alone make this product difficult to compete with on a feature to feature basis  .
the only reason to purchase the p3600 is if you need wifi ready out of the box , analog 7  .
1 surround , and/or the 1gb memory for bd    live (profile 2  .
0) blu    ray video/audio impressions    .
since i bought this player i have enjoyed watching slumdog millionaire , indiana jones , and changeling in blu    ray format  .
all loaded quickly , the picture is amazing , the colors were vibrant , and the images were crisp and detailed  .
i have no complaints as for audio i have an older denon av receiver so i have found that running the audio bitstream (audiophile) setting works best for me  .
the standard bitstream setting lowered the audio quality to a dissatisfactory level of performance the standard bitstream setting allows for secondary audio playback , i  .
director's commentary but lowers the audio quality which is very noticeable dvd video/audio impressions  .
compared to my older panasonic dmp30 , the p1600 comes up short  .
dvd's do not look great but they are watchable  .
the colors are muted and it looks as if there is a film over the screen blurring the image  .
audio is great as well although i did notice some audio hick    ups when listening to audio through the hdmi cable connected to my television overall this is a great blu    ray player with great features  .
netflix and pandora features are great added value  .
if you are in the market for a blu    ray player for under $300 you will not find a better player .
great player for the price with it's extra features (netflix streaming)  .
i would recommend this for anyone looking for the bang for the buck .
when streaming any hd program that's available in hi    def through netflix , it's sharp and crisp  .
my room mate came in while i is watching heroes in hd and he said that it looked better than when he streamed it through his xbox 360  .
pandora is like tivo in the sense that it predicts what you want to hear after you enter in bands that you like online  .
granted it's sometimes wrong , but all you have to do it hit thumbs down and it'll stop play on that song never to be heard again and skip to the next one  .
the main reason you buy a blu    ray player however is it's blu    ray capabilities  .
as i learned with my last blu    ray player (a sony bdp    s560) not all players are created equal  .
it's blu    ray playback is so terrible i sold it  .
now i have this one and am absolutely pleased with it's playback  .
when watching star trek it looked like i is looking at the uss enterprise through a window  .
sharp  .
precise  .
spectacular cons   the dvd upconvert abilities are not as great however  .
not terrible , definitely watchable but not as good as a standalone upconvert dvd player  .
the youtube thing is neat but the letter entry is tiring , it's basically like writing a text message via your remote  .
(you have to press the number2 , 3 times to get the letter c  .
the front flap is not an issue at all  .
all in all this is a great player that i'd happily recommend to a friend .
(read further for where to find the wireless card for $30) i bought this blu    ray player for my parents on a whim while i is shopping at fry's  .
i is impressed by the features and especially it's wi    fi capability combined with netflix and pandora fast    forward to getting all the way home and opening the box to find that i needed a special usb wireless card from samsung that costs $80  .
bogus  .
not very happy about this as it is definitely not clear on the box or in the store  .
