this is my second samsung tv  .
my first and the one i replaced with this one is a big pnb58560 a nice tv with a nice picture but this 8500 blows it away so i dont miss the extra 3  .
in response to a previous post , the bezel on that tv did start internally cracking  .
i suspect it is the huge amount of heat that plasma thru off (very hot)  .
the samsung customer service is excellent new bezel ordered and is replaced by a tech  .
with in 10 days  .
samsung has acknowledged the problem , but are in no way looking to correct it  .
i hope it does not occur on my 8500 bezel , but as led's run cooler it should not be a problem  .
as i mentioned previously the picture on this tv can render some hd material look to real  .
the speakers are terrible , but except for my sony klv    40zx1m and previous pioneer pdp    50    60hd no flat panel does  .
i sold my samsung plasma and is waiting on a new sony nx800 or new 7000 samsung 3d when i stumbled into abc warehouse in canton , mi and is stunned to find this tv for sale for $1880  .
00 dollars yep bought it on the spot  .
and glad i did this is by far the best tv i have ever seen or owned  .
i what a great deal  .
if you can find one buy it , who wants to watch tv with glasses anyways  .
(3d) great customer service  .
best picture , great for bright room and better picture with deeper blacks then my pioneer plasma ( sorry pioneer kuro worshipers) .
the picture just blew us away right out of the box especially for us coming from 9 yr old sony lcd  .
we thought the tv is easy to set up right out of the box  .
in less than 2 hours we had it hooked up through the receiver , had the blu ray player , and wii all ready to go  .
the menu is very easy to use and the basic setting are easy to scroll through and change  .
now that we have had it for a week i would like to get into really setting the tv up but this where we/i will need some help  .
the only minor thing i can think of is w/ the wii and the pq not being so great but i am sure there is a game mode somewhere to help that out  .
if you go direct to the tv the wii pq is fine but then no surround sound but if i go through the receiver the pq becomes fuzzy  .
other than that i cannot imagine finding a better tv out there right now unless you are just made of money and a complete av expert i will post back after we have had it for a while to see how it does over w/ more use and better calibration  .
bottom line i researched these hdtv's for months and finally decided on the samsung b8500 led  .
i decided that it is worth the extra money , and the 55 inch screen is the best choice  .
i hooked it up the day before the superbowl and watched my first football game in super hd  .
what a treat for a big football fan , who has visited new orleans many times  .
next to my car , this is the best purchase choice i have ever made .
you will not be dissatisfied with this product  .
this is on the top of my list after reading cnet and other reviews  .
without telling my wife the model number but telling her the price range with this tv at the high end she said that there is no way we could spend more than half what this model cost  .
we went to best    buy and window shopped  .
she kept coming back to this model and is totally bedazzled by how much better the picture is on this unit even when i set the video mode to standard from the show room dynamic setting  .
we concluded that , despite this model being very pricey , that we would bite    the    bullet and go with what is clearly the best picture quality after two month we had a gray horizontal band appear on the screen  .
it took samsung less than two weeks to have a replacement screen shipped and installed under warranty at my house by their local technician .
the picture on this television is as amazing as advertised , and it's by far the clearest picture that i've personally ever seen  .
the blacks are deep , the colors are true and vibrant , and the images are crisp and nearly 3d    esque before i bought this television , i'd read reviews that the picture has poor off    angle viewing  .
perhaps my eyes aren't as keen as the experts' , but i totally disagree with that  .
i've had the television for two weeks , and i've watched the television at several different angles  .
i've specifically looked for a dropoff in quality at off angles , and i have not noticed any material difference  .
so , i'm not sure what they're talking about my only gripe about this television (if you could really call it that) is that the speakers are pretty average  .
and , when you're looking at a totally amazing picture with mediocre sound , the mediocre sound stands out and is pretty distracting  .
so , we paid another $600 for an external speaker system (bose cinemate series ii) to complement the tv       and at that point , the total cost is pretty nauseating .
find , buy it  .
we like the slim line and the fact that it can be mounted onto the wall with the flat brackets the quality and sound is fantastic .
out of the other three tvs i've owned , (the others being an aquos and kuros) i like this one the best  .
i use a kuros in the bedroom , but actually prefer the bright color pop of the b8500 , sometimes (especially during the day) the kuros just looks dull  .
i'm also an avid gamer and this tv comes with a game mode (which really doesn't need to be tweaked too much) and really brings out the artistry in the games  .
pair with blurays , widgets , amazing features , easy to use menus , this is one hell of a tv  .
as a videophile i highly recommend it  .
if you are picky about your set and do not know too much about how to set it right , just look for an isf calibrator in your area  .
this is an expensive tv and should be viewed at its highest potential to get the most of out it .
very happy with it , stunning picture quality , most beautiful tv image i've ever seen anywhere  .
i think the local dimming led is a significant advance in tv quality .
much better than my sony xbr9  .
picture details impressive with the best blacks i have seen  .
this is my first samsung    no more sony  .
i will have to follow    up with update as i experience this tv more .
i've had this tv for 6 weeks now and owned an older samsung 61in dlp  .
yes , this picture blows the dlp away  .
i haven't had any problems with it so far  .
no blooming , patches , capacitor problems    nada  .
i is surprised on the pic out of the box  .
followed internet advised settings and not bad at all  .
going to have it isf calibrated  .
did it to my dlp and never had to adjust anything on any input ever  .
well worth the money no matter what anyone says  .
just do it  .
other reviewers talk about the soap opera type pic and to be honest , it's kind of cool  .
not quite 3d but so lifelike  .
the only problem is it's sporatic  .
one or two scenes will have it and then the next ones won't  .
kind of wish it is either/or all the time so i could get used to one or the other  .
blu ray pics are unreal  .
my son    in    law bought the first year led edge lit samsung 40in for $5k and just saw mine  .
he is pissed  .
i is happy  .
0) looking on line now , you cannot get these for less than $5500  .
got mine at bb for $3k  .
i still go to bb and magnolia to compare and to my eye , even the new tv's don't have the same quality  .
anyway , i'm way happy with this tv  .
just hope i do not have any of the negative experiences with it others have had  .
so far so good .
i could go on for 5000 words but i don't have too  .
from the time you turn it on and adjust the settings you will say omg  .
it is a joy to use very simple and straight foward in the menu's and settings  .
you should have at least 5  .
1 pushing 1800 watts to really pull this into it's realm  .
the one thing that might give some trouble is actually finding one , they seem to be scarce i had to travel 150 miles one way to find the one i have , but after i got it running it is well worth the trip  .
go for it , do not hesitate do it you'll not regret it .
one of the best sets that i have dealt with  .
albeit expensive , it is well worth the investment if you are an image quality nut and afraid of the joys of plasma please take the time to calibrate the set to get the most out of it  .
either pay a pro for best results , or use a set up disc  .
this set looks great on and off .
i'm sure it's a quality high end hdtv but the cost is prohibitive  .
vizio makes a 55 inch led baclight machine for less than  .
half the price of the un55b8500 .
this is the nicest lcd tv i have ever seen  .
i recently purchased this tv and have been very impressed with it  .
the blacks are incredible and the colors are lifelike  .
the think design is impressive but the picture quality is what really takes the cake  .
one warning  .
this tv is very reflective  .
if you have windows that face your tv you need to make sure you can block out any light coming in or you will see reflections that can be distracting  .
overall though a real winner and the best lcd to date updated  .
on feb 12 , 2010  .
user frendly memu  .
easy to set up .
we have had this tv for more than 2 weeks now  .
soon after we hooked up the tv , we noticed 2 medium sized shadow patches on the screen  .
so , we called samsung support and they arranged for an in    home visit by a local service company  .
i is very impressed by how quickly my call is answered (i believe by an american representative) ; virtually no wait time  .
the local service technician came over within 2 days and ordered some parts that needed to be replaced  .
the part replacement is scheduled within the next 5 days  .
actually the whole panel needed to be repplaced  .
after panel replacement , the tv just works great  .
