para los que buscan el mejor negocio , de un fabricante de reputacion sinceramente lo puedo recomendar .
this mp3 player is the best i've owned for what is was made to do and that's why i rated it 10  .
the picture quality did not quite make it , compared to my 8gb insignia pilot (2  .
4 in screen) , but it's still okay  .
also unlike the insignia , i'm not afraid of breaking this mp3 player  .
it's built sturdy and strong  .
i totally recommend this mp3 player to you .
sorry cnet , you missed the target on your review  .
i am an audio technician/sound engineer , so i hope my opinion helps those looking for the most bang for the buck first off , through the included headphones out the window , they are worthless  .
not uncommon in this price range  .
grab a decent pair right from the start  .
i recomnemd jvc ha    fx33  .
the have soft foam rubber inserts that fit and stay put  .
the sound competes with bose earbuds , which i have in my studio , and cost more than they were worth the features of this little player are fantastic  .
yes , it does support album art  .
seems many reviewers don't realize this for some strange reason  .
the eq has presets , but better yet , it has a custom setting for getting the sound just right  .
perfect for serious listeners playlist support , listing by groups , such as artist , song , etc , make it simple to use  .
the screen is plenty bright and easy to read  .
let's face it , screens this small are not good for viewing photos , i do not care what brand you buy  .
what it is good for , is easy to read menus and album art the fm radio works well , and has presets  .
it records from the radio if desired  .
the built in mike records voice  .
the built in rechargable battery charges when it is connectred to a usb port  .
works for 15 hours on a single charge  .
there is an external memory card slot for mini sd cards i love this little player , and use it often  .
i own a music studio with over 200 , 000 dollars of audio equipment , and i chose this little player for personal iistening , after trying about 20 different players , from the cheapest to the most expensive  .
this is my recommended player mike shillow  .
bigmike studios  .
lincoln , ne  .
i thought this mp3 player is perfect for me  .
many features for the price  .
better than new ipod shuffle for less price  .
it has a screen , which is what i wanted  .
if i wanted a larger , more clear screen , to play videos , i would have bought a higher priced mp3 player  .
i got just what i wanted in this player , something to play music with a screen .
i love this mp3 player  .
it plays well and even supports anr headsets  .
light weight and inconspicuous  .
it's nice to find a product that doesn't draw attention to itself making you a target for theives this mp3 player is definitely worth the price  .
my only gripe is , it is easily scratched and there are not many accessories such as sleeve available for it yet .
startup like anything takes a few seconds and depending on the memcard size can take a few extra  .
what is the cnet reveiwer smoking when rating this  .
why should i pay twice as much for an ipod tha doesn't have nearly have the fetures  .
the battery life is outstanding as well  .
i've forgot to turn it off a few times and used only half the life in just under 24hrs  .
can ipod users say the same  .
my bother has an ipod and it does not hold a charge as well with the c240 you have a voice recorderor can recode fm  .
make a playlist of songs you listen to more often on the unit  .
sure be nice to videos but can wait til get home to watch them  .
comes with usb cable and sansa media converter  .
uses windows media player to transfer  .
took me approx 2 minutes to fill with 196 (mp3) songs depending on size (wma will allow more storage  .
this player deserves respect  .
i use it in my car along w/ a tape adapter  .
it's easy to switch to the next song with out taking my eyes off the road  .
it's small enough to slide into my jean pocket and go for a walk  .
the storage capacity is expandable by adding a micro sd card  .
it's easy to preset favorite fm stations w/ the digital tuner  .
this is a great device for music but the small screen makes it impracticable as a photo viewer .
the fm tuner is great  .
i work in a cold storage area and the tuner gets reception evenwhere my samsung sync with 3g wo not sound quality is really good many levels of volume control with a normal and high feature  .
compact size is small but not oh how cute the one gig is not bad the expandable sdmicro is sweet if you want a no fuss mp3 player to listen to music you found it .
this little mp3 is great  .
we use media player to download the songs and pictures to the mp3 player  .
it's easy to use  .
the headphone jack quit working and the company replaced the player  .
get value for the price .
this unit has a lot of potential  .
i added a 2 gb sd card and use it primarily for audio books  .
therefore controlling the order the tracks are played is most important  .
with this , and i suspect most mp3 players that need software to load them , the order is very difficult to control  .
i finally mastered it after about 20 hr working with media player 10  .
the audio recorder is far better than the dmp    100 i previously used , however that unit is very easy to set up the files to play sequentially in the correct order  .
it is no exaduration to say that the display is almost unreadable in sunlight  .
the tech support from sandisk is very good  .
they provide an automatic firmware updater that will check for updates and install them  .
it is totally painless and works very well  .
