i love the slingbox  .
it is byfar the best invention of this decade  .
watching tv from anywhere in the country that i have internet signal is wonderful  .
not only that , but now you can watch it on smartphones  .
i love the slingbox .
the slingbox is probably one of the greatest and most satisfying gadgets i have purchased in the past year  .
i've had the slingbox for about a year now and have utilized it in a variety of creative ways  .
for the uninitiated , the slingbox streams any audio or video source over the internet  .
allowing you to watch/listen through any internet connected pc or mobile phone  .
for example , slingbox allows me to watch live television on my cingular 8125 (works decently on edge , probably flawless with 3g    hsdpa)  .
ahhh  .
finally , i do not have to miss the latest sports highlights while at school  .
the slingbox can also be utilized in creative ways  .
i once connected my video camera to the slingbox and is able to watch the video output on my phone  .
perhaps the most satisfying aspect about slingbox is no monthly fees  .
makes me wish more companies would take the same approach as sling media  .
the only small drawback to slingbox is that it will monopolize the device it is connected to  .
nevertheless , the slingbox is an awesome product and a must have for any technology enthusiast .
the slingbox is one of the coolest things i have seen in years  .
i use it to monitor security cameras in my house , and watch tv anywhere in my house  .
the pocket pc client , which is not free , works very well , including in public hotspots , at work , etc  .
the remote control for vcrs/dvdrs works nicely  .
the price on the slingbox has come done since its release , so i am thinking of getting another  .
as an active duty military family , we're part of a transient community that is frequently away from home  .
as an example , my wife is leaving in 2 weeks for a 12    month assignment to south korea , where she will be limited to very few tv channels that offer way too much military propaganda  .
now that we've configured her dell laptop with slingplayer and have set aside a separate digital cable box exclusively for her use here in our stateside home , she will be able to watch all 280 channels from our current cable subscription  .
may not seem like a big deal for most people , but years of family separation and being overseas has taught us how important these little things can become  .
our tests of the remote functionality have all been great  .
dell recently offered the slingbox at a special price of $179 with free shipping , so it is a great investment for us .
watched all the 2005    06 bowl games in athens , greece with no problem  .
thanks slingbox  .
bought it for $199  .
99 at best buy , set up took 5 minutes and played it and loved it  .
this is exactly what i is looking for  .
i view it mostly on my wireless laptop and my wireless laptop uses wireless b connection but the picture is perfect  .
now i dont have to have my treadmill in front of my tv , i can take my tv top other room if my little girl falls asleep next to me  .
i can take it ot the kitchen and no miss any scene  .
this is just great  .
i love it  .
an external remote would be great help but other than that i cant think of anything right now .
the slingbox is great for a student who spends alot of time on their laptop around campus  .
my campus has all    around wireless access , which means that i can watch tv while i am on a break from class , studying , or just relaxing in a lounge  .
sure you can watch episodes of tv shows that you may have downloaded , but there is nothing better then having 100+ channels at your disposal anywhere that you can access the net in the world  .
keeping up with local news has never been easier , and having something to do when i'm not in class (or drinking) is great  .
this is an incredible device , very easy to setup less than 5 minutes  .
quality equipment that worked the first time out  .
i have it setup to direct tv , and no issues love watching recorded programing with tivo as well i have it hooked up to my xbox wireless gaming adapter , and it works perfect , on the lan i get about 1mb streaming video , on the wan i get about 300kbps once they have a pda application , i am buying that as well imagine the possiblity of having your bluetooth enabled pda attached to your lan watching tv while you are outside at the pool  .
i wish this is a publicly held company , i would buy stock today  .
absolutely the best invention i have seen this year .
this little device is the best thing since my tivo  .
i got it out of the box and plugged in all the cables  .
i threw the set up disk in my wireless laptop within 3 mins i is up and running the remote looks just like my tivo's 'peanut' remote , and works flawlessly  .
it is really like bringing my tivo on the road  .
i have a friend with out cable , so i call him when i am about to watch a show he likes and he can watch with me  .
i also hooked up my camcorder's rca output jacks to the slingbox's inputs and poof instant netcam (or security cam)with sound and video    i suppose i could even show a home movie to my friends and relatives  .
next time i watch a movie i can share it with a loved one  .
i really love this little thing  .
my co    worker's jaws hit the floor when i showed them  .
now i just need better high speed internet access  .
(i have dsl with only a 300k upload    so the quality is good enough to look good with about 1/4 or 1/3 of the screen    any bigger and it looks poor) .
i am a college student and found out there is no cable in the dorms  .
i purchased a slingbox with the intention of streaming cable from my house (oregon) to my dorm room (cali)  .
i then ran an s    video and audio cables out to my tv and sound system  .
when i watch the slingplayer i use it on my tv as a second monitor and full screen it , which lessens the quality , but if you have bandwidth to spare then its fine  .
the quality is poor at higher more active times of day down here cause everyone is on there computer (which sucks) , but at night and in the morning the picture is real nice  .
i reccommend this product to anyone on the fence about getting it , it wo not dissapoint you .
this is a terrific invention  .
no hard drives , no subscription fees  .
simply connect slingbox between your tivo or replaytv and your broadband router (also works with cable or satellite box) install the slingbox software on your laptop , connect to the internet from anywhere in the world (broadband connection required) and you can watch your favorite live or recorded programs i give the slingbox a 10  .
however , if your internet connection is slow , slingbox will be a terrible disappointment i've used it on the road even in china to watch my favorite shows recorded on replaytv back in texas  .
i used it to watch live coverage of hurricane katrina and watch live texas longhorn football i highly recommend the slingbox but just know that you have to have a fast connection to make it work as advertised .
this is an excellent buy  .
the install is quick and simple as well as connecting to the box  .
the device found my ir settings and the settings on my router with absolutely no problems at all  .
the people at sling media should be commended for bring this to the market  .
yay  .
i got this thing home and plugged it in and it worked marvelously  .
there are very few times in life you find a new breed of toy or device you cannot live without  .
