i would recommend this camera to everyone  .
i have read many reviews about this camera before i bought it  .
now i feel i took right decision buying this  .
there could be other cameras with more mp and features , but this one for sure takes pictures with excellent quality .
had this camera for over 6 months now , like i said up top , i love this camera more every time i use it , the advantages weigh over the disadvantages big time  .
first digital camera i've ever owned and it's awesome  .
a would recommend this to a friend and i will .
i bought this camera after getting a brand    new casio that took very blurry pictures right out of the box  .
the sony dsc    h20 is by far the finest camera i've ever owned when taking into consideration the features and price  .
the carl zeiss lens is of course one of the best selling points of this camera , as it offers optical image stabilization in addition to digital image stabilization rather than relying wholly on the internal processor to handle the stabilization the pictures are very sharp , with great color definition no noticeable blur , and pristine detail  .
th internal red    eye reduction feature also works very well , and does not overwrite the original , but rather saves as a new file  .
i didn't find the zoom to be overly noisy , but as a point of information , the lens does not take very wide shots at 1x  .
this is not a negative for me , just something that might displease some people movie mode impressed me greatly  .
i have a nice panasonic minidv camcorder , and the video quality with the dsc    h20 blows it out of the water  .
i couldn't believe the audio quality , and the video quality is very good for the price of this camera  .
many cameras that cost twice the dsc    h20 didn't offer hd video recording , which again puts this camera up at the top for its class  .
the zoom is fully    functioning in movie mode , though it operates much slower than when taking photos  .
some complain that the audio is only mono , when the video is 720p  .
i would understand this as a valid concern if this is a $2000 video camera , but it's not  .
i paid twice the cost of this camera for my camcorder , and now that camcorder is going up on ebay , along with the flip video camera as a few final notes , there is no hdmi output on this camera  .
this may be a drawback , but as a hd component cable is available , no big deal  .
it would be nice to have that option for the convenience of playback when visiting relatives or friends , but personally i like to edit and burn my videos , so for me , no points lost in that department  .
some complain about the high cost of batteries  .
why this is , i don't know  .
if you can write a review , you can search ebay  .
i found 2 high    quality generic brand batteries for $10 each  .
the batteries use japanese cells and have an internal microchip , and offer a longer life than the sony brand battery  .
memory stick pro duo cards were also very cheap on ebay  .
i picked up 2 sony brand 16gb cards for a whopping $45 , including shipping  .
cannot beat that  .
so to all those who were dissatisfied with this camera , beats me what you're complaining about  .
this camera rocks , and i'd highly recommend it to anyone trying to find a high    quality camera that wo not break the bank .
my wife and i have owned three sony cyber    shot cameras and have enjoyed them all  .
they are easy to use and take very good pictures  .
this model is a bit bigger , and that should be considered , because the beauty of a point and shoot is the ability to easily carry it around  .
but the great pictures and the hd video (with use of the zoom) override any concerns about the size and weight of the camera .
so i am a very picky individual so picky that this is the 4th digital camera i have bought in the last two weeks  .
i have gone with other brands and other recommendations from friends and sales representatives , all of which by the way kept pointing me to the panasonic lumix dmc    25 , which i did buy as well , it however it went back along with the others (the pictures were either dark , or not in focus) after much research and reading many reviews i went with this sony and very glad i have  .
guess what , it's not going back to the store , right out of the box it took spectacular pictures i am a novice photographer , and a bit intemadated buy the price and features of the big dlsr's  .
this camera is a comfortable medium from the standard point and shot to the big slr's all in all i am very happy with it and would suggest giving it a try .
simply put , it does everything i need , and then some  .
