hd 1080p resolution  .
blu    ray disc drive  .
the sony controller (the best of all time)  .
the games that are coming in 2010    2012  .
it is quite simply unbeatable  .
microsoft should stick to making poor operating systems and leave the gaming to the one's in the know  .
in the top three best videogame platforms is the sony playstation 3  .
the playstation 3 has a nice design and is quiet while running  .
the original playstation 3 is in certain aspects better then the newer version  .
the original version has less memory than the newer , but instead is compatible to play playstation 2 games , in general the sony playstation 3 has excellent graphics , tons of memory space , built    in blu    ray player and best of all free wi    fi  .
although not as an elaborate online setup as xbox , ps3 dominates  .
there are no significant cons to sony  .
s latest greatest product  .
in my opinion it deserves 10/10 on any grading scale .
i i have littiler siblings that have stepped on , kicked , over played , and have just abused the thing and for the most part still works like new all you have to do is plug it in and you ready for all game play (dont need to buy wifi adapter or online time like 360)  .
the games are great , graphics and sound are superb you could not as for more  .
blu ray player as well   )  .
i love this game system because it completly rises over all i do not care what people say it is insane all the way to the nano chips  .
updated  .
on nov 1 , 2009  .
my local pawn shop had two things i really wanted  .
one is a halo 3 edition xbox 360 and the other is the ps3  .
now you must know i already have a xbox 360 elite and a arcade with the 60gb hdd (i hate the white disk trey , why not chrome  .
but , that halo 3 xbox 360 is sweet  .
i got both the same day , i only bout one ps3 game and spent likr five mins on it , then went back to halo  .
i really like the blu    ray and wi    fi  .
the ps3 is $230  .
00 and the halo 3 xbox 360 is $220  .
so i piad $450  .
00 for both , great deal  .
now i have 3 xbox 360s (in case one happens to die on me i can still play the best game ever a  .
halo  .
that sucks  .
good thing about that is you can buy a red ring 360 from a friend or a pawn shop (when the pawn shop close to me gets one they throw it away in the trash  .
) real cheap  .
as long as its not older than three years they ms will fix it for free  .
you do still have to send it to the repair center  .
i wish i could get a ps3 real cheap like that but they hardly break .
i own both a ps3 and an xbox 360 and i find the ps3 to be a better console all around  .
first of all , the ps3 is a reliable console and the value of that cannot be underestimated  .
i have had my 360 die on me 3 times and i am tired of worrying about it giving out on me at any time  .
i just want to play games and not have to worry too much about the console dying       the ps3 gives me that peace of mind the ps3 also has the best selection of exclusives for my taste  .
games like uncharted , mgs4 , killzone 2 , little big planet , resistance 2 , heavenly sword , flower , warhawk and many others , are simply unrivaled in my opinion i also love the fact that the online service is free  .
psn gives me everything i really care about and the games run smooth and lag    free  .
it honestly makes me a little tired of paying for xbox live when both are providing essentially the same service it also happens to be a top    rated blu    ray player and bd movies look beautiful on my hdtv i honestly love almost everything about this console  .
the price is a little bit higher than the other consoles , but it is worth every penny .
i purchased the 60 gb ps3 for the true backward compatabilty  .
function  .
i have close to 100 ps2 and ps1 games and i do  .
not want to have all three systems hooked up  .
so when my  .
ps2 broke i decided instead of getting a new one , let's up  .
grade   ) i tell you i is not disappointed one bit in my  .
decision to go with the playstation 3 the graphics were  .
outstanding and the sound quality is beautiful  .
bonus  i  .
discovered the the ps3 also plays sacd (super audio compact  .
disk and the currently the ps3 is the best blue ray player  .
on the market according to many reviews that i have read the online service is not as vast or established as xbox live but it's getting there i believe , set    up is a breeze and it felt  .
good having a playstation 3 connected to my hdtv   ) the only thing that i was  .
dissapointed about is that sony did not bundle a duelshock  .
controller or a headset with the system  .
but i guess you cannot have it  .
all  .
over all i give it an a+  .
also i also own a xbox 360 and the two honestly are preaty much the same as far as output visual/audio i'm waiting on a game on the ps3 to take full advantage of the systems abilities to utilze the vast blue ray disk storage to create a truly breath taking game .
ps3 xbox 360 its not even close  .
have fun upgrading your xbox to just compete and get bent over and using ur wallet as prep h  .
overheating on the xbox 360 can melt the back of your xbox breaking it  .
also the red ring of death sux  .
has a 33% fail rate  .
haaa terrible  .
and if you compare some of the titles they both have , playing them on the ps3 is always easier  .
im not a ps3 fanboy i own an xbox 360 and all the exclusives , gears of war 2 , halo 3 , fable 2 and its just no comparison to ps3s  .
heavenly sword , mgs4 , little big planet is awesome , killzone 2 is amazing  .
, and god of war 3 i mean not even close  .
like i said you will not have to upgrade your ps3 for along time , firmware updates can change the whole system and bring it up to date , plus the psp can connect to it and do a whole lot with the ps3  .
long live ps3  .
i recommend this console to everyone .
far better than xbox 360 for one reason reliability i have owned three of them and at differant times i have gotten the three rings of death , people complain about the cost , well break it down when you have to buy for the 360 a hard drive and internet wireless unit so thats three hundred right there so cost wise sp3 is much better value and it has a hefty price tag if you are serious about real playing i would pick the sony over the xbox anyday  .
after a year of owning the ps3 i am so convinced this is the best console out there  .
yes it might be a little bit more expensive than the others but all that you get (like the blue ray drive)for the price its worthit  .
i has not given me any problem , perfect from day one  .
my friends love coming over to my house to play it and alwasy get amazed at the graphics it delivers overall it is a great investment as game console and entertainment device .
oh my gosh did u see the graphics i mean there sick as anything  .
