its awesome  .
this is an exceptionally well    made system  .
it has plenty of hard drive capacity , easy connectivity and stream    ability with wired or wireless external devices such as the pc or usb drives , ipod , etc  .
the menu screen looks nice and pleasing and is easy to navigate through for personal adjustments and whatnot  .
i especially love the visualizations that go along with music  .
the charge on the controller lasts a good while  .
the ps3 slim is future ready with the new 3d software , which is a big bonus and , it is well priced .
i have always been an xbox fan  .
my brother is a playstation fan  .
and one thing that you know about being a fanatic is that you will never be open minded enough to say you're right , it is better  .
but that is the case with this  .
i told myself that i would never buy the playstation 3 , and i did  .
i love it  .
it's fast , games are amazing , blu    ray capability is outstanding  .
i love it  .
i cannot wait to see what sony does next  .
who doesn't love blu    ray's  .
they are growing fast , i can use most if not all blue    tooth devices in conjunction with the ps3 (headsets included) , my samsung tv recognized my ps3 and i am able to use the tv remote to control my ps3 , and i can stream music , pics , and video from my computer to my ps3  .
when watching youtube with a lot of people i only need to fire it up on my ps3 for a bigger better screen  .
i have loved playstation products since the ps1 and i think this coupled with the new ps3 games that have been and continue to come out are great additions to the playstation family it is quite literally the center of my media life  .
and with streaming music from my computer i do not have to cloud up hard drive space on the ps3  .
really an impressive product for the price  .
a cheaper and better way to play your games and watch your blue ray movies .
the playstation 3 system by sony is the most advanced gaming system on the market  .
its blu    ray drive allows for much more complex games that do not suffer from scratches and playing 1080p films with 7  .
1 surround sound  .
built in bluetooth connects the controllers (which are motion sensitive) to the system , connects wireless headsets (avaliable cheaply from third    party manufacturers) and could theoretically be used to connect a keybord without the fuss of a usb cable  .
the graphics clearly beat the xbox on exclusive games (they are the same on most dual    platform games as they are written for 360 then translated into ps3)  .
playstation move admitidly looks like the wii but i think it's actually microsoft's kinect that's like the wii (just no controller) while sony's move brings a whole new dimension of realism to the motion world  .
all in all , this system is not perfect    but it's the best that you can buy  .
microsoft's dated system now shows its inferiority in the face of the ps3    and i wont even mention the wii  .
i am so glad i bought a playstatiobn not an xbox .
it is far better than the xbox i own both and i like my ps3 better  .
i have big hands and the controller fits me better than the xbox one dose  .
blue ray is nice for games like final fantasy (it would have been bad to constantly have to switch out disks)  .
blue tooth allows you to use cellphone head pieces for online play .
if you look at it , it is pretty much the best deal you can get out there   a kick    a  bd player coupled with an awesome game console  .
not to mention all its multimedia capacities  .
sorry xbox sony had me at blu    ray .
the greatest product i ever bougth  .
buy one and you'll see what i mean  .
i highly recommend the ps3 120 gb slim to anyone considering adding a blu    ray player to their home entertainment system  .
compare it feature by feature to any stand    along blu    ray player and it offers as much or more than anything else for the money  .
any $150 cdn blu    ray player will play movies just fine , but if you want on    board wi    fi for easy firmware updates you're into the $250+ area  .
and by the way , this unit lets you play games if you are so inclined a notable feature is the wide range of supported video and audio formats  .
i'm not aware of anything that this unit will not play , while many of the lower priced blu    ray players have limits  .
i originally bought a sony bdp    s360 and decided to return it when i realized it would not play some of the discs that my kids school plays and photos were saved on  .
not sure what format they were , but the ps3 plays them the only drawback to the ps3 is it's lack of an infrared remote reader  .
this can be a minor pain to anyone who is making this part of a full entertainment system and is using a nice universal remote  .
but even this minor issue is easily solved by purchasing a separate i/r reader that plugs into the usb slot  .
i bought the ps3ir    x1 for $30 from schartz  .
com and it works great with my harmony remote    just needed to manually assign the ok button on the remote as the x button on the ps3 and all is well the slim design also allows the ps3 to fit in a regular audio component rack unlike the earlier ps3 the hard drive is useful for storing photos and the slideshow software that sony provides is very nice    the 'ken burns' effect seems to automatically zoom in on faces in the photos  .
it's also very easy to link to home computers via wi    fi and do live slide shows or play music without physically connecting the computers to the system all in all , i'm very pleased with this device .
i have the 120gb and i love it ive never had a problem with it but ive only had it for about a month now and im considering the warrenty but im wondering if its worth buying  .
sony is the best console maker by far  .
sony is giving you a blu    ray equipped incredible game system with free online  .
xbox 360 doesn't come close  .
and all this comes at an irresistible price  .
if you don't have a ps3 , i have a question  .
why do not you  .
i wanted a console that does not get problems like my older xbox 360  .
it broke 4 times  .
the red ring of death  .
the games sucked i hated halo  .
i had to pay 60 $ for online and 80 $ for wifi  .
i also had to pay 10 bucks for batteries for controllers and 30 $ for a memory card  .
then , the stupid console itself which is 200 $  .
i wasted so much money on that garbage thing  .
so i sold it and all its trash and bought this  .
and i tell everyone , its amazing  .
it has everything the xbox 360 does not have  .
it plays blu rays and upscales dvds  .
it plays games that have amazing graphics  .
and its at a great price , 300 $  .
thats great  .
people say that the xbox is cheaper but you end up in so much trouble that it sucks  .
trust me buy this thing instead .
buy it without question  .
i love this system it's a great system for my first playstation 3/blu    ray disc player/media player/divx player  .
i have both the ps3 and the elite black x360  .
i compared both extensively , for my own sanity that's how i do lol i can say that overall , the ps3 is a much better overall device  .
in fact , the only feature where i found that the x360 beat out the ps3 is the insanely well developed online content/community section  .
otherwise    .
ps3    .
smaller , quieter drive and fans , runs cooler  .
better game graphics  .
richer sound  .
better interface  .
better media playerquality/disc player software  .
rechargeable controllers  .
wireless  .
trayless drive  .
non    proprietary device support  .
extreme level of options for picky techies  .
for me the ps3 is better because with 360 i would have to pay to go online i would have to buy the wifi adapter and gold which is 60$ but with ps3 those things come free  .
people say ps3 controllers are dumb because you have to buy a new one when the battery turns really bad but that will happen in like 4years but with 360 your always going to pay 60$ dollars every year  .
i prefer ps3 exclusives over 360 i mean gears of war and halo are great but mw2 and badcompany2 are just alot better and left4dead2 isnt for me i would rather play mw2  )  .
the ps3 has bluray which is replacing the dvd and also ps3 games can be alot more detailed because bluray discs  50ishgb of storage while dvd  9  .
also with my ps3 has no problems and i have played mw2 for 9hrs straight and no sign of overheating while with 360 you cant play for as long  .
also if you want to store alot of stuff ps3 is better it supports more formats and the harddrives for it are bigger because you can get any 2  .
5inch harddrive and install it easily using the instruction manual while 360 is stuck with the biggest size being only 250gb  .
in my opinion i prefer ps3 controllers because i have small hands and im really used to playstation controllers because i have been with it starting form ps1 but thats just a preference ive also seen a ps3 controller that is the same layout as 360 but its 3rd party so id rather stick with the ds3  .
and really i have both systems with xboxlivegold and they are pretty much the same thing with a few differences like trophies and gamerpoints but i use my ps3 more and once my year of gold ends im not buying another year unless microsoft does something big to change my mind  .
graphic wise same thing except with ps3 exclusives such as god of war 3 look way better than 360 like it looks so realistic i felt as if i is watching a movie  .
i highly reccomend ps3 due to its features and exclusives and online  .
my old system is a backwards compatbale , 4 usb port , rebuilt ps 3  .
