this cnet review is based on the old tomtom one  .
as we speak , a newest revision is out (3rd revision) and can be bought at walmart for $148  .
this model gets rave reviews (even on cnet although the editor has not reviewed it)  .
why spend over $300 on other makes when tomtom one 3rd edition does it all  .
i love mine  .
i bought this for my wife for her birthday because she is always traveling and tends to get lost  .
this gps is very accurate  .
she enjoys using it to find gas stations and restaurants on her road trips  .
the tom tom one also can locate many different points of interest as well  .
it is a great buy  .
i shopped around and finally made my purchase on    line at sdcommodities  .
com  .
they were the cheapest compared to anyone else on    line  .
i had my gps in 2 days  .
i even called them with a question and their customer service is very helpful  .
718    921    9100 .
i have been searching around for a gps that suits me for quite a while  .
i hadn't settled on one in particular , and i've never used a gps device before , so i wanted to play around  .
i borrowed the tomtom one , and am so far so pleased with it    from the minute i opened the box , it is ready to use and easy  .
it's so small , which is great for me since i do a lot of traveling and my roommate and i can share it and switch it from car to car easily on long trips  .
i really do not have enough good things to say about the one .
thank you tomnd tom one , for saving me  .
i no longer get lost when i travel for business and especially at night  .
i used to get lost and wind up in some bad neiborhoods , not anymore    thanks tomtom one and thanks www  .
sdcommodities  .
com for getting me the best price around and for your quick shipping  .
if anyone is interested in the tomtom one call 718    921    9100 for the best deal .
i bought my tomtom from e    bay seller , when unit arrived the car charger did not work  .
one phone call to tomtom 800# and within minutes their service dept  .
had a new charger shipped to my address  .
unit is a refurbished gps and came with a one year warr  .
what peace of mind the service dept  .
gave i will recomend this company to everyone  .
very satisfied customer  .
the tom tom one seems to come in various versions  .
be sure of which one you are getting , some seem to have maps of only the 48 states and canada , others throw in alaska , hawaii , puerto rico and guam i had originally bought the version 3 , took it back and got a version 2  .
the version 3 had no sd slot to add maps , other than deleting the internal map and then uploading a new map  .
the version 2 has the north america maps built in along with the sd slot for any future maps , such as europe , you wish to add later  .
version 3 did have the ability to add an external traffic radio (subscription required) , that i wouldn't have used anyway , but lacked an external gps antenna jack  .
version 2 also supported bluetooth , for data features only , not for use as a speakerphone  .
