i had no problems updating my map  .
i just removed some voices before doing the update  .
worked flawlessly  .
keep in mind with the map update it did take a lot of time  .
be patient  .
thanks to everyone complaining about the map being too big , when i hooked it up i did not install the update , instead i made a backup of my unit , then removed the old map from my unit first , then ran the latest map guarantee , now works perfectly , without any hiccups  .
i'm in love with this for a first true gps , and unlike the others , the updater works fine .
i would recommend this model to anyone in the market for a gps  .
it has all the necessities of any other gps , plus extras and a nice large display all for under $300 .
compared to other units i've been given this is a superior system .
good product , have to get use to te features and how to access them .
appears to be loaded with capabilities for a very reasonable price , buy it  .
while no gps is perfect  .
garmin showed old turn    off to new super target in richfild mn , tomtom had it correct  .
garm in had updated street signs by air force reserve tomtom didnt , so each gps unit will have plus and minus .
before i buy anything , i check it out on cnet  .
the editors reviews and then the user reviews  .
after reading some of these user reviews , i almost did not buy this product  .
i could not resist though , due to the sale price it is offered at  .
i am glad i did  .
i had no problem updating the map as some reviewers had  .
it took me about 1/2 hour to download the map with a broadband connection , and about one hour to add it to the unit  .
i will admit that i made a backup of the unit using the tom tom home software and removed the voices that were foreign to me first  .
the voices i removed from the unit were saved to my pc by the tom tom software , so i can always add them back in the future after the map update , i scrolled around the software and added a recorded human voice and a few poi's  .
i bought an s model that will state the road names you are to turn on to  .
this feature does not work if you choose to use a recorded human voice  .
it does work fine with one of the computer voices installed in the unit  .
to me this is not a problem , but thought some of you would like to know that prior to purchase i also read a few negative opinions about the mount  .
i actually like the mount  .
a quick quarter turn and it is adhered to the windshield firmly , i find it to pivot nicely also  .
if the thickness of the unit with the mount attached is a concern , i find it is easily removed from the back of the unit so i can leave the mount in the glovebox and take the unit with me in my jacket pocket  .
with the mount removed , it is no thicker than a tom tom one the tom tom home software is a nice way to update and customize the unit  .
i found it very easy to use  .
i is able to download a new startup picture for my unit for free through the software  .
there are also some optional accessories that you can access through the software for purchase i am not a poweruser  .
i'll use it on long trips and vacations  .
i have used it going to and from work , and realized the iq route technology is actually working  .
it told me to go to work using one route , and a different one to return home  .
i belive this is due to traffic at the time of day all in all , i feel i received a very good deal purchasing this unit  .
i hope that if you purchase this unit , your experience is as pleasing as mine was .
love it would ask santa for another 1 but dont wont to be gready  .
install the tomtom home software , but don't update  .
hook up the gps and go to managing the gps in the tomtom home software , then remove the voice languages you do not need  .
i removed french and spanish  .
i then backed up software on the tomtom home , then i updated and all is well  .
for the money , the features on this are fantastic  .
has lots of poi's and has been quite accurate in getting me around  .
the upper end garmin's are better , but your going to spend a lot more money  .
another feature i like is the mapshare  .
this is a feature that only tomtom has and i like it alot  .
i would recommend this gps , but delete voices first before any update , and you will be fine  .
nice , loud voice and good directions  .
i wish it would tell me which side of the road the house is on like my old garmin 350 , but the tomtom has so many upgraded features  .
very much worth the money .
this is my third gps  .
i also own a magellan and a garmin  .
while magellan's intelligent speller technology is superior (only valid letters are displayed at any time while entering city or street names , eliminating spelling errors) , tomtom's fresher maps trump that advantage , by including more newer streets  .
tomtom offers new maps every 90 days , whereas magellan offers upgraded maps every 18 months , and garmin every year  .
tomtom's mapshare technology is a dream  .
right out of the box , when i did my first free map update , it also downloaded mapshare information for my region that correctly routed me away from an overpass near my home that is closed for repair  .
there's one particular t    intersection in my city that is wrongly classified as a two    way turn on everybody's device (magellan , garmin and tomtom)  .
with the map correction software , i is able to teach the tomtom about the turn restrictions on this particular road , and is then able to upload those changes for anyone else with a tomtom  .
that community sharing feature is the deciding factor in my purchase of a tomtom  .
living in a smaller canadian city , the iq feature does not really do much for me , as there are probably not enough user experiences in the database to make a difference , although i have noticed that tomtom does not always choose the same route between points a and b , so that might be the iq software in action  .
i have found the poi list to be quite complete , and the ability to add my own custom categories to the poi database is perfect for keeping my clients' addresses handy and apart from any other clutter updated  .
on dec 10 , 2009  .
be careful if you install tomtom home and attempt to do updates  .
first , installed tomtom home without connection the 340s to your pc  .
then connect your gps  .
before downloading anything including any free map updates make a backup of everything on your gps via this tomtom home feature  .
next view everything on the device via home  .
most of us in the us wo not need anything other than the english voices  .
delete the other voices from the device only  .
this will free up some space on the device  .
remember that you've already backed everything up so you can get them back if you need them  .
now you can go get your free updated map , poi updates , quickfix updates , additional pois , etc  .
make an additional backup of the unit with all your completed updates  .
if this all sounds too complicated for you find your local tech geek or just use the unit out of the box without connecting it to your pc .
