why are people dissing windows xp and going for mac os x  .
boo  .
i hate macs and never liked them  .
plus microsoft tought about windows xp before mac os x is introduced  .
they just sold it after mac os x  .
i've used all the windows from 3 , 3  .
5 and up and xp is the top runner , i'm completely at home with this cricket .
i upgraded to xp pro last month and it's great  .
i'm a windows professinal and finally have a super os in my machine  .
every windows user has to try out this beauty  .
i'll give a thousand thumbs up for windows xp pro .
this is great , a must have for everyone  .
ignore people who say this os is rubbish thats totally untrue  .
i love this os  .
its so fast  .
my computer boots in like 40 secs  .
and its features r so awsome  .
this is the os to get  .
yes , finally an operating system i'm happy with  .
as a computer scientist , i've yearned for a pc operating system that is stable  .
tired of the os locking up in an app , this verion of windows is super  .
bill , you finally got it right  .
worth the money , folks  .
great features and stability .
windows xp (pro) has so many advantages over other operating systems  .
its official , 400 million people all over the word are using windows 9x and above  .
15 million for macos and 14 million for linux  .
what do the numbers say to you  .
in my opinion , they say that the consumer has made a choice .
i love the streamlined performance of windows xp  .
this program is so much better than windows me  .
that program froze all the time , but this new os is so much smoother  .
hoody hoo  .
i have been using windows xp rc 2 , its working fine no problems or crashes so far  .
great software  .
xp is the best version of windows yet  .
easier , faster , smarter , it's just better in everyway ; except windows product activation  .
i have not had any crashes , any hangups , no restarts  .
the luna interface is beautiful  .
it's just great .
xp pro is very stable , loads apps fast , is user friendly , works with virtually all hardware these days , and has remote desktop feature which alone is enough incentive to buy xp pro .
this is the most stable of any windows os i have loaded onto my home pc  .
but please follow the step by step recommendations for the upgrade , which is what i did from dell , or you will find yourself in a world of hurt  .
so far the upgrade has been worth it from win me to xp pro , but it is touch and go at first  .
get as clean a configuration as you can prior to upgrading  .
otherwise there will be issues .
xp never hangs on our pc  .
it's done everything i've asked it to  .
as an old dos user (and every windows version to date) , i'm impressed .
came pre    installed on my new pc , but did the upgrade on my previous pc  .
definitely more stable and more robust , though compatibility with older apps (especially my wife's vpn software for her office) is non    existent , and installing caused other issues that were quickly resolved by setting restore points (an excellent feature)  .
also beware that some functionality for familiar nt users is a little less obvious  .
9 out of 10 .
i dont know english language very well and you can fell it  .
i just can say about xp  the best and complete windows that i saw  .
i installed it into my system for 30 days and i dont see one error in it  .
perfect and fun_beautiful  .
best microsoft os i've had since going back to windows 3  .
so far found nothing to complain about .
super stable , very easy to use and work with , looks great although i prefer to strip out the graphics and run it in plain vanilla mode  .
i've got friends who're running it (home edition) and are having nothing but trouble , but i've been using the pro edition for 6 months and i love it  .
i suspect maybe my friends are not taking full advantage of all of the trouble    shooting options available to them  .
