perfect for taking photos on vacation  .

great quality  .

the zoom is perfect and so is the fast operation  .

also taken video clips upto 20 mins  .

good sound quality  .

although i use the eye piece more than the lcd screen for taking pictures  .

saves on battery life on long day trips  .

but you might need a second smaller camera for casual photos in dinner parties and outdor events where carrying this big camera can be a problem .

love it its a v fine piece  .

this camera is one of the better cameras i have used  .

i knew i wanted a mega    zoom camera but is not interested in the dslr price range  .

definately recommend this camera to anyone  .

bought it at sears with the extended protection on it  .

hopefully i wont have to use it but i read some reviews that suggested it .

i bought the s3 from office max for $399 with a 1gb sandisk ultra ii  .

nothing can come close at the price i paid  .

the lcd is a little small , but i shoot using the evf anyway so its no big deal .

let's be realistic here  .

the opinions and reviews comparing this canon s3 is to the sony h5 , are too much of a mine's better than yours foray as a previous owner of the sony h1 , i is about to gravitate , somewhat automatically to its successor the h2  .

seeing that the h2's lcd display dropped from 2  .

5 to 2 , that put me off  .

i handled the h2 as a preview to purchase but found the whole camera as well as the lcd display to be too small  .

i noticed and rread the review of the h5  .

this i thought would be the camera for me  .

the lcd display is 3 , the sensor at 7  .

2mp were both a boost over the h1  .

i is sold , or so i thought i clicked on a link to a canon s3 is review  .

i read the review , hmmm  .

sounds impressive this s3  .

i investigated the s3 a little more now for most people that usually have 6x4 prints , anything with 3mp or more is adequate  .

so the h5's 7  .

2mp or the h2's and the s3's 6mp is more than sufficient all three of these cameras are magnificent in their capabilities  .

each will produce excellent images  .

sure there may be a minor advantage of one over the other for high iso noise levesl , but hey , we should know that in this price bracket and camera level there will always be a compromise i must prefix much of the following review with the fact that i am and have been a sony fanatic for as long as i can remember  .

it is with some disappointment then that i have to say that i chose the canon s3 above the other two sony models  .

the images i took with the 5mp sony h1 are excellent  .

i expect any of these three cameras to do just as good or maybe slightly better (the 7  .

2mp would be nice) i , like other reviewers here , looked at other cameras before deciding on the s3  .

the choice is not the easiest  .

