i knew a few people with this camera before i got mine , and they were very happy  .

after owning this camera for a while , a bit over a year , i too am very happy with it  .

four of my friends have gotten one just because of the pictures they have seen taken with my s5 is  .

now my parents are looking at getting one too .

i think this is the best combinations of options you can get in a hi zoom camera  .

what i like most is the quality of the video and still being able to use 12x optical zoom while shooting video also the night snapshot brings out brilliant photos even in the darkest places  .

i just love it  .

this has been an excellent buy , as it caters to all my needs    taking good photos at a fairly good speed and the fact that it clicks photos even during video recording is an unbelievable bonus  .

look no further , ths is a great buy .

canon s5 is the best prosumer high end , slr like camera available  .

this little s5 , 120mm long 450g camera is flooded with fantastic features  .

let me list a few   remote control of the shutter from pc ; amazing face detection ; 12x zoom with efficient image stabilizer is up to the very tele end of the zoom and also effective in video recording ; stereo sound ; professional aperture and shutter time priority modes as well as a full automatic mode for starters ; also a full manual control of everything including focus for professionals and creative amateur photographers ; 2    level macro , regular effective 100 to 500mm and super macro effective 0 , thats right , zero to 100mm from the lens ; flash with 3 levels of light intensity up to 5  .

2m effective ; easy to use menus with each and every control at the finger tip , and much , much more  .

when investigating the reviews for this camera and a competitive model with a seducing 18x zoom , i noticed two major complaints about it , the lens cap pops off very easily , and the noise is not acceptable in iso settings over 400  .

it should be noted this camera is not a professional slr and its assumed the user of this s5 will never need prints larger than 4x6 and very rarely up to a letter size 11x17 , and in such sizes noise cannot be noticed even with iso1600  .

it can only be clearly seen in what professionals call 100% crop in their reviews  .

besides , everything should be paid for ; reducing noise equals losing details on the other side  .

so , clean details and noise should be balanced at some reasonable point  .

and about the lens cap , i really cant imagine what pressure would have been on the motor if the lens cap did not pop off easily when you definitely forget to take off the cap before turning the camera on 50% of the times i believe  .

one more thing , the 18x zoom announced on a few other cameras works mostly on the wide side , say from 28mm equivalent focal length , also , the is does not work well on the tele side and you will have issues with your hand shake  .

bottom line & i highly recommend this magic canon s5  .

i would suggest adding a set of nimh batteries and charger along with a lens hood and adaptor and also a uv filter to leave in place to protect the lens all the time .

it is a very good camera for any user .

i dont know why people are giving this camera such bad ratings it seems like your expecting pro quality from a 500 dollar camera  .

its battery life is not bad at all i have had this camera for two years now im pretty sure and have had no problems and i use it alot  .

i love this camera  .

im not saying it is the best but it is worth the price updated  .

on sep 4 , 2010  .

this is a good camera and but it cant use rechargeable batteries so i have to keep using replaceable ones gets expensive  .

i love the flip around screen leesens the chance of finger prints on the screen .

i would definately recommend this cam especially now since prices have dropped significantly  .

butterflyphoto has the best price on it and they always deliver on time .

i have owned many digital cameras  .

eight to be exact  .

i take pictures everyday , photography is a hobby of mine plus i'm getting ready to have my own home studio soon  .

i like the close to dslr cameras because they offer a lot more features than a regular dslr camera and it had given me lots of practice before i jump into the dslr field the canon s5is is worth every penny i paid for it  .

it has the fastest record time in focusing and taking a picture out of any camera i've used  .

the face detect works flawlessly  .

i took the canon with me to disney world and to daytona and took 2 , 000 photos , all of the photos came out there is not one blurred or one that is just okay or average  .

i took night shots of the fireworks at magic kingdom and wow  .

i have now professional looking fireworks that is captured on my vacation that i will have forever thanks to this awesome camera  .

most of my pictures taken at disney world could be turned into post cards they look that great  .

you just cannot go wrong with this camera  .

it offers everything you can think of and has so many advanced features out of the cons i did find it annoying with the flash you have to manually raise it , lots of times i'd be ready to take my picture and it beep and on the screen would say , raise flash  .

it is easy to forget to do that so i'd miss a shot  .

then the battery compartment has the memory card next to it , so when replacing the card the batteries lots of times would fall out  .

those were the annoying features about the camera to me  .

not to much to complain about though , but i did also find that some of the menus and features were hard to understand and hard to get to  .

this camera is definatly one that takes a little time learning , you can shoot pictures as soon as you get it out of the box even if your a novice or beginner , but it does have a learning curve for the more complicated features the pros outweigh the cons majorly though  .

i've never seen a camera that focuses and takes a photograph so quickly  .

the speed is so fast you definatley won't miss a shot with this camera  .

it has so many features the most i've ever seen on any camera i've owned  .

the sad part is i sold this canon s5is for a sony dsc    h50 thinking i is upgrading i is wrong  .

the sony offers 9 megapixels (canon 8) sony has full 1080 hd    but you have to purchase seperate cord , sony has a 3 inch tilt screen but the screen does not flip around to keep it from getting scratched the canon will even though the screen is 3 inches on the sony , the canon's 2  .

5 inch is better  .

the sony does not even compare to the speed of the canon  .

sony offers a smile shutter , a remote to take photos    which i do admit is handy that's what made my choices in selling the canon s5is  .

i had owned 2 sony cameras previously and seeing the upgrades the sony offered i thought i had to have the sony over the canon s5 i realized quickly what a mistake i had made  .

the sony feels like cheap plastic , yes its lightweight but it does not feel like it is constructed to hold up , the canon feels well built , the layout of the canon is easier to grip and hold  .

the canon's buttons are laid out easier and quicker to access  .

the sony is slow compared to this canon , and half the time the sony does'nt focus correctly  .

