greatest point    and    shoot camera  .

i searched everywhere for a camera that i wanted and i fell apon this one and i loved everything i is hearing about it , the main reviews that were bad is about the battery life , and i agree with that  .

if you have children or pets this camera is great  .

its good for all events if you want a picture taken right away  .

also it works great in the dark and light  .

this is the best best best little camera  .

i would recommend it to anyone  .

i bought mine refurbished and i still dont have any complaints  .

this is a great point and shoot camera  .

in full auto mode the sd790is takes outstanding images for the price what i is looking for in a digital camera    .

ease of use , sub 200 dollar price , and fantastic picture quality why    .

my last camera is a nikon coolpix 5700 , which captures great images in the right conditions (imho) , but is intimidating to many people due to the less than intuitive layout/design/controls for non    slr users  .

my significant other is intimidated by this camera and as a result i end up on the other side of the lens all the time and rarely appear in pictures with my family what i got in the sd790is    .

the cannon sd790is very easy to operate in auto mode  .

the price is right and the images are , imho , amazing for this price range  .

it destroyed the comparable nikons beyond meeting all my initial criteria , the sd790is has outstanding video and i have not experienced any problems with the placement of the microphone pinhole and wind noise , as suggested by the cnet review  .

the color accent feature is also interesting to play with battery life is significant , though i purchased an additional battery for reserve when traveling out of country  .

double aa battery cameras are great for this purpose , but the battery life of the sd790is makes this a non    issue , at least for my purposes the display is big and beautiful , though i sometimes feel it is too forgiving with questionable images i thoroughly recommend this camera if it fits your needs .

i'm a point and shot kind of guy  .

i've used everything from high slr to these little compact types  .

this is the easiest to use , takes a great photo , and meets my needs very well  .

i'd recommend this to anyone .

i have always been a big fan of the canon powershot series  .

the sd790is is another great canon camera in my opinion  .

so far all the pictures have turned out great  .

camera seems like it is built/constructed very well  .

very east to use controls  .

button layout is a nice change in my opinion  .

highly recommended  .

bought this camera hours before going to nyc and found it very easy to use and it took great pictures  .

we currently own to sonys and after becoming frustrated with por pictures we decided to give canon a chance  .

so far so good and for $179 at costco a great deal .

i've been researching digital camera's for quite some time but couldn't quite make up my mind  .

but then my photographer buddy showed me what he uses when he is not using pro cameras (like when he's on vacation)  .

he had a sd750 and he loved the thing which brought me over to the canon's i actually bought the sd790 thinking it is the 750 when i got it from costco  .

btw if you want a great price for these go to your local costco  .

i couldn't be happier with the purchase the prices of sd cards are so cheap , just don't even think of having the pathetic 32mb as a con  .

buy yourself whatever card size you think you need and be happy with the awesome quality of this camera  .

you wo not regret it .

approx 1500 to 2200 photos per canon so far    all loving family shots from across the country  .

thanks canon for making my family happy and able to share our family photos again  .

i'll be purchasing another 5 over the next couple of months  .

thanks cnet for your accurate reviews and shopping assistance  .

ps    not a griper but sent nikon 4 cameras withy the same failure , battery door tabs broken , and they said not their problem  .

perhaps nikon planned their name to anagram nikon  no kin  .

a really great camera  .

just returned from 2 weeks in seattle/alaska  .

i am so pleased with the pictures    clear , balanced , no shake all the things i need as an amateur photographer and parent on the move highly recommend  .

i upgraded from the sd550 canon there is not comparisent  .

the sd790is far surpasses the sd550  .

i am very happy with my new sd790 .

like this product due to unmatchable canon photo quality  .

i bought this camera a couple months ago , and it has been really awesome  .

the pictures it takes are fantastic , and they have great quality  .

