simple , record what i want to watch it when i want to watch it  .

easy to use for the new tech literate person  .

not for those stuck back in the 50's in tv watching mentality , unless you have someone who can show you how to use it this system is for the new technology literate people  .

if all you know how to do is change channels , it may not be for you  .

my 86 year old granny loves it cause we recorded some of her favorite old movies she can watch anytime  .

she exclaimed , what will they come up with next  .

has to be one of the best products on the market  .

of course we got it free with dish network promotion for new customers  .

who would pay for it , when they will give it to you for free  .

the picture is crystal clear , especially on our new high definition tv  .

you can see the details in all outdoor films , and the color quality is fantastic  .

you can actually almost count the feathers on birds  .

and it shows what movie stars and model really look like up close  .

really , really good  .

great for new action movies and all other programming  .

i see why the won the best award  .

enough said , get one , you wo not be sorry you did .

great machine almost all of the cons in the main review have been fixed well worth the extra $5 a month updated  .

on jun 28 , 2009  .

this is easily the best hddvr that i've ever used , and i've had directv and comcast previously  .

not only is the monthly cost far less exuberant , but the dvr itself is a superior machine  .

user friendliness is a big deal for me , since my roommate is what you might call technologically illiterate , but even he can utlize all of the functions on this receiver  .

the 722 model 350 hours of stock availability compared to dtv's crappy 150 and comcasts even crappier 100  .

also , this receiver has many functions that are a godsend  .

you can literally record three programs at one time while simultaneously watching a 4th pre    recorded program  .

its unbelievable  .

as i've already stated , i've had several dvrs before through other companies and this one is easily the best i've ever used .

if you want a state of the art dvr look no further  .

this will take your tv watching to another level i have had all the other dvrs  .

nothing compared to dishes 622\722 .

thanks dish keep up the superb work .

i just upgraded to the vip 722  .

the choice is easy and i have no regrets  .

i had directtv before i switched to dish sd  .

i is much more impressed with dish , hands down  .

dish suited my channel choices much better than direct  .

then after six months of sd , i bumped up to hd  .

on my vizio 37 lcd , i get a great picture from hd and the sd is not bad either  .

the completely user friendly basic function is great for even my 5 year old  .

she can easily find her recorded sponge bob's in 2 seconds flat  .

plus the ability to fine tune and take full advantage of the vip 722's high end features is easy to find and set up for a technofile like me  .

my girlfriends brother has driect hd and i find that the picture quality is exactly the same , the programming on direct , for my likes , is lacking and the user interface and remote are much more convoluted on direct the dvr storage and retrieval on dish is perfect  .

