the phone is easy to use has a huge screen its skinny and lightweight and another thing i love about it is its really easy to send messages  .

i couldnt ask for anything better for my first true smartphone that can handle the heat and run through it at the same time .

the screen size is large enough to be a realistic mobile office and media viewer it has all the features you can think of and several more besides it is stunningly good looking and feels great , and it is a very capable tool  .

all of it's features work properly  .

it is not lacking in the way many of the other comparable devices do  .

had issues with it freezing up constantly  .

i reformatted the sd card and added my music by syncing from windows media player on my home computer to the phone instead of just dragging them onto a folder on the sd card  .

once i did this , all of my issues were resolved and the phone operates flawlessly .

this maybe my last phone ever  .

i love my hd2 and would not trade it for any other phone  .

it has been very stable and fast , fast , fast  .

i had an iphone 3g and that is like an appetizer for the full    on smartphone experience that is hd2  .

there is an adjustment period of about a day to get used to htc's sense gui , but it is sweet  .

great integration with contacts and facebook  .

so many clever touches , like the multiple sliding unlockers that take you right to new texts , emails , etc  .

great phone , better than the iphone , do not let windows mobile haters keep you from checking it out updated  .

on jun 2 , 2010  .

the bottom line is this phone is worth it even though its battery life is not great it still has a wonderful system and a great display .

after three years of blackberry devices , most recently the bold 9700 , i decided to try this device because of the screen and the fast processor  .

i honestly thought i would send it back after the trial period due to the lack of a keyboard and due to my love of blackberries then i got it in the mail  .

the screen is impossible to describe to you    everyone who sees it wants it  .

the form factor is not too big , and it is thin  .

the processor is blazing fast  .

the phone can even be used as a wifi hotspot for multiple devices    and it is fast too the windows mobile os is highly customizable    which i love  .

i can make the phone behave very differently with minimal effort  .

b n nook reader ; blockbuster video rentals ; blazing fast web browser ; music ; movies ; oh , and a great phone too one of the essential things for me is that this device had to sync my two g    mail accounts and the calendar on one of them  .

if it did not , then i would not be able to use it for work  .

well it does  .

the calendar even syncs faster than on my blackberry this phone has been a wonder for me  .

one lasst reminder , you do have to perform minor maintenance on it (ramclear ; task manager) every so often to keep it with its best performance .

you cant beat this phone  .

by far the best phone created out there .

the four os out there for smartphone are ; blackberry , android , iphone and windows mobile  .

i have tried them all and all on the right device work great  .

i think for some time windows mobile is running dead last  .

the new entry into the race htc hd2 running windows mobile 6  .

5 is by far a great phone  .

i could be dead wrong but a lot of people like this phone and most more than the iphone  .

hd2 is a smooth piece of work and the design is great  .

this phone blows my old blackberry curve away  .

i feel that you have to give credit where credit is do  .

they my have laid some bombs in the past , but this project is a solid effort  .

way to go boyyyy  .

(htc hd2) rocks .

don't let people fool you , windows mobile is an incredible smartphone os , but if you think that the iphone is a smartphone , we're talking two totally different worlds  .

the iphone is the worlds best feature phone , but the lack of multitasking , productivity software , expansion options , and limited settings in the os do not make it a smartphone  .

it is still laughable , that windows mobile 10 years ago , has greater power and features than the iphone does today so , if you just want a gadget phone , this is not for you  .

however , if you truly do want a netbook replacement that fits in your pocket , you can get no better as for those who complain that the battery life is poor , i think they must have defective devices  .

for having such a tiny battery , my phone with heavy use all day long with exchange , internet , rdp , and web use , will still have 30    50% battery when i get home late at night  .

think that is bad  .

try that with your laptop sometime and tell me how long you can go  .

do not compare it with your old razr phone , they're not even in the same world also , i'm not sure how this phone can feel clunky  .

yes , it is big , but not in comparison to the screen  .

look at how much wasted space is on phones like the iphone and the droid  .

there is a lot where there could be a screen  .

this thing feels solid yet incredibly slim in your hand  .

the solid body is the best quality htc has put out to date .

amazing phone , no problems with it so far  .

as for the call quality talked about earlier , i don't notice any problems except when you first get it  .

you have to adjust the call volume while on a call to get it to your desired level  .

as for the hanging up and calling randomly , i have not run into that problem maybe other people just do not have the settings set on the phone so that when you put the phone to your ear , it blacks out (kind of like what the iphone does)  .

hope this helps anyone that has doubts about the phone .

if you want the best mophone out there today  .

get this one  .

it's awsome  .

and despite some reivews saying that it's too big  .

i expect they must be about 4 feet tall and have hands the size of a mouse .

oh , did i forget to mention that the hd2 will allow for dual boot  .

meaning you will be able to run windows mobile as well as android os's  .

it is a close battle but , the hd2 phone is officially better than the nexus one and the iphone 3gs  .

check out phonearena's official review  .

its some reading involved and a video at the end for the apple iphone vs htc hd2  .

i've played with both and although the nexus one and the iphone are absolutely great phones , i bought the htc hd2  .

the only disadvantage i the hd2 has out the box is that the windows mobile 6  .

5 market place has nowhere the amount of apps that the android market has  .

but , once again , you can load android on the hd2 so , problem solved  .

but , take windows mobile 6  .

5 and add htc sense and wa    lah you have a phone that does what android does  .

the hd2 it takes the best parts of every innovative cell phone ever created and combines then into one phone with a 4  .

3 inch touch screen  .

even if you cannot stand touch screens , you will appreciate the technology that went it the hd2  .

and to make it even better  .

you have the swype texting feature which is absolutely wonderful and a time saver , believe me    )  .

opera browser works much better that the ie browser  .

ummmm , there's more but , i do not want to  .

