i'm coming from an iphone 3gs  .

my dad (a seagate engineer and tech nerd) took the iphone and i got the nexus one  .

he's constantly feeling like i swindled him  .

the oled screen is gorgeous , the multitude of options it's just a great phone some people complain about the little ball (or phone   as i've heard it called) , but i love the ability to customize its color based on text vs email , etc i rooted it and installed the cyanogen mod and that added even more functionality (720p video recording back before froyo 2  .

2 ,  .

flac native support , etc  .

) this phone is just fantastic  .

but then again , it's android you should love  .

the aesthetic quality of this phone is merely its material form   )  .

i've been an android fan since day one , bought the g1 the first day , out of contract full price ; bought the nexus 1 first day full price and have never regretted either purchase  .

for those of us who dislike touchscreen only , this phone has been an absolute blast  .

it's a freakin speed demon , and despite being so old (9 months is an eternity) , it's still on par if not better than the other droids and the iphone  .

it's also so much more than a phone , it's a minicomputer , and in 10 minutes time with the help of the forums i went from zero programming tech skills to rooting and installing system apps , replacing the radio  .

the best part is , such tinkering while absolutely not required to have a great super zippy experience is not only allowed by encouraged  .

reminds me of the scion commercials , (except not a pos) , you can customize this phone any way you want  .

android already works like a computer allowing you to place shortcuts on a desktop , widgets alone beat ios's system , the power control widget that comes stock allows you to turn on wifi , bluetooth , gps , sync , and change brightness with literally one finger touch  .

plain vanilla android is the best because you get updates the quickest , and if you want a custom skin similar to htc's sense or motorola's motoblur , in five minutes you can find and install it  .

this phone's absolutely incredible , and i've yet to see anything that the iphone or any other droid have over it  .

except the stock keyboard , the iphone keyboard is still the best stock keyboard hands down , but in two minutes i installed swype and have been blowing tap to type phones out of the water  .

i still miss my 5 row keyboard , but the nexus one's screen has assuaged the homesickness a little  .

two lacking features , does not have forward facing camera , or an hdmi out  .

not deal breakers for me because no one uses facechatting anyways , and if i'm at home where my tv is , i'm connecting my laptop , not my phone  .

as mentioned before , if you're getting an android phone , this is the one to get , stock vanilla offers the most versatility and is quickest to get upgraded  .

here's to hoping google releases a nexus two at some point  .

best phone ever  .

the nexus one is definitely the best choice in phone that i could of made  .

i am a previous owner of the iphone 3gs and purchased the n1 in april  .

i knew that the iphone 4 is soon to be released but i is amazed by the package the 6    month old n1 came with  .

fast processor and beautiful screen  .

the full customization of this phone is something the iphone 3gs and the iphone 4 just cannot touch the browser experience is superb  .

for the n1 being released back in january , it is simply still neck and neck with phones being released present    day  .

the speeds and performance of the nexus one are amazing  .

with the recent update of froyo 2  .

2 , speeds have increased 450% from android 2  .

1 users do have issues with dust under the screen and software glitches  .

as i said before , i purchased my device in april and i haven't experienced any problem whatsoever  .

i have noticed the screen is not as scratch resistance as it may seem and is behind that of the iphone in this department  .

i have one scratch on my screen and nothing more  .

it is very resistant but to say the least , it is penetrable  .

final word   for $500+ this may not be the phone for many  .

it is sold unlocked and is still being sold unlocked as a developer phone  .

this means that you aren't able to upgrade phones ( unless t    mobile has something planned) therefore you are stuck with a high priced phone  .

it would not be a phone i'd purchase this very day  .

there are many phones that have just been released that equal to or are more impressive than the nexus one  .

the droid incredible would be my choice  .

however , i'm on at t and there is not much of a selection of android devices if you are with at t and want a powerful android device   get a nexus one  .

really awesome  .

i dont have words to describe .

with froyo on this phone , it's still one of the top smartphones on the market  .

the best thing is the stock android rom built in , very much the same android roms i installed on previous windows based htc phones that made me fall in love with the platform  .

i've seen the future , and it's name is android  .

i is a very heavy windows mobile user , constatly flashing newer roms on the phones , and never content with the closed apple system  .

this powerful android device takes one root and nothing else is necessary to customize , at least not at the risk of bricking my phone  .

i am even running the nexus version of froyo on a tilt 2 , a touch diamond , and an htc fuze .

i received my nexus one 8 days ago and could not be happier  .

this is my first android powered phone and i'm enjoying my time with it so far  .

a lot of people seem to be having problems with the phone and all i can say it's probably user error  .

learn to use your phone to it's full potential then write a review  .

you should have done research about the nexus one (and android) before you purchased it , especially if you are paying $529 bottom line   sexy , dependable and powerful nexus one is a phone for people who know better  .

i'd put my nexus one up against any apple ithing (i is an iphone loyalist for 2 years) any day  .

i give nexus one 5 stars because it allows me to manipulate it the way i want  .

android is the future .

i give it 5  because no other phone comes close to what nexus one delivers , but still there is room for a lot more , call me a demanding consumer i want direction on maps from where i point to my location  .

turn by turn direction should be also be available on bluetooth headset  .

infact they have probably forgotten how well the headset can be used with such a lovely device  .

hope they fix this in froyo ota  .

also i want to sync with multiple calenders , ims of gtalks basically different ids  .

