bottom line  .

if your a real music buff and have a huge library this is the mp3 player for you  .

no stupid apps , and no headaches i love it , had the zune for a couple years now and still have not used up all the space  .

sound quality is amazing which is what really matters not how many apps there are for it  .

the zune120 is a 3rd gen zune device and keeps the flavor of the previous hdd based models  .

though it is now outclassed (except in capacity) by the zune hd , it is still one of the best pmps on the market  .

listen , if you're considering a top    of    the    line mp3 player , the zune is the way to go  .

it's just that simple  .

it is the best , and now with the zune hd rivaling the i    touch and i    phone , it will stay that way  .

microsoft has not been great with their vista os , but they've hit the ground running in the mp3 market , i think the best is yet to come with the zune  .

no entry provided  .

microsoft zune is the better choice  .

controls are the number one feature  .

battery life is superb  .

the software and online abilities are top notch , i had a much easier time with podcasts and music  .

zune allows you to move ahead in time on a program , ipod goes to the next selection everytime  .

zune hd will kick ipod to the curb .

think one of the things that is left off in the $180 a year is that includes it for three zunes not just one  .

now that zune also includes 10 downloads a month drm it is a no brainer for me  .

i have one and my 2 preteen kids have 1 each so $5 a month or $60 year for each one is the best bargin i pay for  .

plus it allows me to stream the music from 3 pcs via the software so i use that at work and home some too and review whole songs before downloading , no 30 second clips i have converted a couple of friends with kids from jr  .

to college who got tired of the itunes bill at $35 a month for each user then thier own very very family friendly device if you want one for you and others to share the zune pass .

the zune has more space for all your favorite music  .

zune market place is awsome  .

for when your looking for that new album is out  .

zunes social is cool because you can share music with other zunners and for 120gb mp3 player you cannot beat the price .

the zune is paced with many features that the ipod classic had never and probably will never have  .

i definitely like all of the new features in the zune including the buying from fm , and the marketplace on the zune  .

the only bad thing is that you need a zune pass for most of those features  .

the zune finally got a clock and a screen lock  .

the battery has never died on me when i've continuously used it (i fall asleep with it on  .

) it is nice that microsoft finally added some simple games to add to the community games that were originally available  .

i do not like how the quicklist playlist is gone and the now playing playlist replaced it  .

the actual 3  .

0 software is very glitchy , but the 3  .

1 software got rid of all of the bugs  .

its upsetting that the ipod already had the popularity factor because if they started at the same time , the would be a real competition .

just pure awsomeness to its purest form plain and simple .

this product may not be slick and smooth like the ipod  .

but its user interface is killer compared to the ipod classic  .

and you gotta love the huge screen , i enjoy watching movies and podcasts which they have a huge selection of  .

the software is easy to use better than itunes and i recommend everyone to buy it  .

they gave it a biased and bad review only because they are supported by apple .

i like the fact that microsoft's firmware updates allow 1st and 2nd generation zunes not to be tossed out in the garbage  .

to me , that says a lot for zune  .

i love the zunepass and have downloaded tons of music  .

since i have no intention of dropping my subscription , i don't worry about losing it  .

plus , the 10 free songs per month with paid subscription (to keep) makes it worthwhile  .

i also love the fm capabilities rsbd  .

or is it rbsd  .

anyway , when a radio station shows call letters and title and artist playing       although not all radio stations have that  .

i have not used buy from fm but assume it would be good  .

all in all , a good player  .

and also , i bought the extended warranty , so no worries here i also love their playlists  .

my only problem with it is that when i download a playlist , it treats each song as an album when there's only one song there  .

maybe it's something i'm doing wrong .

going all the way back to my original ipod purchase in 2001 (i repurchased twice due to faulty workmanship) , i have felt that apple provided an inferior product       both functionally and technically  .

