the product is great for everyday and vacation photography  .

art photography as always is done with medium to large format film  .

the d200 with the 18    200mm lens makes everything i do more fun  .

i take it with me when hiking , playing golf or enjoying an outdoor evening concert at the park (evening    it's the only time i opt for a fast lens) .

i've had this camera for over a year and it has never let me down  .

i would say just about every picture i take is perfect and the few that ar not are my fault not the d200s .

this camera has been the golden experience compared to many many many other digital's thank you to whoever guided me properly on this  .

at $1500 now for d200 , nothing really match up with this semi pro d    slr the winning point of d200 is not just the image quality or the feature  .

it is a combination of the build quality , handling , feature and quality compare to my canon 5d , i would still say 5d has better image quality at high iso  .

but i love d200's handling and control layout much better  .

if you shotting raw (which i do) , the difference on image quality between this two is very small and i will choice d200 over 5d for a better and quick handling and feels  .

of course if take cost into account canon 5d will still cost you over $1200    $1500 more compare to $1500 street price of d200 for me a perfect camera is combination of everything  .

and i believer nikon d200 is just perfect at it's class .

this is the best camera on the market right now  .

aside from the mighty d2xs .

have had nikon d70 and canon 5d imho this is the best camera made for the money for my professional work .

i have been using nikon for many years  .

i have never had a problem with one  .

i have just upgraded to the d200 and cannot fault it  .

the camera is well built and easy to use  .

but more importantly the picture quality is beautiful with clean colours and nice tones  .

i have blown images up to 12  16 and i cannot tell the difference to neg  .

i is trained with a ba in photography so i know what to look for  .

i recommend especially with the battery grip it improves the handeling even more  .

this is the one to shop for  .

of course , the d70 became the camera of the year for 2004 and this one has already had it's vote to become the camera of the year for 2006  .

the workmanship , quality and etc are just the top of the list of what this camera has to offer  .

i have been using this camera for the past 300 shots and everyone of them has been better than the previous one  .

since this is a pro series camera it would take sometimes and many trials to get to know it  .

i have been using it with 10    20mm , 20mm , 18    200mm and 10  .

5mm with some magnificant results  .

this is certainly make your money worth .

to good to be true  .

i picked this camera up at a local photo store december 14th , body only  .

at the same time i ordered the 18    200mm f/3  .

5    5  .

6 g ed    if af    s vr dx zoom    nikkor  .

for the next few weeks i used the camera with a few older nikon lenses i had  .

everything looked great , image quality is excellent  .

on december 21st i picked up the 18    200 lens  .

what a combination , easy to carry  .

i have one small bag that holds the camera with lens my other choice is the canon 5d , but i just cannot see spending the extra money on the 5d when i know in a year or two , both of these cameras will be obsolete  .

i did borrow a 5d from a friend and rented a nikon d2x  .

the controls on the nikon just felt better  .

the d2x performed as well if not better than the 5d  .

but the image quality of the 5d at full aperture at the edges is horrible  .

and i is using good lenses too the canon 30d and 5d are tempting , but why pay for 8mp (30d) when you can have 10  .

and even thought the 5d has more mp (12mp) of what use are they if you have to chop the edges , not to mention the body is almost twice the price bottom line , it's a fantastic camera , the price is right and most nikon lenses are excellent .

this camera finally makes the semi    pro nikon cameras come alive  .

the d200 to a certain extent put the other ds (50 , 70 , 100) to shame  .

with one of the excellent nikon lens (i did not buy the one that is released with camera)  .

there are so many pro features that it takes some time to read the manual and learn the camera  .

that is right folks , read the manual .

all i can say is wow  .

this is my 1st nikon slr and i am sold on it after just 3 days  .

it took me about 1 hour to master it  .

very easy to use and really solid feel  .

i will repost after using it for some time .

i have been testing with this camera for a few weeks now , and i have been loving it  .

it is super responsive and takes beautiful pictures  .

i really like the layout of the controls over other cameras i have tested  .

the large screen is key and very bright  .

i know that there is no perfect camera , but due to what you get for this price , i had to give this camera a 10  .

if you are looking at cameras in this price range do yourself a favor and get this one  .

the canon d20 is a good camera too , but falls short of the d200 .

this is the dslr that i have been waiting for  .

if you are a nikon slr user , either an advanced amatuer or professional then you have to look at this camera  .

the viewfinder gives a feeling very similar to the f100 , f80 and other similar nikons  .

it feels like a quality camera and performs like one  .

i have had mine a week and am estatic  .

this is the dslr camera that i waited for that would prove , at a reasonable price to be a worthy succesor to my f80 and f90 .

first of all , i've had the d200 for two weeks now and it is amazing  .

i currently own the d2x , the 5d , the 20d , the d50 and have also owned the 1ds  .

this is without doubt the most pleasurable to use over all and if i could only keep one (which i'm well on my way to doing) it would be the d200 and the f6 (i know i only said one but the worlds best analogue slr is in a league reserved only for it's self)  .

now on to aimee baldrige  .

one user wrote aimee baldrige's review sucks  .

my opinion is that not only does it suck , all of her reviews suck  .

however i do not blame her as she is only the messenger and you know what they say about not shooting the aforementioned  .

i blame the wigs at c|net  .

cannot you guys get someone worthy of our respect  .

someone who actually knows and has a passion for what she's doing as opposed to someone who looks like she's read a bunch of other ill written reviews and decided to repeat what we all already know  .

it is not her fault , get someone who will tell us somthing about the product from a perspective that is beneficial to us , get someone who is passionate will you please  .

as we're on the subject , how is it that users feel inclined to write assinine comments like this is the camera we've all been waiting for without actaully having the product in their hands or indeed owning it  .

if people are going to review products without having any first hand experience , then what does that say about the integrity of this site  .

to offset the very unhelpful readers who are reviewing this camera as a '5 or 6 or 7' before they've even touched it if you must comment on this camera , at least read the comprehensive dpreview  .

com preview , or some other detailed hands    on review first .

this is my fourth nikon dslr , having the d40 and d80 ( just sold my d1x ) , and am tickled pink with it ( especially since i waited to get it from b st b y for $600 )  .

all the features i need ( dedicated buttons for wb , iso , bkt , focus area switch , and such ) , and in a magnesium body  .

same battery as my d80 ( too bad the mb    d80 won't fit that'd save me another 100 bucks or so )  .

and too bad i cannot use my wireless ml    3l remote , either  .

i haven't seen any artifacts in my images , and they're sharp enough through my 18    200mm vr  .

if you're getting fuzzy images , i'd check your technique , rather than blame the camera  .

gobs of customized settings , and no stupid scene modes the d40 is awfully small , even in my little hands ; the d1x is a monster  .

both the d80 and d200 are just the right size  .

the d200 does not have the d80's ( or the d40's ) tendency to overexpose  .

i wish it took sd cards , but the 4gb microdrive i'm using seems to be working just fine ( it came with my d1x , but is unusable in it , so it is no extra cost to me )  .

all are capable of capturing excellent images ; the deciding factor is the ten inches behind the viewfinder .

i have the upper advantage of rating cameras because i get to not only play with almost everyone of them , but i sell them  .

