i is a die hard canon fan  .

i researched alot of cameras  .

i have purchased canons before  .

i honestly could not see the value in the canon 20d  .

it felt plastic , cheap and could not understand the cost  .

the kit lense is a complete jock  .

the price difference between the nikon 70d and canon 20d is large  .

i know there are critics who will argue about the features of the canon vs nikon , don't waste your time  .

for me , i am a beginner and am still learning  .

i had some trepidation about switching camera brands , but again nothing about the canon impressed me  .

the features presented by others didn't seem like they would make a difference for my use  .

the nikon quality is incredible  .

the pictures are so great i cannot believe i took them  .

the color , clarity , and ease of use are worth considering  .

my canon g5 doesn't even come close to what this camera produces , period  .

for the price i doubt anyone would regret the purchase  .

you won't believe the pictures  .

the model i purchased included the 18    70 lense  .

extremely well built lense  .

the price of the canon lenses are ridiculous compared to the nikon  .

anyway , so far , i am so impressed with this camera that i am glad i switched  .

nikon has one happy consumer here  .

i wished i would not have waited so long before getting this unit  .

i wasted a lot of money on canon cameras  .

i could have got this one and been very happy  .

when i saw the low consumer rankings for this camera i is a bit dismayed until i read the opinions that say this is not much different than a d70  .

well , i don't own a d70 so those comments do not count for me  .

i switched from canon to nikon and i'm certainly glad i did  .

it's hard to improve on near perfection , but the d70s now has the intelligence of the nikon d2x  .

this is my first digital slr and i love it  .

i checked out the rebel , but prefer the hand feel and control of the nikon (besides beign loath to carry a camera with a name like rebel who are we kidding here) it's been on many trips with us , and has performed superbly  .

the color is good , ease of use and intuitive controls make it a joy to shoot with  .

i do find the auto focus locks on to objects not my subject , and some shots are soft  .

but for less than a grand , it's fantastic  .

overall a great camera  .

i have owned and used the d70s for about 14 months  .

nikon's upgrade from the almost legendary d70 is minimal    the slightly larger lcd and a remote socket the only noticible changes although the battery does seem to have a longer life , as claimed by nikon i suppose it's difficult to improve on the groundbreaking , almost perfect d70  .

i say almost perfect because i've never liked that cf card door  .

it's always given me the feeling that it's going to pop open at the worst possible moment (although it never has yet  .

)my initial worries about the overall build quality have generally subsided    i've hauled my d70s across continents and it's held up well despite a few scrapes egonomically , it's excellent and i would be splitting hairs to say that i would like a tadge more weight and bulk (a power pack may have done the trick here)anyway , for someone who lugs his slr evrywhere i'd only complain about the weight  .

image quality , speed , versatility and just about everything else have been well documented so i wo not go over them again  .

the d70 series may well go down in history as the forerunners to every dslr that has and will follow , are we using a future classic  .

the improvements between this and the d100 are night and day  .

this is your best buy for a digital slr       whether you're a pro or an amateur  .

do not be fooled into thinking you need a more expensive (  heavier) camera  .

the d1x will break your arm  .

with this , you get nearly all the same options and it feels like a feather in your hand .

don't be put off by any low rated opinions  .

if you take the time to learn how to use this instrument you will be delighted with the results  .

you do not need mega pixels , it is more important to know what to do with what you've got  .

the histogram display will help achieve a 'perfect' result  .

the 18    70 lens is very , very good , but you do , in addition , have access to the vast nikon lens system , a growing number of which are designed for digital use frame rate (especially with an 80x card) and battery life are both very impressive recommended  .

i upgraded from a coolpix 8800 (but kept the 8800)  .

this gives me many more options , and the results so far have been fantastic  .

i have found the options to be easy to access , (more than one way to get to the needed result) and the instant on has been wonderful .

bought this camera when it first came out in 2004  .

i have taken thousands of pictures in various light conditions and movement situations  .

been very pleased with the picture color quality and light control  .

the override manual options take a while to master but work great  .

no problems with my camera yet , a year and 4 months .

buy one if you can  .

i've owned my d70s for a month now  .

this is my third digital camera , but until now , for quality photography , i've been a film camera diehard  .

the d70s is a camera for the fairly serious hobbyist , and the price does reflect that  .

the number of buttons on the camera looks daunting at first , but the layout is logical , and it's easy to use , especially if you've used a nikon film camera before  .

the automatic and program modes make it easy to use    even my kids take have taken good pictures with it  .

the only downside i found is common to all slr's   it's big and bulky  .

be prepared to carry around a big camera bag full of accessories .

this is a great camera  .

my wife uses this as a point    and    shoot and i use the more advanced features  .

it's a great combination  .

it did take a little bit of tweaking on my part to make to point    and    shoot pictures come out to the level i wanted (using customized settings)  .

however , we can both use the camera and get great results  .

action is easy to capture with the high speed and great traking auto focus  .

definitely a great value for the money .

i cannot imagine anyone short of a working pro needing anything more than this camera i use it primarily for patient pictures and power point presentations  .

the macro lens i have (nikon) couples perfectly and the clarity and detail is amazing once one learns to use the digital features post    photo (i strongly suggest the nikon digital school courses) the raw (nef) photos allow incredible manipulation and correction of almost any photographer's errors if one can afford to purchase this camera and nikon lenses , the images produced will truly amaze even the most experienced professional photographers .

i've been into photography for 40yrs , mostly as a serious amateur  .

i've owned and used several high end medium format and 35mm format systems  .

i've been sitting on the fence reading and studying this digital revolution until this year and so now i'm using and getting to love this d70s  .

although not a pro level camera like my f5 , it shoots pretty fast and has almost no noticeable shutter lag  .

i say almost because i'm used to shooting with the f5  .

what i really like is how nikon placed the most used functions in a logical and very easy to set place on the camera  .

the things that you want to do quickly like change resolution , delete , iso , ev comp for flash and camera can be done without going into the menu  .

for my first dslr , i is able to use it pretty well without reading the book .

this camera seems to be able to remove all doubts i may have on wether i or the camera is at fault in taking some difficult shots  .

d70s works great with my mac and iphoto  .

as of this time i have not found any real faults , time will tell  .

so far this is the best camera i have ever owned and used .

just a dream to use .

i've had 2 minolta 35mm a 7000 and 8i  .

this camera is the reason i have finally and grudgingly given up my film cameras .

i love my d70 and thank nikon for updating the firmware to match the d70s  .

i am not sure all the news about it is warrented  .

the d50 is a new product  .

the d70s is just a minor hardware change and a big firmware change from the original d70 .

i have had this camera for 4 months , shot about 5 , 000 pics and it is an excellent tool , easy to use and adequate for about anything you want to do  .

i especially like the raw/jpeg feature allows for quick evaluation of shots and how they look great tool for the advanced photographer , will last indefinitely with little need to ever upgrade .

nikon optics are fantastic  .

you cannot go wrong with this camera  .

great for digital photo beginners or experts .

this is a very large heavy camera especially for my wife  .

the positives are worth the extra effort and both of us agree on this  .

the quality of the pictures and the ability to shoot multiple shots even with the nikon 800 flash in use is great  .

we use it mostly for church photography  .

use the flash extention arm so you can keep the flash in the proper alignment .

a great choice for most serious hobbyists  .

