bottom    line the nikon d90 is the perfect camera for amateur and professional photographers  .

with the nikon nikkor 18    105 mm dx lens this camera is definitely one that will make other photographers very nervous when they see you using it .

if you are looking for the best dlsr go for the d    90 it's worth it trust me .

the movie in hd is excellent  .

gives tremendous versitility to the already fantastic camera  .

with adequate training more manual modes can be used giving excellent results  .

amature can use totally automatic with very good to excellent results  .

image size can be adjusted to save memory space or left as is for total detail  .

photos can be taken in jpeg or raw or both at the same time  .

trmemdous versitility for amature to pro is not as robust in construction as higher end models so more care needs to be taken to prevent damage  .

camera renders better images with only a minimal amouht of knowledge but the more the knowledge the better the image  .

third party dvds are great like magic lanturn which explains it all in simple terms making anyone a pro multi menues are complete  .

user will need to scroll thru every menu several times to get a grip on all the options available  .

some you will want to set permenanatly for the most part  .

the choices you want are easy to find and use , i use 'a' or apature priority mosly with iso at 200 , this works out best for almose every shot  .

the camera does the rest for shutter speed  .

you may want to experiment with 's' for shutter priority and then also 'p' for programed mode over all this camera offers everything one could want in a high end camera at a very reasonable price  .

it uses the same lenses the very best nikon bodies use so there are no restrictions on lens quality  .

the vr attribute is escellent for increasing sharpness in image quality limiting noise  .

the self cleaning function can be set fo one of several different modes and times , your choice bettery useage is very low  .

seldom would one ever need to carry an extra battery  .

optional battery packs are available for those who may need larger draw many great options are available that work excellently with this model  .

over all is an excellent choice for any photographer  .

i searched the web for months studying cameras of all brands and odels for months before settling on nikon and then studied nikon models for months before settling on the d90  .

so far i have zero regrets on the camera  .

it usually comes with the 18    105mm lens if you get a kit , but i would recommend the 18    200mm ii model which has a lock on it where this model always has creep and the lock prevents damage  .

if wider angle sots are needed i recommend the 10    24mm zoom which i also bought and this solves almost any wide angle shot need  .

