panasonic has definitely made a strong product here  .

i own the 50 v10 and enjoy the beautiful picture and various adjustment controls immensely  .

the blacks are gorgeous and the motion processing is , in my opinion , very good on this set  .

i have a roommate with a 42 pioneer kuro in the same livingroom , and he agrees that the movement seems cleaner on my panasonic  .

the picture quality between the two are very close , in fact , they are so close that neither one of us can really see a difference  .

coming from a pioneer fanatic , that statement is quite the accomplishment coming from him  .

i find that thx mode , while decent , is not the best that this set can dish out  .

i choose to use my own custom adjustments and am honestly amazed at the quality of picture this panasonic can accomplish  .

i would definitely recommend this set to users who enjoy that deep black and theater quality movie production some of us crave  .

if it fits your budget , definitely consider buying this tv  .

the best picture quality for the size  .

excellent color accuracy , in both custom and thx (after professional calibration)  .

excellent black  .

excellent 1080p/24fps process  .

it meets all my expectations .

100% satisfied with overall design and functions  .

remote is great and sharp  .

unbelievable picture when broadcast in hd , wish all other hd would broadcast same picture quality but some do not  .

i bought a 50 v series model and just love it  .

this is the one to buy , no doubt about it  .

way to go panasonic  .

we purchased a lg and we found that there is a shaky movement of the picture , returned it and bought the perfect tv  .

we waited for 2 weeks for this tv from best buy because it is out of stock  .

it is well worth the wait  .

overall picture quality is incredible and when my kids play the wii on tv it looks great  .

this is one of the best picture quality tvs i have seen even if not in hd  .

overall hd quaity is excellent  .

i enjoy watching tv more than ever especially football games and hd movies  .

i have not seen other tvs with such quality pictures but do agree with the editors of cnet  .

i continue to be impressed with the quality picture of this tv  .

thanks for the great reviews and guidance to make the right purchase decision .

i went from a 42 inch toshiba hdtv to this new panasonic v10 and it is like going from a bicycle to a ferrari  .

highly recommended  .

i am very happy with this tv  .

i had a polaroid and magnavox before but this beats them  .

its hooked up to dish ( is lucky to find a sweet promotion offer) and the picture and sound are exellent  .

im happy with it  .

i got my dish deal from lingo  .

dealtap  .

com if you want to get best of of this tv .

panasonic outdoes all other current manufacturers with this one last tv i'll ever buy  .

picture looks great right out of the box , waiting to break it in before tweaking the settings  .

picture quality for movies and sports equally impressive  .

looked at every lcd and plasma twice , glad i made the right choice .

without combining the tv with good cables ; the tv's black level and color depth were not as impressive as the latest available kuros  .

i replace the original power cord with a high    end audioquest nrg    3 power cord plugged on a high    end ps audio power conditioner  .

this resulted in an noticeable improvement of the image and of the sound  .

the power cord and the power conditioner also reduce significantly the noise level of the image and made the colors deeper and more realistic  .

i also put an excellent power cord with the cable box with a 1  .

3b hdmi cable  .

when associated with the right accessories , the image is better than the elite pro    111fd updated  .

on jul 24 , 2009  .

well after months of going over reviews on different sites and forums , i decided to go with the samsung pn50b650  .

it is said to have better color than the panasonic and great blacks as well  .

the bezel i didn't mind much , but i still prefer the classic black bezel  .

well when i got the samsung , i gotta admit , it is sexy  .

it had very great color right out of the box but there is 1 huge problem  .

i'm a fairly picky person when i buy something big , almost everything has to be perfect to me for me to be satisfied  .

the samsung had a very annoying buzzing sound that i could not stop hearing  .

obviously when i is playing a game or watching a movie , i wouldn't hear it , but the second i had the volume off or down , i'd hear the buzzing  .

this buzzing was not from 5inch away either , it is 7    8 ft  .

by the way , i live about 100 ft  .

above sea level so that was not the problem  .

i thought it is defective , so i exchanged it  .

same thing , except this time it is only audible from 5 ft  .

away or during quiet movie scenes  .

i had enough and made a change i spent the extra $400 and got the panasonic tc    p50v10 from 6ave  .

com  .

they had a great price plus i used a coupon code to drop 6% more  .

(that code is couponcabin )  .

the tv came and i broke it in  .

and the picture is gorgeous  .

it is 1 sleek looking tv too  .

the remote is decent , but i use a universal remote that connects everything together one other thing i noticed between this tv and the b650 is that the b650 had a tendency to have higher ir (image retention)  .

after breaking the b650 in , i would still get some ir after 2 hours of gaming for atleast 20    30 min  .

with the panasonic , i hardly get any ir , and if there is any , it lasts for 1 minute tops the only things i have against this tv is that it gets a little glare with little sunlight in the room  .

i generally have the blinds closed , but every now and then it sneaks through  .

this is not a problem with the tv per se , but more of my living situation  .

one other thing is that it attracts fingerprints very easily  .

but there is an easily solution to that , a cleaning clothe , so no biggy there i'm not trying to bash the b650 , because it did have a gorgeous picture , its just i couldn't get past that buzzing  .

i've heard others having the same issues and others that have not , so i guess it all depends if you get lucky  .

i would definitely consider the b650 as well as this tv  .

but as far as myself , i'm very glad i made the extra $400 purchase .

better than any samsung and sony tvs on the market so far .

we must all buy this tv  .

i plan on buying it soon  .

this is the best tv on the market for the price  .

i love the style and i wish the review talked more about the sound produced by the speakers  .

bottom line is you wo not be disappointed , but like one other reviewer said , why no 42 inch version  .

it seems the north american market is being underserved by not providing more choice the internet content is good , but i wish i could surf any site through a browser  .

but bottom line , is this is a tv and not a computer and as a tv this is the best hdtv i ever seen for the price .

because the problems with thx mode can be overcome by adjusting picture settings , i cannot find any major problems to complain about  .

i'm overall very satisfied with my purchase  .

this is one heck of a good looking television (a great addition to my living room  .

most importantly , the picture quality is awesome , which is evidenced in particular by the deepness of the blacks  .

as the reviewer suggests , however , i have found it necessary to adjust the picture settings to maximize my viewing experience       the subdued image of standard mode just does not cut it  .

one of my bigger concerns when purchasing this model is screen glare , but i have been pleasantly surprised by the tv's strong performance in this area  .

the anti    reflective screen does a very good job , even with a few lights on in the room updated  .

on oct 2 , 2009  .

one cannot argue with quality  .

beautiful picture , lots of inputs , thx optimizer makes setting up for movies a breeze , relatively easy setup ; remote is ok (although the green viera button is in a bad position , too near the up button)  .

but the tv does get pretty warm (definitely heating up the room) , and you pay for the quality (but that is hardly unfair)  .

i heartily recommend this television , although those willing to compromise a little bit on features and quality will be happy with the g series and save a few bucks .

i is planning on buying this tv later in the year  .

i mentioned this to the manager of bb in la quinta , ca  .

and without any hasle at all he offered the tv to me for $1799  .

how could i pass it up  .

great tv       good color       easy use interface .

and thats enough for me to buy the tc    50v10  .

2008 versions of the 50 inch panasonics displayed the same judder as the 2009 samsung and lg    so the 2009 panasonic v series is the next generation ahead in terms of processing technology  .

first and foremost a tv needs to play a good picture    all those internet widgets , dlna and smart picture tuning features (that i also want , panasonic) are just nice to haves if the picture is not stable when panning .

i could not be happier with the picture on this set  .

i'm afraid to mess with the picture settings because i don't know how it could be better  .

out of the box , standard mode looks excellent  .

i'm no videophile , but i am picky  .

even compared to the bigger , more expensive sets in the magnolia rooms at bestbuy , the picture on this set handled motion without any issues  .

the black level is super  .

blacks in video are as dark as the screen when it is turned off the base of this tv is a concern at first  .

it's 15 deep  .

luckily my entertainment system is just a little deeper  .

the pivot is nice for getting to the cables behind it  .

menus and controller all seem nice big (only) complaint is that the first thing i wanted to do is download software updates  .

it connects to the internet , but download is stupid slow  .

my internet speed should not be a factor (i've got the higher speed fios)  .

if it is the firewall , i'm not sure it would connect at all (but i'm going to try that later)  .

in any case , every time i try to start viera cast , it says i need to update  .

