i just love my sammy  .

it is just a fantastic set  .

actually newer sets still cannot compete on quality , because they are just catching up and cost way more  .

i won't go into the ownership details as i have done so already on amazon where i bought it  .

but it has been discontinued and i cannot get motivated to bragg about it anymore  .

it is just a sad state of affairs that we only face expensive alternatives in this present economy plasmas are finally coming down in price in smaller screens , whoopie  .

but i cannot stand the shiny   screens those things have  .

i do not see how anyone can see anything on them , unless they live in a cave  .

and then the mirror reflection of the viewer would be just a horrible  .

if they ever build a 61 plasma with a soft screen reflectivity and low burn in , way cheaper , then i just might by another tv  .

but i'll keep my sammy forever  .

this tv is outstanding  .

i decided to buy a second after testing the waters with the first  .

this is a very inexpensive way to get into an led tv .

i'll follow up with this review once i hook up my blu    ray player and give you the blu    ray high def experience review dlp+led+1080p+3d+3hdmi+usb+61 inches+slim design    tv heaven  .

if you don  .

t plan to hang your big screen from the wall , be sure to take a look at this set  .

warning , the image i witnessed at circuit city is not very good  .

i don  .

t know if they purposely screwed up the picture in order to make the plasma/lcd televisions look better or were just incompetent  .

i had to make a leap of faith based on several reviews when i purchased this set updated  .

on mar 13 , 2010  .

if you'd like a larger set , especially without spending a ridiculous amount of money , you truly should look no further  .

this tv has everything you could want and where else could you get a solid and reputable name like samsung , 61 of 1080p goodness with 120 hz refresh rate , and colors that will most definitely have you picking your jaw up off the ground for less than $2000  .

no where is the answer to that  .

) i purchased my set from a local best buy here in manhattan for a ridiculous price    and the experience is tremendous    so i'd strongly recommend them as your seller (but i've also heard really good things about amazon)  .

the main problem with dlps in the past is the light engine/wheel  .

it is built with bulbs that would die and would have to be changed at least once every 5 years  .

no so with this beauty  .

the joy of leds is that they're good for about 60 , 000 viewing hours    which figured even at 10 hours a day equals out to oh about 16 and a half years  .

) so    yes    they should easily last the life of the tv whatever that is to you another great aspect of dlp sets is that by default they've got a 120 hz refresh rate    something that will double the price of a plasma or led set  .

the big thing about having the 120 hz refresh is movement  .

most models of plasma or led sets now    a    days have a 60 hz refresh rate  .

this causes streaking or blurring with any sort of remotely face    paced movement    ie sports , games , action movies , etc  .

so even if you get a 42 or larger plasma or led set with full 1080p , watching jack in action on 24 or the ncaa final four or playing the latest greatest game on your ps3 will look poorly  .

not so on this amazing dsp set from samsung  .

dlp technology natively has a 120 hz refresh  .

so all of your images , including jack bauer's chases thru the city , the fast break slam dunk goodness of college basketball , or 150 mph on gran turismo 5 in beautiful 1080p amazingness will be crystal clear and razor sharp  .

i've had my set for about 6 or 7 months now and have viewed everything from time warner's hd cable to blu    ray movies on my ps3 (highly recommended as a blu    ray player , btw) to the amazing beauty that is call of duty 4    modern warfare and i say it again they're all beautiful  .

so    do it  .

go and buy this set  .

you will not be disappointed in any way  .

i recommend this hdtv for everyone that want to enjoy high quality movie and gaming updated  .

on apr 25 , 2009  .

with the he new led light source lasting 60k hours and no spinning color wheel , this set should last a long time  .

if you're not going to hang your tv on the wall , it makes a lot of sense if you have room for it  .

and remember , you can sit 7    8 ft from this set and not be too close in fact you'll need to be within 10ft to see all the detail of a 1080 signal  .

hopefully someday i'll get a blu    ray player to see it's full capability  .

as long as you do not want to hang it on your wall , you will be very happy with this dlp  .

i know my family and i am .

just buy one before they are gone  .

samsung is getting out of the dlp tv business  .

i is going to wait but amazon had it for $1349  .

i ordered it sat jan 31 got it thursday it replaced a toshiba 56 rptv that i sold in one day  .

i thought the toshiba had a good picture , this one is wow  .

almost 3d  .

but word of advice  .

do not worry about the settings  .

i went to the forums and put in the settings they recommended  .

the picture is bad  .

after alot of trouble i hit factory reset  .

i read about the entertainment mode selected sports  .

the hd blue    ray picture is outstanding  .

the colors and detail are jaw dropping  .

my wife who do not care about tv said the picture pops  .

she loves it  .

i have 2 florida doors 4 windows so the room is bright  .

this tv does not reflect any of them  .

my tosihiba did reflect light  .

( for all the remotes get a harmony remote  .

this works great  .

) the menu options are all any one could use  .

the speakers are ok  .

i use a surround sound  .

if you do not need a tv to hand on the wall get this tv before it it gone updated  .

on mar 24 , 2010  .

i do not see the point of buying an hdtv unless it's huge  .

there's no better is to get a large screen at a low price that with dlp  .

the led light source eliminates every negative of dlp , the expensive lamp replacement , heat , noise , power and mechanical color wheel this tv also gives the user a large amount of control over picture and sound parameters  .

as always consumer sets are factory set for way too much chroma level , sharpness and bightness  .

after i turned them all down about 20    30 points , and when supplying a clean source (blu    ray) the picture is almost like a broadcast quality monitor  .

before you purchase your next hdtv , ask yourself a few questions  .

do you want the best picture available  .

do you want a large screen  .

do you want to create a theater like experience , with a versatile tv that can be used for movies , gaming , and 3d  .

or do you just want something that looks cool  .

something to hang on the wall to show off to the neighbors the samsung and its 67 inch brother are only for serious videophiles  .

people who want the best picture they can get in a 60 plus inch tv  .

oh yea , and by the way , it can be had for less than 2 grand i recently purchased the 67 inch version of this tv (which i recommend if you have the space , given the price difference)  .

i am amazed every time i turn it on  .

seriously fact is , this tv has the best picture available  .

period  .

it beats any plasma i have seen and i won  .

t even discuss lcd  .

the only reason it is the price it is is because you can not hang it on a wall , and that is the cool thing to do these days  .

if you are considering a serious home theater , the only other video source i could even consider recommending is a front projection  .

while a front projection can offer a larger viewing area , keep in mind the ambient light must be low for optimum picture quality  .

not so with the samsung dlp samsung and mitsubishi are the only ones that have stuck to the projection market , and between the two samsung is the better video quality choice , though the mitsubishi is close second in quality and offers a larger screen size better hurry , tough  .

i predict that samsung will pull out of the non    flat    screen market soon  .

it is simple economics that has led the others to do so as well  .

you can sell a 50 inch lcd with crappy black level and super saturated color for more money ; it is smaller and more durable and easier to ship  .

and it is cool and can be hung on a wall so everyone wants one why would anyone sell anything else  .

if you are looking for a great hd television you cannot beat the 61a750 for picture , reliability and price .

this is my second dlp tv and while i thought my first one (50 samsung) is great , this new set takes tv to new levels  .

sure the extra inches is nice , but it is just icing on the cake  .

the led light engine in the new set is fantastic ; it's quiet , quick to turn on , and the colors and brightness are vivid    the led light source blows away the old , hot , lamp in the older models i really appreciate not having to worry about the screen burning in    like i've seen on older tube and plasma tv's  .

when i hit pause my tivo and walk away , i don't need to worry about ruining my tv no screen door effect  .

one thing that bugs me with digital tv's is the screen door effect ; that is , where you can see the lines between pixels  .

