the virgin mobile samsung intercept is by far the best phone out there in the prepaid division right now you cannot go wrong with this phone  .

its loaded with features and stability from the awesome qwerty keyboard and touch screen to the ability to download applications from the android market  .

the call quality is amazing and i have not yet had a drop call  .

how could you go wrong with the new samsung intercept with plans starting as low as 25 dollars a month with unlimited features this phone is definitely worth every penny  .

i'm new to the whole smart phone market , but i believe this is as good as i'm going to get for the low price  .

i is thinking about getting a blackberry , but one of those could have run me over $400 dollars to purchase without a contract , and most likely would be over $80 a month to enjoy all the features a blackberry has to offer this phone only cost me $219 from best buy and the beyond talk plan from virgin mobile that i chose gives me 300 anytime minutes and unlimited text , e    mail and web all for the low cost of $25 bucks  .

plus i'm not bogged down with having to sign a contract  .

the touch screen is a great feature and i've heard many positive things about the android service , so i'm looking forward to learning more about it and the over 70 , 000 apps available the only negatives are that the 3g network and wi    fi for surfing the web and streaming videos are not as dependable as i thought it would be  .

maybe when android 2  .

2 comes out , the service will not freeze as much it's not much of a deal breaker to me since i wo not be constantly surfing the web or streaming videos on this phone  .

i primarily wanted a phone that has a large qwerty keyboard and screen so i can text my friends , and so far , so good  .

hoping for an upgrade to android 2  .

2 soon .

i've had the phone for a week  .

the service is just fine  .

learning the android os takes a little getting used to , but no more than any new gadget i would get  .

for me , it is all about the price  .

if you do get an android phone , this is the best site i've found so far for getting new android apps   http  //www  .

bestandroidappsreview  .

com/  .

i can use the camera on the phone with the barcode scanner app to scan the bar codes of the various apps and it takes me directly to the install site in android marketplace  .

i had been waiting for a combination of a phone , 3  .

2 mp camera , and web    device at a low cost  .

this phone is the best choice for all those features at only $25/month  .

i never go over 300 minutes anyway , so that's not an issue .

best 249  .

00 i spent in a while plus i got a 20  .

00 target gift card  .

absolutely no virgin mobile limits on anything .

this is my 1st android phone so i cannot comment on how it stacks up to others but i find the keyboard easy to use (unlike some others i have tried) and the overall function is great  .

at $25/month they are going to cannibalize their boost mobile and sprint but hopefully defectors from at t and verizon will make up for any losses there ,  .

bottom line if your sick of having a pricy monthly plan and love android or would like to try it out i'd say to go for it  .

at the price tag that it comes with and no contract it really is the best deal you can find out there .

this phone will b the lowest monthly costing android phone available and extremely worth the buy  .

updated  .

on oct 5 , 2010  .

you really cannot do any better than this  .

i pay $230 for a decent off contract phone and only pay $25 a month for unlimited data and texting  .

it's such a great value so you really cannot complain about much  .

the phone is good in my opinion , it could be better , but its really nice for what i get out of it  .

it's all great in my opinion and this is easily the best value smart phone out there  .

if you are cheap , then this is a must    buy .

i like the phone , i am not disappointed that i bought it , it is a good deal bought it from best buy for $219  .

00 and that is the cheapest for the place i am so glad virgin mobile came out with the android phone and i pay only $60  .

00 a month for everything that is really cheap compared to all of these companies charging over a 100  .

00 now that is alot virgin mobile is no contract and that is excellent and the phone price is good i am still learning how to work the phone but iit is a big step up for virgin mobile i would love to be able to upgrade to the version 2  .

2 and wish it had a better pixel for the pictures overall i am happy and with the phone/  .

can you get android / os to 2  .

i am wondering that on hold until i get answer how hard is it to up    date for 2  .

2 android on item  .

