best mp3 player i have ever gotten .

the main thing that made me get this is the stereo bluetooth  .

the fact that everything i use day to day has bluetooth (i  .

my phone , laptop , desktop , home stereo , portable stereo and headphones/headset) so it just allowed more flexibility of use then any other mp3 player on the market  .

when im on the go i can put on a song , or when im at home tune into the local radio , even can watch a movie in the middle of a boring lecture  .

another factor i loved is the ability to awnser phone calls that are coming though my phone (although the update is coming in december i believe)  .

my friends who own the iphone and/or ipod touch when i connected it to my stereo back at my place were astounded with the audio quality and the bluetooth factor  .

and said if they known the p2 exsisted they would have bough that over any ipod or similar competitors  .

although eveything good has their flaws , my music library is about 6k sougs so i is only able to put a fraction of them on but thats fine i dont really need to listen to all 6k of them in one go  .

also something like a dock would be nice like the ipod has or the zune but its not a must eather so im fine with it  .

over all great player with out the wires .

i currently have a 2gb samsung t9 which is on the same track as this one , but i would really like a device with a touch screen like my pda and bluetooth support  .

i have always wanted to listen to my music with no wires attatched , i literally like everything about it  .

i think it is a really cool device  .

it rocks  .

i own the 16gb version of the yp    p2 , which is the 7th mp3 player i own (none of them ipods) and the second samsung mp3 player  .

after reading many reviews , i opted to purchase this player over the ipod touch based on the reviews from true audiophiles and my own experience with the samsung yp    t9j for starters , those looking to purchase an ipod touch alternative will be disappointed  .

this player is meant for the consumer looking to enhance their music listening experience and video viewing  .

the yp    p2 is a great example of product design with its thin metal body  .

with two buttons on either side that almost seem camoflauged with the black model , the unit is slick and streamlined  .

in my review , i will just speak of the features i use on a day    to    day basis  .

i find that as great as an ipod touch is , i grow tired of the applications quickly and find that i just want to listen to music or watch a movie  .

as for games , i am a little too old for handheld gaming , owning a ps3 and the games that come with the yp    p2 are just a mere distraction that would not be missed if omitted from the player altogether video  .

the video screen is bright and crisp and when watching movies on it , seems like you are watching a mini samsung lcd tv  .

i should know because i also own a samsung lcd tv  .

although loading a movie with the emodio software can be difficult to do without some practice , once one masters the process , the output is worth it  .

i have been able to load three movies onto the player and they all play flawlessly audio  .

this unit clearly is far superior in sound quality to the ipod touch and most other mp3 players with the exception of the newer sony players (i own one sony mp3 player)  .

the dnse equalizer that it comes with allows you to have up three customized settings as well as many of the preset standards that allows for great sound output  .

for the person who is serious about their sound and only uploads high quality mp3 songs from purchased cds and/or legitimate online mp3 services , this player will definitely do justice to those songs  .

although i love the headphones that come with samsung mp3 players , i is fortunate to receive a pair of bose in    ear headphones as a gift and now only carry the samsung ones as a spare pair  .

if you want to enhance your listening experience with the yp    p2 , i recommend in investing in a high    end pair of headphones the volume can be controlled by scrolling your fingers on the right side of the touch screen or the right buttons on the side and this unit can pump out the volume radio  .

for me , a player without a built    in transmitter is not a true mp3 player  .

i only own one player that doesn't have that feature and i only use it for my jogging because i hate switching stations while i run  .

the fm radio that comes with the yp    p2 delivers great sound and great reception  .

however , i cannot understand the need for 30 presets when any major city i have visited usually has 10    15 stations to access and listen to  .

if ne travels frequently and wants to keep their original 'home' presets , the extra stationjs would come in handy  .

the unit allows you also to record directly from the radio into an mp3 format for those who utilize this feature bluetooth  .

i love this feature and have utilized this on a daily basis  .

my cell phone has bluetooth and the great thing about the yp    p2 is that once i linked my phone with the player , i is able to answer any incoming phone calls during my work day at my desk , leaving my phone in my jacket  .

an incoming call would stop any song you are listening to and gie you the option to answer the call , using your headphones to listen and the built    in microphone to talk  .

mind you , you have to place the player close to your mouth  .

yes , their are phones that act as mp3 players as well and have the same feature  .

i know that my phone does not deliver the same sound quality that the yp    p2 player does and my headphones are not compatible with it  .

beside the phone feature , file transfer is a breeze with other bluetooth devices photos  .

as a photoviewer , the yp    p2 is great to display photos  .

it allows you to configure the background with personal photos  .

as an amateur photographer and 3d modeler/animator , the yp    p2 is great for interviews with clients to show my work without having to lug around a laptop or paper portfoilio conclusion  .

although the yp    p2 has its flaws , most players do , including the ipod touch  .

if you are seeking a player for the sheer enjoyment of music and movies , than i would strongly recommend the samsung yp    p2  .

you will not be disappointed and will definitely be the envy of your friends once you allow them to test your player  .

once you realize how great it sounds and look , you will want to invest in some high    end headphones .

this is a great mp3 player with video , with a fm player and is blue tooth compatible .

this is an excellent player , tons of features , very good comunity support on forums and blogs but its emodio software is mediocre .

a great mp3 player , it would be a good touch substitute  .

the screen isnt so great but except that everything else is pretty good  .

i love this player  .

i bought a 8gb when it first came out here in canada at a premium but returned it because it didn't live up to the hyper originally  .

i turned around and got a ipod touch 8gb instead it's been 10 months and i have decided to give the p2 another chance since we are on v5  .

02 now for firmware , and i really miss the audio quality so cons first the screen scratches very easily , and the included screen protector is well pretty cruddy  .

