so much better than the wd my passport  .

it has no virtual cd so you can use it any way you like .

i bought this product a year ago  .

i am thrilled to have it for back ups and to put all my large projects , movies , and music on  .

it really is built to last  .

i think this is the best piece of equipment i have ever bought for my computer  .

bar    none  .

what a price  .

silent , doesn't over    heat  .

weighs less than my 1st gen iphone  .

would definitely recommend , as long as it does not crash or die      )  .

if you're on an serious budget and need an nice external drive for your mac , buy this  .

if you need or want extra memory , i highly recommend this drive  .

i still own the seagate freeagent go that i bought two years ago , so i've had a good experience with seagate products in the past  .

recently , i needed more memory for my music and video files , so i did not hesitate to buy the latest freeagent go model  .

the new design is gorgeous and small  .

the performance and speed is fantastic , and the software is very handy (though i rarely use it)  .

you can customize the drive to auto    play music or video , auto    load your picture    viewing software , or open windows explorer to view the files , etc  .

you cannot go wrong with this external hard drive  .

do not hesitate to email or post any questions .

if you're looking for an excellent portable drive to have your drive file backups on the go , this is it  .

the optional dock accessory is a nice touch as well one thing to note    the usb cord that came with my drive (500gb) is not short like the cnet reviewer pointed out  .

the cord that shipped with my drive is at least a foot long , if not longer  .

for a portable drive , i do not see why you'd want anything longer than that .

i like this product simply because it works , and it works well  .

the 5 year product coverage is also nice .

this is a great drive that is mac compatible (with disk utility reformat)  .

works with time machine and is fast enough for large video/audio transfers  .

best of all its very thin and light .

even though the software is not the best and the short usb can be aggravating at times i would still recommend this to everyone  .

i love my freeagent go and never leave home without it  .

i happened to have some extra room in my freeagent so decided to put some of my favorite portable apps including firefox portable , portable sudoku and a mobile media player (for the media on the drive)  .

so i really suggest giving this drive a try   ) happy researching  .

review the detailed capabilities of the software that allows you to control your data storage and control automaticbackup and built in security  .

street price for 160 gb model is 59 dollars  .

cnet evaluators only considered hw capability did not explain sw in their valulatio  .

poor job .

looks/form   9/10  .

perhaps the greatest reason to buy this particular hard drive  .

it's slim and small , barely bigger in any dimension compared to an iphone  .

it is nice for sg to keep the same curves that the original go had , while updating the style with apple's ideologies in mind  .

the dock just makes it look that much better  .

the lights are a nice sight , especially in the dark  .

they can be turned off performance   8/10  .

speed is on par with my buddy's 320gb wd passport and 250gb simpletech wedge thing  .

transports things fast enough for a 2  .

5in drive , but i've seen better  .

however , what sets this drive apart from the passport is how bloody silent it is , not a single peep from this drive the case is also stone cold after a few hours of transferring large files back and forth  .

while they may be a nice sight to look at , the activity lights are a bit hard to read  .

they go from dim to slightly brighter  .

the threshold between these two states of activity are too subtle to tell what's going on ; but no matter , not a deal breaker for me  .

it's ntfs , so format it mac owners , don't go buying that more expensive mac version (  is up with that , 30 dollars extra to format it in fat32  .

packaged software   4/10  .

honestly , you can make a nice simple looking interface just like the one that this drive comes with , but what good is it if it misses a bunch of files  .

even after updating the software , it still dropped files like it had butterfingers  .

if i hadn't checked the log , i probably would have lost about 500mb of songs and a few sensitive documents the next time i do a clean wipe of my computer  .

get another backup utility , this is rubbish optional accessories   7  .

5/10  .

i got my drive at costco , which meant it also came with the case and optional dock  .

nice deal imo  .

these accessories won't factor into my score  .

the dock makes the hd look awfully nice while the case is a nice and cushy (p)leather material  .

while the dock is just simply a usb2  .

0 a to b connector attached to an aluminum platform , i still like it and think it's a worthy accessory to own  .

the hd is not a finger magnet like the passport , but it can still scratch up  .

the case looks up to the task for protecting the drive  .

you do not need these accessories at all overall   8/10  .

great drive , seagate really delivered with this portable external  .

by far the sleekest looking drive outside of building your own enclosure of course  .

performance is above average when factoring in heat and sound  .

it would definitely make a good stocking stuffer  .

just make sure to replace that weak bundled software that comes with it  .

recommended .

dear experts ,  .

during the data copy , system (external hard disk) abruptly stopped  .

then i removed the hard disk and plug in then system (laptop) say unable to find the software for the usb device even though i had loaded the segate manage software , system unable to find the software for the segate please help me out and s there any way to recover my data from it .

i bought this external hard drive for a backup hard drive when i had computer troubles about 7 months ago  .

last week it wouldn't work  .

i plugged it in and it would not do anything but beep  .

i contacted seagate and they told me i should have backed it up  .

let me repeat  .

back up my back up hard drive  .

this seems like a vicious circle to me  .

so i contacted their sister company that does recovery and they want anywhere from $1000 to $3000 to recover it  .

i could have bought a backup computer for that kind of money  .

i am a college student and a composer and all of my scores and music were on that drive  .

so now because of some cheapskate company i am out all of my compositions and possibly my career as a composer  .

if you think you need something backed up just buy a new computer .

i would not recommend this drive if you want to actually use it as a portable drive  .

if you want to sit it on your desk and never move it it would be perfect  .

but , is not the point of an external hard drive to be able to take it places and take your data with you  .

it just does not stand up to that kind of use  .

i brought mine back after 2 days , because the casing is delaminating  .

i just felt that it is a poorly constructed device and not worth my 70 dollars .

do not buy this drive if you value your data  .

like playing russian roulette .

this drive is seldom used , never dropped and rarely moved , nevertheless after three months of use , the drive abruptly stopped worked  .

seagate could offer little assistance and had no explanation for this error  .

my product is still under warranty so they will replace the drive , however , i must pay for data recovery  .

seagate  .

s response ,  .

next time , backup your data  .

i have seen numerous accounts on the internet account detailing this type of crash , however , seagate will not acknowledge this problem  .

i cannot recommend this product note   seagate refers users to i365 for data recovery  .

expect to pay at least $1200 for this service  .

if your product is under warranty and you would like to make use of another licensed data recovery service , you must provide written proof that the drive case is opened for this purpose in order to receive a replacement product from seagate .

the drive used for nearly one month for regular use  .

the essential data is backed up onto this drive before formating my computer's hdd  .

suddenly one day after connecting it to the desktop it did not show under the explorer , however , the drive name as seagate freeagent is shown in usb connections  .

i have ten different softwares developed on it and suddenly i am in a fix  .

very unreliable usb external drive  .

i am wary of replacing the drive as i will forego the data and labour on developing the same and at the same time will not be compensated by seagate for the same  .

how to recover all the data of almost 100 gb  .

that will cost me a huge amount of money , and surely much much more than what the drive costs  .

