i received this as a christmas gift this year  .

i am running 3 mb cable internet with a linksys wireless n router with qos  .

my laptop is an old dell inspiron 8000 with wireless g connection  .

i also have it on my verizon wireless palm treo 700w and it is all connected to a directv hd    20 receiver when this is bought they also had the foresight to purchase the slingbox hd connection cable as well the slingbox powerline adaptors each of the items comes with a quick start guide that honestly i didn't even use  .

i plugged everything in and timed myself doing it  .

with in 30 minutes i had my dvr slinging' on my laptop  .

10 minutes later it is on my palm treo since my hd dvr is down in my living room and my router is 1 floor up the power line adaptors where put in  .

they work phenonmenal picture and sound quality is unreal on both my laptop and treo  .

i am surprised how well the picture and sound is on the treo with even 1 bar in verizon's evdo network coverage area i have shown a ton of people it on the laptop and the phone and they are blown away with the technology  .

if you spend time away from home like i do do not wait to get this product  .

a good broadband speed and good router are probably key but if you have that do not think twice about getting this product the cnet review is a little out of date as it mentions it only works on treo 700p which is no longer the case .

awsome product , especially after software player update  .

picture is great and it even work on my verion smartphone just great product  .

love it  .

i got the slingbox pro about 2 weeks ago and got the optional hd dongle  .

setup is amazingly easy and the couple of snags i ran into slingbox's tech support helped me out in an extremely quick and professional manner  .

the picture looked amazing at home on my home computer , but i bought a cingular 8125 to use with it and being as how it is on the edge network it would only work in a manner that is acceptable (not choppy/freezing/etc)if i is someplace with wifi access  .

since it hadnt been 30 days yet , i sent back the 8125 and got the 8525 which is 3g  .

since i have gotten that it works exactly as i had hoped that it would  .

i use it at the gym when i am on the cardio equipment and love it  .

to me it is the more cost effective solution , i could have bought an elliptical/treamill/bike but who needs all that equipment in their home , instead i can take my tv and my tivo'd shows to the gym .

this is a great device  .

once it is setup and you learn how to use it , especially if you travel or have a smartphone (motorola q etc , life will not be the same  .

i is able to watch the sopranos in san francisco on comcast on demand at 10  00 p  .

on my laptop through my slingbox and have full control of my comcast receiver box in chicago  .

i am still learning what else it can do  .

i seen the apple tv box in san francisco for 290  .

00 it works with itunes and a computer  .

i need to reseach how to connect my pc to my slingbox and if it has the same functions  .

this is a great way for sling to back up their original product  .

the improvements are 10    fold .

i'm not sure why the other guy gave it a 2  .

it's not advertised that you can record things off your stream and it was not designed for that anyway so i believe that's an unfair rating i got this the day it came out along with the slingmedia network outlet adapters  .

setup is incredibly simple  .

i installed the software on my pc and it started working immediately after hooking it up to my dvr  .

downloaded the software on my laptop and again it is simple as can be if you are watching the slingbox on a pc connected to your network it's always super smooth and great resolution  .

i do not have a tv in my office so i always watch my slingbox on the computer while working or surfing the net my wife travels a lot with work and we love using the slingbox to watch a show at the same time  .

if she is out in seattle and i'm in ohio we can still watch our shows together  .

another nice feature with the pro is that i can also hook up a dvd player or another device that can be controlled via the slingbox as well  .

one note   just make sure you have solid upload speeds on your high speed internet connection  .

