sony dcr    dvd403    .

excellent low light performance  .

the best  .

in my opinion this the most important feature for a camcorder  .

any camcorder can shoot well in great light even dvd405/505 got worse performance  .

check for 200% crops of the dcr    dvd403 , dvd405 , and dvd505 in the review    .

http  //www  .

camcorderinfo  .

com/content/sony    dcr    dvd405    camcorder    review  .

htm  .

in my opinion dvd is more convenient and save format than minidv tapes , never jam , can store forever , instant access to movie/image (no rewinding , forwarding) , no accidental erases (not as with tapes) i shoot always hq mode (20 min per disc)  .

i never shoot whole disc at once , even in one day  .

so , it is not an issue but i had concerns about before buying  .

i am not a heavy shooter  .

i do not shoot long clips  .

i used 11 dvd since 01/12/06 i think it takes about 45    60 sec to change a full dvd to a new one  .

it takes about 6 sec to power up and shoot with dvd in that you have already shot on i used sony and not    sony dvd    r   windata , memorex and verbatim  .

all worked just fine dvd    r can be read in any dvd player after finalization in the camcorder  .

the finalization of full 1  .

4gb disc takes about 4 min i did not have problem reading finalized disc on my pcs either (xp , p4 and amd)  .

just it has to be dvd drive that reads    r or    rw (minus) , probably all of them do now after finalization movie and still images saved in 2 different folders  .

dvd403 keeps file indexing from dvd to dvd , so , by number you can say is shooting earlier or later (without checking file info)  very convenient to keep disc record library a finalized dvd autoplays a menu with first frame of each clip , 6 clips per screen , with date and time of shooting in order  .

i start a first one and see all one after another , or go back to menu and start any clip in any order without the finalization i access my photos and movie clips via usb2 (480mb/s) connection dvd403 to my pc with provided software (picture package menu icon on a desktop) yes , dvd403 has spot focusing dvd403 can work as a dvd recorder via supplied av/svideo cable (can record tv programs , up to 60 min per disc)  .

its even easier with supplied remote commander , just press the button dvd403 has av signal output to watch on tv your already recorded scenes and real    time shooting view  .

i use av transmitter/receiver to watch and control recording from the distance placing the camcorder on a tripod to avoid attention to the camcorder and operator (hidden camera)  .

the remote control is included battery hold charge very well , never is an issue to run out of power on the scene its an excellent dvd camcorder the next step is high definition (hd) camcorder  .

i am going to sell it (craigslist  .

org) to upgrade to sony hdr    sr1 .

after intense research on camcorders , i narrowed down my choices to the panasonic gs250 and the sony dcr    dvd403  .

since the prices are quite the same , it is even more crucial to compare the two camcorders and their features [number one being most significant , and last number being least significant]  .

reasons i would choose gs250    .

editor's choice at http  //www  .

cnet  .

com  .

