get this if your are tired of junky systems like the wii and 360  .

i like it because i spent 570 dollers on it and it took me 3 months to save up for it and when i had anough money after them 3 months all the ps3 systems that where original full size and not slim's where no longer being sold in stores and i just happened to find this one the last one in my state in a frys electronics i dont like the low number of usb ports all other ones have 4 but dont use them much because alot of its wireless i dont like it in one way because it has no card readers kinda made me mad for the price i paid  .

cant stand the freezing on surtine games or the glitching on games also cant stand having to reconnect to the internect on a game rejoining the gaming match every 30 seconds because the console dosent stay connected even if your hard wired to a dsl line  .

it works good for a ocasonal use when bored or have nothing to do .

so my girlfriend got me this for christmas since i sold my xbox 360 since i kept having problems with it breaking with rrod  .

i gotta say this is the best system out  .

160gb hard drive  .

how much more space do you need  .

i have transfered 4 movies + a few of my favorite tv show episodes  .

about 500+ songs  .

and hundreds of pictures and i havent even touched the surface on space usage built in blu    ray is just to amazing  .

finally get to put all my favorite blu    ray movies to good use in my own room instead of always downstairs where the rest of my family watches them built in wi    fi for me is the biggest plus  .

i absolutly hated buying the ugly wirless adapter for my 360  .

this one is built in a ready to go built in bluetooth is very useful  .

instead of using that headset that you get with your 360 that connects to your controller i finally get to just use a simple bluetooth earpiece that i use for my cell phone surfing the web  .

ive only surfed the web on this thing probably once just to try it since i have a desktop and 3 laptops in my house  .

but is a nice feature the design  .

i love the design on this consol  .

the glossy black piano finish is absolutely beautiful  .

i love it alot more than my white xbox 360 pro  .

and i like it alot better than the slims new matte black finish overall this is worth the money  .

its now only 400 and even as low as 300 in some places on sale for a limited time  .

this is teh best bang for your buck and alot more reliable than a 360 all in all  .

if your reading this  .

buy a ps3 if you dont have one yet  .

doesnt matter the model  .

just get one  .

well i recently bought a ps3 due to the fact my xbox 360 after almost having it for a year kept having an overheating problem even though i never played it for more than an hour straight  .

i sent my 360 back to microsoft with my warranty to get it replaced but same problem happened so i decided to go to a local shop to get it fixed and sold it and got a ps3 instead  .

i decided after an hour at best buy to get the regular fat ps3 160 gb instead of the 250gb slim because personally in the end the slim looked funky to me  .

and i like the black piano finish on the fat ones more even though you get annoying finger prints although when playing the ps3 online i is pretty disappointed with the online gameplay  .

and its not as easy and convenient to connect with friends especially with cross game chat as xbox live  .

but i cant complain seeing that i dont have to pay 50 bucks anymore but id be glad to pay 50 bucks for live again if it is in a ps3 form i love the blu    ray  .

i have a blu    ray on our hd tv in our living room on our first floor of our house but its nice to finally just sit back and watch blu    ray in my own bedroom with my girlfriend i love the bluetooth compatibilty  .

i hated using that wired headset on the 360  .

everytime i got up to go somewhere i had to either take off the headset or take the whole controller with me built in rechargable battery in the conroller is amazing  .

i never got down to buying a rechargable batter for my 360 controller so i eneded up using boxes of aa batteries on my old 360 my fav  .

thing about the ps3 is the built in wi    fi  .

man oh man  .

i hated spending that 100 dollars on a wireless adapter on the 360  .

before i bought that adapter i had the 360 hooked up in our office  .

pathetic  .

but this built in wi    fi ended up saving me alot of money in the long run web surfing is something i dont really use but its also a nice feature overall this system is really a do everything type of deal  .

if your into blu    ray and all that jazz then get this if your looking for straight online gaming then id say the 360 but beware chances are itll break on you sony great job  .

just step it up on playstation network  .

plays  .

avi files plays videos on your computer from a wired or wireless network  .

plays mp3s (sounds incredible)plays reg dvd , surfs the internet plays videos online  .

(hulu ect )  .

the best thing since sliced bread  .

i recommend this console to everyone .

