a great product for the price we paid  .

we're most impressed with the accurate maps and how fast it re    calculates new routes  .

we used a high    end garmin before , but it is slow and annoying because if we veered off the route the machine would announce recalculating  .

for many many times before it figured out a new route for us  .

pois are useful and accurate too  .

the bottom line is this is a mid    range gps with an entry level price tag  .

great buy  .

of the two brands of gps i have , this xl 330 s is by far the best and operator friendly one i have , cant say enough good things about this gps .

i am sure tomtom will upgrade its website to have us all the updated maps as early as 2008 well it doesnt have the mp3 play back option in the unit i find many pros while 2 cons it doesnt support a sd card slot and its mem is 1gb however it should have street spelling option instead of calling the turns well its the price that makes it worth .

got this awhile back on sale for under $75 new and cannot complain  .

setup is so easy that i is scared  .

plug it into your computer before your first use and guess what  .

your maps are now updated  .

plenty of downloadable features (some free some not) to make it even more personalized  .

3 in size screen seems just the right size for a gps  .

blows garmin the dreadful magellens out of the water  .

by far the easiest and most personal gps i have ever used  .

highly recommend especially if this is your first .

the built in mount is my biggest complaint , but it is also a plus since it is attached to the gps and therefor harder to lose  .

also once you dettach it there is no telltale mount for thieves to see    they'll break into your car to get the gps if they see the mount  .

volume can be turned up loud enough to cut through the stereo  .

the lcd touch screen is beautiful , with a 3d map mode , although the map lines can be a little jagged , but that doesn't bother me  .

it's easy to program , has intuitive user interface with large icons  .

a quick tap on the map puts you in the menu system , select navigate to , then favorite destination , scroll down , select , your in business  .

entering in a city and street address is easy too thanks to a nice virtual qwerty keyboard  .

it has a predictive entry feature that recalculates after each keystroke , so often you do not have to enter the whole street name  .

i really like the trip progress information on the lower part of the screen , including distance to the next turn , time to that point , total time left in the trip , the current time and eta to your destination  .

it also shows you the gps signal strength , your speed , and the speed limit if it has it in the database  .

if you go 5mph or more over the speed limit , the speed display turns red  .

the eta display is based on the speed limit for the roads to be traveled on your trip  .

i set up the gps and monitor it on long trips even when i know the route , because of the continually updated eta  .

if you make a wrong turn , recalculation is fast    about 5 to 10 seconds  .

overall i like it better than on the garmin unit my dad has .

so far i had owned 3 gps devices   the tomtom one 3rd edition , the garmin nuvi 350 and this latest tomtom 330s model  .

before owning , i have used the garmin streetpilots given by many car rentals by far , this is the best of the three    .

wide screen  .

text to speech  .

