i've used this with many different software packages and have had no problems with resolution , blurring or incompatibility  .

i want a second one .

i had ordered a samsung 206bw but after looking at the monitors i decided the build and looks of the viewsonic is better and the height is just right with a huge base on it  .

it also had speakers which are handy as if i want big volume then i put on the headphones the quality is faultless , although i do not have special tools to rate this stuff i cannot see any evidence of uneven backlighting , or colours not matching properly  .

video playback is pretty well perfect it is funny some reviews of this monitor say the quality is mediocre and the speakers are crap but i think that the monitors must vary as i have no issues with mine i bought it in perth for $360aud which is pretty good i found the display is made by chi mei the same manufacter as the samsung 206bw (we get chi mei here in australia) i have one big very sharp 22 inch monitor now and my old 17 inch tft as a second monitor which is great i have to give the monitor a rating of 10 as i cannot think of anything wrong with it sorry .

i finally deceided to bite the bullet and get a new monitor  .

i'm glad i did  .

this thing is awesome  .

not one dead pixel  .

i upgraded from a 17 princeton lcd that i got at costco 2 1/2 years ago  .

what a difference  .

it looks twice the size  .

the price is $299 at costco  .

games are incredible  .

i is worried that my modest system would not be able to play anything at the native res  .

(1680x1050) , but it works flawlessly  .

if you are a gamer , try far cry , hl2 , oblivion and you will be amazed  .

these games all have the widescreen option  .

by far the best upgrade i've made  .

it feels like a new computer .

i got this beauty from costco today  .

and let me tell you this monitor is amazing  .

considering the price of 350$ and what you really get  .

wow  .

i do not get people who complain about one dead pixel  .

so what  .

take it back and get a new one  .

no need to write horrible review just because you got one monitor with one dead pixel and now you bash on viewsonic for making bad products in any case  .

this monitor is great  .

vivid colors , great contrast , absolutely amazing performance (no ghosting) awesome finish , 3 year warranty  .

22 inch wide screen is big and you will never go back to 19inch after you see this one there is a little bleeding when monitor is displaying all black colors , but its not major .

after replacing my 17 crt with this monitor , i is initally blown away at the size of this monitor  .

it is like going from a 25 t  .

to a 45 plasma  .

the colors are excellent , and it has a menu to set the coloring for different things , e  .

scenery , portrait , vivid , cinema , etc  .

as well as a manual setting to do the same  .

skin tones can also be set , as well as contrast , brightness , and several other nice functions  .

i have noticed no out of place pixels , and the color , clarity and resolution is very , very good over the entrie screen  .

the menu buttons take a little getting use to , but prove to be no problem you can also tilt the monitor either up or back from the stand that it is mounted on there is not much in documentation , but the inital setup is quite easy , with patch cables being supplied for a couple of different setups  .

really , all other functions of the monitor are menu driven , and should you get confused , it has a factory reset button on it where it will revert back to the initial out of the box settings  .

i do not use the speakers in the viewsonic as i have a set of altec lansing speakers with subwoofer , but the audio cord is also supplied should you elect to use the monitor's speakers  .

i purchased this product from costco for $299 , and thought it is quite an excellent buy  .

