i used a file retrieval program to get back all my files and pictures which i is afraid is totally gone when it crashed as i had scanned thousands of pictures that are totally irreplaceable from my childhood till to date , that would have been gone forever  .

however i did retrieve everything  .

i reformatted my drive again after the retrieval and i have had no problems with it since , (knock on wood) for the past 7 months  .

however being an older person i have learned that to buy anything today is taking a chance as no matter how far we have come to in advancements , the quality of todays mass produced products are a roll of the dice at best  .

products are not made to last as they were in my era as everything depends on sales , sales , sales , money , money , money , greed , greed , greed  .

it is not about the consumer it is all about the almighty dollar and how quickly and how much the corporations can make it however the demand is great and people are to quick to purchase without doing their homework so i guess we are just as guilty  .

remember in life , you get what you pay for and buyer beware  .

if this is done there would be less crying about how you were taken you let yourselves be taken .

this a good product  .

it is simple , not a big space hog , and large amount of space to save your information  .

do not move it a lot or it can cause hardware failure ( i did and i had to send it in for an exchange)  .

i cannot speak to the seagates    have not owned one  .

but i would , i do , and i am recommending the western digital to friends and family  .

retired programmer/analyst  .

i have had this drive for several months now and i have not had any problems at all  .

it is a great simple plug and play drive for anyone that needs additional storage  .

i have it plugged into a battery backup in case of power failure  .

i never have any issue transferring or accessing data even after long periods of not using it  .

overall great drive .

over the last year , i've purchased ten of these units  .

each and every one of them worked great out    of    the    box  .

i've so far used these drives on a dell optiplex with built    in usb 2  .

0 , as well as a dell optiplex with an adaptec usb 2  .

0 pci card i don't understand why some people have problems with this drive  .

some tips i'll offer   1) don't use usb hard drives off a usb hub  .

hard drives need as much power and bandwidth off the usb bus as possible  .

2) format the drive to either fat32 or ntfs before use  .

even if the drive comes pre    formatted , format it anyway  .

3) make sure the drive is connected to a usb 2  .

0 port  .

hard drives connected to a usb 1  .

x port simply does not work .

i have recently set up a windows home server (rc1) on an old computer of mine  .

with this easy to use software i can connect all of my computers to it and have complete back ups made in a snap  .

microsoft did a good job here  .

all i had to do is plug the drive in and the home server set everything else up  .

if i need more storage i just simply add another one  .

its cheap , sleek , cool (tempreture wise) and to this point in time stable  .

i have no real need for high speed since i am operating most of my computers over wifi .

this drive has performed outstandingly since attaching it to both my server and also swapping onto my laptops  .

all computers have acknowledged the drive immediately and has given no failures  .

the speed of the drive is consistent and exceedingly fast , through a usb 2  .

0 interface  .

the drive is backwards compatible to usb 1 but always double check that your usb is enhanced (2  .

0) otherwise the best suggestion is to install a nominal 2  .

0 add    on card  .

most problems arise from this oversight  .

best buy ran this drive for over $100 off it's regular price which brought down to $190 it's an outstanding drive and an outstanding deal  .

it's extermely quiet both horizontal and vertical , venting heat efficiently .

first thing i did is to reformat it into ntfs so that it could hold large files    since then i have not had to do a thing with it .

works   very fast and its nice looking  .

if you're smart you would know it's best to format it to hfs+ if you're using a mac  .

it boosts the speed by a lot .

i have owned my 500gb wd for some time now as far as i am concerned , it is well worth the money i suppose it depends upon what you expect and or use an external hard drive for , as to whether you would be satisfied with this drive for me it rates 10 out of 10 , excellent .

after using this hard drive for a few days it works great  .

i backup my xp then put it on my vista up loaded my vids photos to it  .

interface easy to use  .

though slow , i am happy with my purchase  .
