i have been following microsoft technologies both as a developer and an evangelist for years now and personally speaking i have never seen them invest this much of research , time and efforts into an offering  .

they may have had their bad days and a plethora of goof ups , but in vista they have carved their stronghold  .

windows vista business is the perfect blend of performance , features and looks with the immaculate software and hardware compatibility backup known to bring smiles to millions of windows operating system fans all across the globe  .

i have a read a lot of terrible reviews about this product and i do not see why people have such a problem with  .

either they are too dumb to figure out a few simple things (for crying out loud microsoft is a company that redefined ui friendliness and ease of use and partnerships with software and hardware vendors so that things actually work  .

try making your grandma use linux) or are plain cry babies i have been a power user of windows for years , a beta tester and a  .

net develeoper for web , desktop and enterprise applications for over 4 years now and i absolutely adore this operating system , i really feel pampered  .

thanks ms  .

i use vista business at my school with roaming profiles and it is really great  .

i have only had one problem with this and it is the it person's falut .

vista business is far less trouble prone then xp business  .

this os is very solid with few errors and bugs  .

microsoft has done a fine job with this os despite a few start up problems  .

i think the net has some catching up to do before it's full capabilities are reached  .

this is especially true for web 2 programs , applications and utilities involving video , gaming and perhaps audio  .

i believe there are still problems with connectivity , ie7 , and usb support concerning ready boost  .

more could be done to improve pc over heating problems and video connectivity  .

let's hope we see these improvements in sp2  .

much work should be done with problem reports and solutions  .

to many problems are going unresolved  .

i certainly hope they resolve the event 1003 , dhcp client error that has been present in me , xp business and now in vista business  .

this error consumes hardware resources and needs to go away  .

fine job microsoft , time to press forward for a perfect 10 .

i have heard so many people complaining about windows vista being trash and a disaster  .

this is very discouraging for me or anyone attempting to try this new os  .

when buying my vaio sz780 notebook , the sales clerk predicted that i would soon run into trouble with lousy vista like he did  .

he in fact advised me to remove it an put xp in for replacement  .

you know what  .

they are all way wrong  .

the business edition on my notebook has been working like a charm despite my intensive use  .

it gives me all i want from look and feel to performance  .

the aero glass display is stunning on my vaio and search now is just a breeze much as navigating through the system  .

wireless networking is extremely stable unlike xp  .

these are just a few and i cannot name it all what i love  .

microsoft obviously did a very good job putting together this awesome os and i see no reason for going back to xp having said that , i have to admit that vista does have some nagging bugs  .

i personally have experienced issues with slow network printing through xp    based computers and sluggish hibernation  .

however i have managed to fix the network printing issue using some easy tweaks  .

hibernation is still faulty but i can live with it  .

some experts say this is a particular problem with computers having 4gb of ram which is my case after all there is so much to the bright side of vista which totally outweighs its minor negatives  .

i believe with service pack 2 , vista will be perfect and get a 10 from me  .

for now i give it 9 and keep on enjoying it .

i built this comp  .

in dec  .

of 2006 , not really having vista on my mind  .

is running xp pro sp/2 1  .

81ghz sempron , 1gb memory , ati radeon 550 card nothing great , not a real kick your a  .

comp  .

but fairly good  .

had an upgrade redemption form for vista buisness and sent it in , recieved it a week ago , is not going to install after all the horror stories i have read about vista  .

but since the worst that could happen would have to reformat and go back to xp , if vista did not work on my comp  .

while running xp , hp software hated me as well as kodak nothing but problems  .

tried all up dates patches and what knots , just hated xp  .

pretty cool building a comp  .

