better for powerful machines  .

it is much better than xp  .

for example windows 7 boots up faster than vista but it is not a major difference , but actually it takes less time for vista to boot up because when windows 7 boots up you have to wait ages until it connects to the internet , and is ready whereas vista is connected to the internet immediately , no delay just get on with using it  .

also vista has a brilliant design , great feel , user friendly  .

i love it but micro  .

i have seen countless reviews bad    mouthing windows vista , personally i do not see why it is fast , it is easy to use , and it is secure  .

i do not know why everyone says bad things , whatever they think is missing is obviously not necessary  .

i have had vista for almost 1 year now , i is going to write a great review the day that i bought it but decided to wait and determine if there were any cons that needed mentioning , and guess what  .

i found none .

it's good  .

people have said vista makes their laptops slow    but since my laptop has 3gb of ram it works perfectly and vista is very fast too  .

the access centre is pretty handy too  .

the speech recognition feature is pretty cool as is the microsoft narrator  .

if i cannot be bothered to read the text i can have it read to me generally vista is a whole lot more useful  .

another feature on vista is the ability to caption and tag photos and also edit them with the windows photo gallery    pretty good with the amount of pics i have  .

lastly , the sound quality and graphics of vista are solid the interface is brilliant  .

it looks much better than xp and is far faster  .

it has some good features such as movie maker , media player 11 , windows calendar etc  .

and for all of you who says oh vista sucks it doesnt okay the only reason u guys think it sucks is either you are running old hardware and software  .

its like saying a radeon 8500 cannot run crysis .

best version of windows i've ever used  .

on both my new computers , vista performs excellently  .

hardly have any problems and have never had a blue screen of death  .

i find features such as start menu search , sidebar and the uac very good and feel lost without them while working on my works computer with xp .

i love this operating system runing it on a laptop with pentium dual core at 2  .

16 ghz , 3gb of ram , 250 gb harddrive and intel graphics and it runs insanly fast  .

the laptop only cost me 600 dollors new also  .

now that microsoft have released service pack 1 and with service pack 2 on the way vista is a great os  .

xp is so hard to use for me now i find it kinda limited  .

i also love media center it is a great place to have all you music and very easy to find all of them  .

i also get better battery life over xp (almost 30min  .

) most people complain about vista cause a 10 year old printer does not work or the odd program but i personly love it and will keep it till 1  .

windows 7 gets released or 2  .

get a virus and then will install the beta if i need to reformat cause i dont have a disk   p)  .

overall , windows vista is a big improvement over xp  .

cnet is wrong about mac being better than windows  .

windows has been beter than mac for many years  .

you see , windows gives you freedom while mac makes you very restricted with what you can do and such although some things in vista need a bit of improvement , vista is still a better choice then windows xp .

a wonderful thing  .

i have it on a toshiba satellite a215s6820 and its great  .

rarely freezes and is easy to understand and use  .

improvement of xp if you have a computer with xp , dont make the switch unless you have some change to spare  .

if you are getting a new computer , get one with vista home premium  .

it really is great  .

the graphics are nice and there are plenty of customizations  .

just get beyond the reputation that it got , but does not deserve , and try it because it is actually really nice  .

i is worried when i got it on this computer , but i have learned to love it .

i have used mac os x , windows 3  .

1 , windows 98 , windows me , and windows xp  .

but none provide both the visual experience , features , and reliability than windows vista home premium does  .

and with existing programs such as ad    aware , avg anti    virus free , and zonealarm now providing support with windows vista , i can have all the features windows vista home premium has to offer plus a very secure computer updated  .

on jan 30 , 2009  .

before i start the review , i should note that i am running an hp pavillion medua center m8200n pc  .

it came with windows vista home premium preinstalled , so i cannot give a review of the installation/upgrading process windows vista is the most recent edition of windows to be released by microsoft , it has been the target of many attacks , including complaints such as slow boot times , too many bsods , constant security popups , and problems installing/upgrading  .

vista for me , however , has been nothing short of flawless , giving me an amazing system for my everyday needs , like schoolwork , gaming , and web browsing  .

it comes loaded with programs for everyday use , like a mail client , windows movie maker , photo gallery software , a dvd maker , windows defender , and the like  .

vista has never crashed on me  .
