i found genuine microsoft windows xp professional with a href   http  //www  .

tek    micro  .

com/products/microsoft    windows    xp    professional    sp3    %252d    full    version    w%7b47%7d    coa  .

html sp3 /a sp3 for only $104  .

99 and free shipping here    .

i got my copy  .

it is fast shipping and came with a genuine disk and genuine coa  .

cannot beat this deal  .

this is made after the booming economy when people saw it  .

it made people happy all over again  .

i do not know maybe middle easterns are programing ms products it seems that ms has been f@#king us after the bombing of 911  .

it only makes sense over xbox live how many middle do you here i had it for about 4 months i heard none , zip , zero , yet many have great jobs in the tech industry and there monitoring the internet  .

many work at cisco systems  .

i'm from silicon valley i know what i'm typing about  .

peace  .

this os is much better than the apple os and if you don't think so , you have a severely messed up brain , or you do not know how to us a computer .

hopefully vista can show time when the computer is locked , and when ur logged out  .

also , built in alarm would be nice  .

my computer is forever on  .

windows hasnt crashed on my new hardware yet  .

abit had some issues on it lst few motherboards  .

runs like it should  .

as always , windows is always more responsive than any other os i try  .

xandros , linspire , kubuntu , ubuntu , suse , redhat/fedora core , dsl , and debian  .

microsoft is definitely trained in the art of voodoo coding  .

cause their stuff works like magic  .

and in ways u would never think possible or logical  .

i love it  .

and cant wait for vista  .

getting it is definitely on my new years resolution list  .

woot woot  .

if you want power and speed pick windows xp  .

your games will fly and your benchmarks will rock .

winxp pro    kaput to win98se  .

winxp pro    2x the kaput to win2000  .

winxp pro    8x the kaput to winme  .

winxp pro    infinity kaput to win95 and less .

ok , i wrote an opinion earlier (03    03) and now i'm back  .

i've used every windows os now and got back to xp  .

it's true that it takes over 2 minutes to completely startup and yes the drive is doing things i don't ask for but besides that it's the best os i've ever had  .

never crashes , makes me almost being bored because i do not have to fix it  .

so my opinion garbage is to early stated  .

it's ok , in fact it's perfect .

go buy it  .

this os rocks  .

here are some things you should read  .

ignore the hands down user's they are so stupid that every computer they assemble , install has problems  .

i hate those thumb down people makes me wana throw rocks on them 2  .

this os just works  .

dont switch to mac  .

they just want you'r money  .

when you can buy a dell for $599  .

or assemble you'r own it will be cheaper  .

i give it 10 out of 10  .

good job bill gates  .

the best i tell you it's the best  .

a fresh clean install on my computer took about 15 minutes and vroom  .

xp on you'r computer installed  .

i enjoy games better than win98 my favorite are sof2 and mohaa  .

believe me people it is worth it belive me  .

enjoy xp on you'r computer  .

hurray bill gates  .

the best microsoft windows ever made iv'e been a mac user 2 year  .

then i switch xp is beutifull  .

i reccomend it i will give 10  .

windows xp has given me the power to do things i never could have done with windows 98  .

i can instant message my friends , play online games and not have to worry about my cumputer crashing when i is in the middle of something important .

windows xp has been running on my old pii 450 for quite some time with zero problems  .

no crashes , no freezes , no blue screens of death  .

xp is an excellent os with many features  .

for those reviewers with running into problems , you should try to do a clean install  .

installing one os on top of another will always lead to issues .

never crashed , no glitches , no blue screens , if your system cannot handle it , then upgrade and buy one that can , throw your out    of    date system in the trash or donate it to someone not so lucky as your self quit crying , do your research , know what your getting into , quit blaming microsoft xp ps  .

one mans junck is anothers treasure  .

my xp operating install is easy , it picked up my old hp    4c scanner , my very old hp    iiip printer and both epson ink jets 740 , 820 on usb  .

i now have three printer on one computer  .

glad to give up my win 98 , 98se , winme systems .

you people that complain of instablility make me laugh  .

this product's kernel (the core of the operating system) has very little difference from windows 2000 (xp is nt 5  .

1 , 2000 is nt 5  .

the stability is excellent and so are the features  .

i found the interface to be a bit hokey , but if you go to http  //www  .

themexp  .

org you can find a theme to fit your tast just fine  .

with xp , microsoft finally got rid of the horrible win 9x memory issues and switched all versions of windows to the more efficient and stable windows nt engine  .

true that some hardware is not compatible (at least not yet , check your hardware manufacturer frequently , as they may be developing the drivers still) with xp , but the same can be said for every major upgrade in operating system history  .

i've installed this os on countless machines , never had a problem with one  .

i personally use it very intensly everyday for programming , video editing , imaging , gaming , surfing and more i've never had a hitch  .

and i can say that i will never go back to win98 or 2000  .

as far as the software incompatibilities go , those are the responsibilities of the software vendors  .

they've had access to windows xp for months before the public did , so they had time to address these issues  .

it has nothing to do with the instablilty of the os  .

windows xp is by far the best os that micro$oft has put out  .

no if only their server version of xp would hurry and get released .

stop the crying  .

everyone should know not to do the upgrade  .

if full install is used xp is very stable  .

lets be truthful linux users even you have to admit its pretty good .

is running windows 2000 pro  .

before i upgraded to xp pro  .

and i have had nothing but success running xp  .

the speed and features are faster snd i have had no problems at all  .

did have to download my printer driver off of the enternet , but that is no problem  .

every thing works great and i would upgrade again .

we have to give it to them this time  .

xp pro is a true os  .

the most stable up to date  .

do a clean install , not an upgrade  .

also a word for the disbelievers and disappointed  .

first sit down and write a gui os that counts about 1 , 000 , 000 lines of code and then start making comments  .

admit it , it is good , even for you .

this is it xp pro is top of the line and the most stable os for any pc .

it is defiantly the best os ever  .

it never crashes and is so powerful  .

i cannot believe anyone would have second thoughts on upgrading .

quality    this os seems very solid  .

the instal is fast the activation is painless  .

features    their are a lot of new features some not need and others work perfect with the os  .

like remote desktop i use this all the time very helpfull  .

cd burning is nice , but i still use other programs for more advance burning  .

the new taskbar and start menu make sense they alone have some nice features worth checking out  .

stability    it has been a champ i is hanging up a least 10 times a week in me  .

i havent had any problems except aol  .

aol 7  .

0 runs funny when trying to download a lot of programs  .

it is also alot eaiser to quit a program now  .

