their is nothing to say but the iphone 4 is the best phone in the world  .
it's an iphone    which by now is a reliable and known quantity  .
i do not know anyone who has one who wants to trade one , and for most users the lack of multitasking is no big deal (it's a smart phone , not a tiny pc)  .
droid is getting the market share nowadays , but iphone still is a pleasure to use  .
i consider myself a user for life .
it is easy for this old man to use and lessen's my load when i travel  .
i can use it without all the mess of a lap top when i am going on a trip on my motorcycle  .
i find it very easy to use and do all my banking on it and pay , or check my accounts  .
this is a great phone , and if you have the opportunity to get your haands on one , go for it  .
(i have one , and i will also be getting the iphone 4g as soon as it comes out as well) it is by far the best mobile that is currently on offer , and i can see the 4g carrying on that legacy .
updated  .
on may 26 , 2010  .
does a great job of maintaing the line between fun and media too productivity and business  .
i'll be looking 4ward too the 4g in a month or so .
iphone has really changed the smartphone market  .
everyone tried to copy it , yet fail  .
people who yell that 'iphone sucks' just hate the apple's success and never used an iphone .
this is a great phone worth buying .
i read a great article about how 40% of blackberry users are going to switch this summer to the iphone 4g  .
here is the article   http  //cnmnewsnetwork  .
com/13275/iphone    4g    and    iphone    4    0    release    date    40    blackberry    users    would    switch/  .
iphone 4g and iphone 4  .
0 release date    40% blackberry users would switch  .
a blackberry is among the most popular business phones on the market  .
all that could change , and a major survey recently indicated that a whopping 40% of current blackberry users would switch to iphone upon the 4g release this is bad news for rim , the maker of the popular blackberry  .
the phone  .
s saving grace is that the iphone is currently only available via at t , whereas every major cell phone provider carries one form of blackberry or another the apple iphone release date is rumored to be sometime this summer  .
an exact date has not been given by apple , although the phone is expected to hit the stores sometime in june or july  .
even though the hype is growing , it is noted that the iphone has security issues that aren  .
t present in the other smartphone handset  .
this could inspire many companies to keep requiring blackberries in order to keep their data safe in addition to the iphone 4  .
0 , the ipad is another hot apple item  .
the 3g version of the tablet is available late in april , while the wifi only version is available april 3  .
the unit looks kind of like an overblown iphone , and many are skeptical that it will be as popular as its hype .
the iphone is a great phone  .
from the physical design to the software , the iphone is a well refined phone  .
the ease of use is one of the best parts of the phone  .
with the iphone you just do , you do not have to think about it  .
the iphone can be picked up by anyone , and they could learn how to use the phone within a few minutes  .
one of it's biggest plus's though , is the app store  .
with thousands of developers , the capabilities for apps are endless  .
without the iphone , apps would not be as we know them today  .
the iphone set the groundwork for apps in phones , and truly has changed the smartphone industry  .
another groundbreaking movement started by the iphone is design  .
before the iphone , design is of least concern by manufactures  .
however the iphone is not without it's faults  .
the camera could be improved , as well as an addition of a flash to the camera  .
also , the placement of the water sensors , are truly ineffective  .
they are placed with the headphone jack , and the dock connector , and is exposed to the exterior environment , often in    correctly setting of the sensor with the smallest of rain drops , or even humidity  .
also , there should be a multi carrier platform , at t has a great 3g network , but that is if you can get a signal  .
lastly , flash support  .
while not of major concern , it would certainly be a great addition to the phones already awesome browser .
http  //nikeshoes2u  .
com  .
the iphone is a great phone  .
from the physical design to the software , the iphone is a well refined phone  .
the ease of use is one of the best parts of the phone  .
with the iphone you just do , you do not have to think about it  .
the iphone can be picked up by anyone , and they could learn how to use the phone within a few minutes  .
one of it's biggest plus's though , is the app store  .
with thousands of developers , the capabilities for apps are endless  .
without the iphone , apps would not be as we know them today  .
the iphone set the groundwork for apps in phones , and truly has changed the smartphone industry  .
another groundbreaking movement started by the iphone is design  .
before the iphone , design is of least concern by manufactures  .
however the iphone is not without it's faults  .
the camera could be improved , as well as an addition of a flash to the camera  .
also , the placement of the water sensors , are truly ineffective  .
they are placed with the headphone jack , and the dock connector , and is exposed to the exterior environment , often in    correctly setting of the sensor with the smallest of rain drops , or even humidity  .
